Bogennummer: '28560'
Ort: Schönstadt
Gid: 94127
Transliterent: Joachim Pinschmidt
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 
Änderungsdatum: 
Satzversion: 1
Original Anmerkungen: 'Riss im Papier unten links von WS 32 bis WS 40'
...
WS1,Em Wenter fligge di traokkle Blärrer dorch die Loft rim
WS2,"'s herrt glä͡ich off z' schneie, da werd's Werrer werer besser"
WS3,"Du Kohl in Owe, deß die Melch bahle a͡o z' koche fingt"
WS4,Dä gurre ahle Mann es met d'm Gaul dorch's Eis gebroche on en's kahle Wasser gefall'
WS5,Hä eß ver vier äwer sechs Woche gestorwe
WS6,"D's Fä͜ier wa͡or z' heeß, die Kuche sei che onne ganz schwa͡orz gebrahnt"
WS7,Hä eßt die Aejer immer ohne Saalz on Peffer.
WS8,"Die Füß' du m'r sehr <(ganz)> wih, ich glewe, äch hun' se dorchgelofe. "
WS9,"Äch sei bei d'r Frä gewest on hun'ser gesät on sie sät, sie well's och ährer Dochter sa <(oder spreche)>"
WS10,Äch will's och net mi werer du.
WS11,"Äch schla͡o dich glä͡ich met d'm Kochleffel im die Ohr'n, du Affe"
WS12,"Wo gehst d' hin, sin m'r met d'r gih?"
WS13,'s sei schlächte Zeire
WS14,"Mei liewes Kend, bleib hie onne stih', die bese Gens bä͡iße dich dodt."
WS15,"Du ho͡ast haure om meeste gelernt on bäst a͡ortig gewest, du därfst friher noch Hem gih, wie die Aner"
WS16,"Du best noch net groß genung, im 'e Flasche Wei' ausz'tränke, du mußt erscht noch 'e Enne waosse on größer wer'n"
WS17,"Gih, sei so gutt on sa deiner Schwester, sie sellt die Klerer fer aue Motter fertig mache on met d'r Bäschte reh mache"
WS18,Häst du en gekant! da wer'sch anerscht komme on es thet besser im en stih
WS19,Wer ha͡ot m'r mein Ka͡orb met Flesch gestohl'?
WS20,"Hä da͡ot so, als here se ihm zum Dresche bestalt; sie huns äwer selwer geda͡o"
WS21,Wem ha͡ore die naue Geschichte verzohlt?
WS22,"Man muß laure krä͡ische, sost v'rschdere ins net"
WS23,Mer sei miere on hun Da͡orscht
WS24,"Als mer geste Owed zereck ka͡ome, do la͡oge die Anern schund em Bett on wa͡orn fest om schlofe"
WS25,"D'r Schnie es dere Na͡ocht bei ins läige geblewe, äwer dere Morge ese geschmolze"
WS26,Hiner insem Haus stieh drei schien Aeppelbemercher met rore Aeppelcher
WS27,"Kinnt ehr net noch e Ogebläckche off ins waorte, da gih m'r met uch"
WS28,Ehr därft net so Kenerei treiwe
WS29,"Inse Berge sei net sehr hoch, aue sei vel hecher"
WS30,Wie vel Pond Waorscht on wie vel Brod wollt ehr hun?
WS31,"Äch verstih uch net, ehr mußt e bische laurer spreche"
WS32,Ha͡ot ehr ke Stickelche wäiße Sefe fer mäich of mein Desch gefonne?
WS33,Sei Brurer well sich zwä schine naue Hä͡iser en auem Ga͡orte baue
WS34,Da͡os Wa͡ort ka͡om 'enem vo Herze
WS35,Da͡os wa͡or regt vo ihm
WS36,Wa͡os sitze do fer V[i]gelcher owe of dem Mäierche?
WS37,"Die Bauern hare fünf Ochse on näi Kih äen on zwelf Schefercher ver da͡os Därf gebrocht, die wollte se verkofe"
WS38,Die Läire sei haure all drouße offem Fäld on mehe
WS39,"Gih nor, der braune Hond dud d'r naut"
WS40,Äch sei met d' Läire dohenne ewer die Wesse ens Kaorn gefa͡ohrn.

