---
Bogennummer: '45798'
Ort: Schlosswil
Gid: 17222
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2022-07-08 17:14:15.381150
Änderungsdatum: 2022-07-16 15:14:45.417966
...
WS1	Im Winter flüge die trochene Bletter i dr Luft dasume.
WS4	"Dä guet alt Ma isch mit dm'Ross {zunächst ""d'Ross"", dann 'm' über 'd' getippt} dür d's Isch broche u i d's chalte Wasser gheit."
WS8	D'Füess tüe mir unerchant weh, i glube, i hig se dür-gloffe {zunächst 'düregloffe', dann 'e' mit '-' übertippt}. <(i syg dürglüffe.)>
WS12	Wo geisch <(giisch)> du hii, sölle mr mit dr cho ?
WS15	Du hesch hüt am meischte glehrt {am Wortende aus Versehen 'u' getippt, durchgestrichen und Komma gesetzt} u bisch artig gsy, du darfsch {zunächst Tippfehler 'darfscg', dann 'g' mit 'h' übertippt} ehnder hei <(hii)> als die angere. 
WS16	Du bisch no nid gross gnue, für ne Fläs[che W]y {hier drückt der Nummernstempel von der Rückseite durch und macht das Getippte schwer lesbar} us z'trinke <( us z'treiche )>, du muesch zersch no chly wachse u grösser wärde.  {'u grösser wärde' ist aus Platzmangel unter 'muesch zersch no' getippt}
WS20	Er het gmacht, wie wenn sie ne zum Drösche bstellt hätte; sie hei's aber sä[lber] {Nummernstempel auf der Rückseite drückt durch} gmacht g[ha]. {schwer lesbar, weil nächste Satznummer (21.) übertippt wurde}
WS22	Mi muess lut brüeöe, sönsch versteit {'verteit' getippt, manuell 's' oben zwischen 'r' und 't' eingefügt} er üs nid.
WS24	Wo mir gester z'Abe sy zrüggcho, sy die angere scho im Bett gsy u hei fest gschlafe.
WS26	Hinger üsem Huus stange drü schöni Oepfubäumli mit rote Oepfeli. <(Oepfelene)>
WS27	Chöit dir nid no es Augeblickli<( Wyli )> uf üs warte, de chöme mr de mit ech. 
WS29	Uesi Bärge {zunächst 'Bätge', dann 't' mit 'r' übertippt} sy nid grad höch, eui sy viel <( viu )> höcher.
WS32	Heit <(Hiit)> dir keis Stückli wyssi Seife für mi uf mim Tisch gfunge ?
WS37	D'Bure hei füf Ochse-n- u zwölf<(zwöuf)> Schäfli vor d's Dorf use bracht, wo sie hei wölle verchaufe.
WS39	Gang nume, dr brun Hung tuet dr nüt. <( macht dr nüt.)>
