---
Bogennummer: '44745'
Ort: Full
Gid: 18715
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2023-08-06 14:10:24.128246
Änderungsdatum: 2023-09-13 15:17:40.722908
Satzversion: 1
...
WS1	ìm wìnter flüüged dì trochne bletter ì dèr luft ume.
WS2	s' hört gli uf z' schnèie, dänn wird s' wätter wider besser.
WS3	tue d' chòle ì dè òfe, ass d' mìlch bald afö̀t z' chòche.
WS4	de guet alt maa ìscht mìt em pfärd ìs iis iegheit ùnd ìs chalt wasser g'falle
WS5	èr ìscht vor vier oder sächs wóche g'storbe.
WS6	s füür ìscht z' schtarch gsi d' chueche sìnd jà ùnde ganz schwarz abrännt
WS7	èr ìsst d' äier allewiil òne salz ùnd pfäffer
WS8	d' füess tünd mìr grüssli wé, ìch glaube, ìch ha sì dùreglòffe.
WS9	ìch bì b[è] {unsicher, eventuell zunächst 'bì' und dann 'e' über 'i' korrigiert} dèr frau gsi ùnd han èr ès gsäit, ùnd sì säit, sì wöll's au ìrer tòchter säge
WS10	ìch will es au nǜmme wìeder tue !
WS11	ìch schlòde gli mìt èm chòchlöffel ùm d' ore, du aff !
WS12	wo goscht du ane, söllet mèr mìt der gò ?
WS13	es sìnd schlächte zite !
WS14	Mi liebs chìnd, blib do ùnde stò, die bö̀se gäns bissed dì z' tod.
WS15	du häscht hö̀t am mèischte glèrt ùnd bìscht artig gsi, du tarfst {zunächst wohl 'darfst', dann 'd' mit 't' überschrieben} früener hä̀igò {zunächst 'heigò', dann 'e' mit 'ä' überschrieben und Gravis ergänzt} ass die andère.
WS16	du bischt nonig gross gnueg, um e fläsche wii usztrìnke, du muescht [è]rst {unklar - zunächst wohl 'érst', dann Akut mit dickem Gravis überschrieben} nò öppis wachse ùnd grösser wèrde.
WS17	gang, bìs so guet ùnd säg diner schwö̀schter, sì sö̀tt d' klèider für ö̀uie muetter fèrtig näie ùnd mìt der bö̀rschte {unklar, ob vielleicht zunächst 'bürschte'} suber mache
WS18	häͤttescht du ìn kännt !  dänn wärs anderscht cho, ùnd es stiend besser um ìn.
WS19	wer hät mèr min chorb mìt fläisch g'schtòle ?
WS20	er hät so tò, ass hättit sì ìn zùm trö̀sche b'schtellt; sì händ's aber sälber tò.
WS21	wem häd èr die nöi g'schìcht verzellt ?
WS22	mè muess lut schrèie, sonscht verstòd er eùs ned.
WS23	mèr sìnd müed ùnd händ dùrscht
WS24	wo mer geschter z' obig z' rùgg cho sìnd, do lìget diè andere scho im bètt ùnd sìnd fest am schlofe gsi {2.Teil des Satzes ist etwas chaotisch aufgeschrieben und dann in die korrekte Reihenfolge gebracht worden. Auf der Zeile steht: '... die andere scho (fest am schlofe gsi) ìm bètt ùnd sìnd' , wobei 'fest' am Anfang der Klammer und 'gsi' an deren Ende eingefügt wurden}
WS25	dè schnee ìscht die nacht bì öüs lìgge blìbe, aber hǜt <ö> {über 'ǜ' steht ein 'ö'} am mòrgen ìscht er g'mòlze {sic!} .
WS26	hìnder öüsem huus stönd drei schön öpfelbäümli mit rote öpflene.
WS27	chönnet ìr nìd nò es augeblickli ùf öüs warte, dänn gönd mer mìt öü.
WS28	ìr dö̀rfet nìt sèttige chindereie triibe.
WS29	{fängt auf Zeile 28 an:} öüsì bèrg sìnd nìt gar hoch, öuie sìnd vìl höcher.
WS30	wìvìl pfùnd wö̀rscht ùnd wìvìl brot wännd'er haa ?
WS31	ìch verston ìch {zunächst 'verstonìch' zusammen geschrieben, dann mit senkrechtem Strich zwischen 'n' und 'ì' getrennt} nèd, ìr müend e bìzeli lùter rède.
WS32	händ er kèi stǜckli wisse sèipfe {zunächst 'sei[ff]e, dann 'pf' über den unleserlichen Buchstaben notiert} fǜr mì ùf mim tìsch g'fùnde ? 
WS33	sin brüeder wìll für ìn zwäü schöne nöüe hüüser in öüem garte boue.
WS34	da wórt ìscht ìscht ìm vò hèrze cho.
WS35	da ìscht rächt gsi vò ìne !
WS36	wa sìtzet dò fǜr vögeli obe ùf dem mürli ?
WS37	d' buure händ föüf stiere ùnd nün chüe ùnd zwö̀lf schö̀fle vors dorf brocht, diè händ se w[ö̀]lle {zunächst 'welle', dann 1.'e' mit 'ö̀' überschrieben} verchaufe.
WS38	d' lüt {zunächst 'lüüt', dann 2.'ü' durchgestrichen} sìnd höt <ü> {über 'ö' steht ein 'ü'} alle dósse ùf èm fäld ùnd mäiet.
WS39	gang no, de bru hùnd tuet der nüd.
WS40	"ìch bì mìt de lüte do hìnde über <ö> {über dem 'ü' steht ein 'ö' } d' matte ìs chòrn g'faare {zunächst "" g'fare "", dann zwischen 'a' und 'r' oben 2.'a' eingefügt} ."
