---;
Bogennummer: '46679';
Ort: Bohnert;
Gid: 115627;
Transliterationsprojekt: Viola Wilcken;
Erstelldatum: ;
Änderungsdatum: ;
Satzversion: 1;
...;
WS1;In de Winter flegt de dröger Blärer dör de Luft herüm
WS2;Dat hört glik op to schnieen denn ward dat Werer werrer beder
WS3;Do Köhl in de Omd dat de Melk bald an to koken fangt
WS4;De gurer ohle Mann ist mit dat Perd dör’t Is braken und in dat kohle Wader foln
WS5;He ist vör veer oder sös Wäken starm
WS6;Dat Führ wär to hitt de Kooken sünd ja ünner ganz sward brennt
WS7;He itt de Eier ümmer ohne Salt und Peber
WS8;De Föt dot mi so weh ik glöf ich heff se dörloben
WS9;Ik bün bi de Fru west und heff ehr dat segt und se säh se wolt dat ehr Dachter segn
WS10;Ik will dat ok ni mehr werrer don
WS11;Ik schla di gliks mit de Schlef/ Kaklebel üm de Ohren du Ob
WS12;Wor geist du hin schöllt wi mit di gahn
WS13;Dat sünd schlechte Tieden
WS14;Mien lewer Kind blief hier ünner stahn de böser Gös bied di dot
WS15;Du häst verdag/ hüt am mersten lehrt und bist ardig west, du dörfst fröher na Hus gahn als de annern
WS16;Du böst noch nie grod noch um een Boddel Wien uttodrinken, du muß erst noch wassen und gröder warn
WS17;Goh sie/ weß so gut und seg dat dien Schwester se schol de Klerrer vör dien Mudder ferdi nein und mit de Böst rein maken
WS18;Harst du em kennt dann wehr dat anners kam und dat dei bäder üm em stahn
WS19;Wer hett mien Karf mit Flesch stahln
WS20;He deh so as harn se em to döschen bestellt, se hebbt dat awers sölm dahn
WS21;Wer hätt he de Geschichte vertällt
WS22;Man mut hart schrien sönst versteit he uns nie
WS23;Wir sünd möh und hebt Döst
WS24;As wie güstern Abend torüg kem’n do leg’n de annern all to Bett und slepen fast
WS25;De Schnee ist düße Nacht ling’n blem aber hüt morgn is he opdaut
WS26;Achter unser Hus stat dre schöne Abbelböhmchen mit rorre Abbelchen
WS27;Künt jie nie noh en Ogenblickchen ob uns töhm denn got wir mit ju
WS28;Jie dörft ni son Kinnerrien driewn
WS29;Unser Bargen sünd nie väl hoch ju sünd väl höcher
WS30;Woväl Pund Wust und woväl Brod wüllt jie hem
WS31;Ik verstoh ju nie jie möd en bät harder spräken
WS32;Hept jie nich en Stückchen widder Seep ob mien Disch fun
WS33;Sin Brorer will sick twee schöner nier Hüser in ju Garn bun
WS34;Dat Wort keem em von Harten
WS35;Dat wär recht von se
WS36;Wat sitten dar för Vogelchen bom ob de Murchen
WS37;De Burn harn fief Ossen nägn Köh un twölf Schabchen för dat Dörb brächt de wolln se verköben
WS38;De Lü sünd hüt all butn ob dat Feld to meihen
WS39;Goh man de bruner Hund deiht di niks
WS40;Ik bün mit de Lü dor achter dör de Wisch int Korn föhrt
