---
Bogennummer: '44991'
Ort: Wohlen
Gid: 15992
Transliterent: fellmann
Erstelldatum: 2021-11-24 19:00:47.947291
Änderungsdarum: 2021-11-24 20:03:31.302618
...
WS1	im wìnter flüügid di trochene bletter i dr lùft ùme.
WS2	es hö̀rrt glii uuf z'schneie, de wìrds wätter wìder besser.
WS3	tue chole i ofe, dass d' mìlch glii afòod süüde.
WS4	de guet alt maa ischt mìtm Ross ùfm iis iibroche ùnd is chalt wasser ghēit
WS5	er [zuerst gesetzter Akzent ist durchgestrichen] ìscht vor vier oder sächs wùche gschtorbe.
WS6	s' füür ischt zschtarch gsii, d' chueche sind undezue ganz schwarz aprönnt
WS7	er isst d' eier immer òni salz und pfäffer.
WS8	d' füess tüend mer weh, i glaube i heig si duregmacht.
WS9	ì bì bì dr frau gsi ùnd haner es gseid ùnd sì hed gsèid, si wells au [etwas unleserliches offenbar durchgestrichen] ìrer  tochter säge.
WS10	i wìlls au nǜmme [genau genommen steht über 'u' der Akzent links neben den ü-Punkten] tue.
WS11	i schlō dr jetz de de Chùchilöffel umb d' ore n ùme, du aff.
WS12	wo gōschd äne, sel i mer au miter chō ?
WS13	s' sind schlächti ziite.
WS14	mis lieb chìnd, bliib dō unde stò, di wüeschte gäns biisid di ztod
WS15	"de hescht hǜt [genau genommen steht der Akzent links neben den ü-Punkten] am meischte gleert ùnd bìscht ordėli [oder nur: ""ordli""? nach 'd' ist Geschmier oder 'ė' und dann oben 'li' eingefügt] gsi, de tarfscht eender hèi gō als di andere."
WS16	de bischt noni gross gnueg um e fläsche wii usztrìnke, de muescht nochli wachse und grösser werde.
WS17	gang bis so guet ùnd säg diiner schwöschter, si sell d' chleider fǜr [genau genommen steht über 'u' der Akzent links neben den ü-Punkten] öii mueter fertig büeze ùnd börschte
WS18	Hättischt e kännt, de wärs anderscht ùsechoo ùnd er wär jez besser draa.
WS19	Wer hed mer mi chorb mitm fleisch eweggnò ?
WS20	Er hed de gliiche tòo wi wenns e zùm trö̀sche iigstellt hättid, sì händs aber sälber tòo
WS21	Wemm hed er di nò̈i [geneu genommen steht über 'o' der Akzent links neben den ö-Punkten] gschicht verzellt ?
WS22	Mer mues luut schreie, suscht verschtòot er is need.
WS23	mer sind müed ùnd händ tùrscht.
WS24	Wù mer geschtr zòbig ùme choo sind, sind di andere schù im bett gsi ùnd händ gschlòoffe.
WS25	dr schnee ischt di letscht nacht bì öis ligge blibe, aber hüt am mòrge ischt er vergange.
WS26	hinde a öisem huus schtönd drüü öpfelbäumli mìt rote-n öpfeli.
WS27	chönd er nìd nù e chlì ùf is warte, mer gò̈nd [genau genommen steht über 'o' der Akzent links neben den ö-Punkten] de mit öi.
WS28	er dò̈rfid [genau genommen steht über 'o' der Akzent links neben den ö-Punkten; ferner ist der zuerst gesetzte Akzent über 'i' durchgestrichen] nìd settigi chindereie triibe.
WS29	"Öiṡi [zuerst wohl ""Öii"" dann korrigiert zu ""Öisi"", darum der Punkt über 's']  berg sìnd nìd eso hööch, öii sind vìll hööcher."
WS30	Wì mängs pfùnd Wùrscht ùnd wi mängs brod wänder ?
WS31	ech verschtone n öi nēd, er müend echli lüüter rede.
WS32	händ er ned es möckli wiissi seupfi fǜr mee ùf miim tisch gfùnde ?
WS33	sii brüeder wìll fǜr sech zweu schöni nöii hüüser i öisem garte boue
WS34	s' wort ischt em vù herze choo.
WS35	s' isch rächt gsi vonene.
WS36	Wa hockid dòo fǜr v̀ögeli [hier ist der Akzent vor das 'o' fast über das 'v' gerutscht] ufem müürli obe ?
WS37	d' buure händ föüf stiere ùnd nüün chüe ùnd zwölf Schööfli [das zweite 'ö' ist oben eingesetzt] vors doorf bròocht, die si  [alternativ darunter:] <(wo si)>  händ welle verchauffe.
WS38	d' lüüt sind hütt alli ùfm fäld ùnd mèeid.
WS39	gang nùr, dr bruun hùnd tued dr nüüd.
WS40	ech bì mìt de lüüte do hìnde ù̈ber [genau genommen steht über 'u' der Akzent links neben den ü-Punkten] d' matt is chòrn gfaare.
