---
Bogennummer: '19505'
Ort: Wien - 23. Bezirk-Liesing
Gid: 10312
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Anja Heim
Anmerkungen: '- <(n)>: im Original das "n" in Klammern gesetzt, bedeutet häufig fehlende
  Aussprache desselben, bzw. strenggenommen meist Nasalisierung des vorangehenden
  Buchstabens

  - Bogen unter zwei Buchstaben/Vokalen: verbundene Aussprache

  - "a/o" über dem jeweils anderen Vokal: gerundete Aussprache des "a"'
Erstelldatum: 2025-10-08 17:07:46.731819
Änderungsdatum: 2025-10-20 10:55:16.017146
Satzversion: 1
...
WS1	Im Winter <besser: im Hiabst> fliagn de drugganan Blätta <Blaaln> in da Luft umanaunda.
WS2	Glei wirds zum Schneim aufhern, daun wird's Weda wieda schena wern.
WS3	Dua Koin in Ofn, daß de Müch <Müli> boid zum Kochn aufaungt.
WS4	Da guade, oide Ma[u] is mid͜'n Roß durchs Eis brochn und ins koide Woͣssa gfaͦin <gflogn>.
WS5	E͜a is vur vi͜a oda segs Wochn gschtu͜am.
WS6	Des Feija wo͜ar tschdork, de Guglupf san joͣ untn gaunz {mit Pfeilen zwei verschiedene Folgewörter gegeben:} schwoaz/vabrent <aber nicht: gaunz schwoaz vabrent>.
WS7	E͜a ißt de Eija oilawui auni Soiz und Pfeffa.
WS8	Mi͜a dan de Füaß so weh, i glaub, i hob ma͜'s aufgwetzt <wund gelaufen>.
WS9	I bin bei da Frau gwesn u. hoͣb ihrs gsoͣgt u. sie haͦt gsoͣgt, sie wi͜ads ihra Dochda a soͣgn <nie Mitvergangh.; verbind. Redens.>.
WS10	I wüi͜s  a nimmamea tu͜an.
WS11	I hau da glei in Koilöffl üba͜'d Uhrn, du Off <getrübtes o zu a>.
WS12	Wo gehst' du hi<(n)>, soilln ma mit dia geh<(n)>?
WS13	Es san schlechte Zeit[n]!
WS14	Mei li͜abs Kindal, bleib do untn steh<(n)>, sunst beißn di de besn Gansln dot.
WS15	Du host heit am meistn <fleißi> gle͜ant u. bist o͜arti <brav> gwesn, dafir dä͜afst frühra hamgeh<(n)> wia d'aͦndan.
WS16	Du bist nau net groß gnu͜a, um a Flaͦschn Wei<(n)> ausztrinkn, du mu͜aßt erscht nau a bißl woͣgsn u. greßa wern.
WS17	Geh, sei so gu͜at u. soͣg deina Schwesta, sie soi de Glada fir enka Muatta firti nahn und ausbürschtna!
WS18	Waunstn kennt hättast! Daun wars aundaschts kuma und es tat bessa um eham steh<(n)>.
WS19	We͜a haͦt ma denn mein Fleischkurb <mei Fleischkerbl> gschtoin?
WS20	"Ea haͦt so dau<(n)>, ois waun 'sn zum Dreschn bschtöit hättn; se hoͣbns oba selwa {""ö"" übers ""e"" geschrieben} [d]au<(n)>."
WS21	Wem hoͣt a denn de neiche Gschicht dazöit?
WS22	Ma mu͜aß laut schrei<(n)>, sunst vasteht a ahm net.
WS23	Mi͜a san mü͜ad u. haum an Du͜ascht.
WS24	Wi͜a ma gestan aufd Noͣcht zruckkuma <hamk.> san, san de aundan schau<(n)> im Bett glegn u. haum fest {zwei verschiedene Folgewörter mit Pfeilen gegeben:} gschlofn/gschno͜acht.
WS25	Üba d'Noͣcht is da Schnee bei uns liegn bliebn, oba heit in da fruah is a {zwei verschiedene Folgewörter mit Pfeilen gegeben:} zgaunga/zrunna.
WS26	Hinta unsan Haus stengan drei schene Aͦpflbamerl mit rode [A]pfal drauf.
WS27	Kennts net nau a wengerl <Weile> auf uns wo͜atn, daun gehma mit Eich <Enk>.
WS28	Es därfts net soiche Dummheitn moͣchn! <so kindisch du͜an!>
WS29	Unsare Berg san net so hoch, eichare san vü hecher.
WS30	Wiavü Kila <Kränz> Wuascht u. wiavü Brot <Lab Brot> wollts den̄ haum? <{Anmerkung am unteren Blattrand}: Kränze Wurst: nicht Ersatz für Kilo, sondern nach der Form {Kranzform daneben gezeichnet} daneben gibt es Stangen: {ebenfalls eine Zeichnung daneben}>
WS31	"I vasteh eich net, es mü͜aßts a bißl lauta redn <nicht ""sprechen""!>."
WS32	Hoͣbts es net a Stickal weiße Saf vo mi͜a auf mein Disch gfundn?
WS33	Sei<(n)> Bru͜ada wüi si zwa schene, neiche Heisa in eichan Go͜atn baun.
WS34	Des Wurt is eham ausn Herzn kuma.
WS35	Des is vo<(n)> ehana recht gwesn <gwest>.
WS36	Woͣs sitzn denn doͣ fir Vegerl auf'm Meierl oman <drom>.
WS37	De Bauan haum fümf Ochsn, <(und)> nein Kü͜ah u. zwöif Schoͣf <Schaferl> vurs Do͜af broͣcht, de haums vakaufn <vakaffn> woin.
WS38	De Leit san heit oͣlle aum Föid draustn zum Mahn.
WS39	Geh nu͜a, da braune Hund tuat da nix.
WS40	I bin mit de Leit do hintn üba͜'d Wiesn ins Kurn <Drat> gfoan.
