---
Bogennummer: '45857'
Ort: Forst-Längenbühl
Gid: 15283
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2022-10-11 13:52:45.284894
Änderungsdatum: 2022-10-11 14:08:52.061559
...
WS3	Tue e chli schalte im Chunscht, daß d'Müech gli chunnt.
WS8	D'Füeß tüe mir grüsli weh, i glo<(u)>be, i heig se düür.
WS9	J bi bi der Frou {zunächst 'Fra', dann 'a' durchgestrichen und '-ou' ergänzt} gsi u ha res gseit, u si het gseit, si wöus ihrer Tochter o säge.
WS12	Wo wosch hi, sö<(ü)> mir mit dir cho ?
WS14	Chinn, wart da unne, der Hund bißt di de süscht. <(Gänse haben wir keine.)>
WS15	Du hescht hüt am meischte {zunächst 'meiste', dann 'te' mit 'ch' überschrieben und mit 'te' zu 'meischte' ergänzt} glert u hescht schön gfolget, du darfscht jetz ender {'früher' ist durchgestrichen} hi weder di andere.
WS16	Du bisch no z'mutze, für ne Fläsche Wi us z triche, du muscht zerscht no chli wachse u gröser wärde.
WS20	{Bei Satz 20 steht nur ein langer Strich}
WS22	Me mueß lut brüele, süscht verschteit er eim nid.
WS26	Hinder üsem Huus schtah drü schöni ¨Opfuböimeleni {zunächst 'Öpfuböim', dann wohl ergänzt zu '...böimli', und dann abgeändert auf '...böimeleni', indem 'n' oben zwischen 'm' und 'l' gesetzt und danach 'li' noch mit 'le' überschrieben und zu 'leni' ergänzt wurde} mit rote Öpfelene. 
WS27	Chöit dir nid no nes Ugeblickli uf is {zunächst 'üs', dann 'ü' mit 'i' überschrieben, indem 'u' durchgestrichen, über den Umlaut 'i' geschrieben und darüber den i-Punkt gesetzt wurde} warte, mir chömi de o mit ech.
WS28	Tüet doch nid {'e' durchgestrichen} so dumm ! Tüet doch nid so chindlich. ! 
WS31	J verschan {sic!} ech nid, dir müeßit e chli luter rede.
WS33	Si Brueder wott i euem Garte zwö<(i)> schöni neui Hüser la boue.
WS34	Das isch ihm ärscht {sic!} gsi !
WS37	D'Bure he<(i)> föif Ochse u nüün Chüeh u zwöuf Schäfleni vor z'Dorf use bracht für sche z'verchoufe.
WS38	D'Lüt si hütt {'al' ist durchgestrichen} aui uf em Fäud u {zunächst 'un', dann 'n' durchgestrichen} mäiji. <(am mäje.)>
WS40	J bi mit de Lüte da hinder gredi uber d'Matte zum Chornacher {Wort ist getrennt 'Chorn..' am Zeilenende, 'acher' auf der neuen Zeile} düre gfahre.
