---
Bogennummer: '46095'
Ort: Tschappina
Sprache: ''
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz Excel Import
Transliterent: ''
Anmerkungen: ''
Erstelldatum: '2024-04-15 09:49:51.872285'
...
WS1	Im Winter flüga di trochna Plettr in der Luft umma [Verdoppelungsstrich auf 'm'].
WS2	As hört jetz uf schnia, de chunt z' Wättr widarum besser.
WS3	Tua Chola in da Ofa, daß d' Milch gschwind d' siada chund
WS4	Dr guat alt Mann [Verdoppelungsstrich auf 'n'] ist midem Roß dür z' Isch iprocha u. in d's chalt Waßr g'falla.
WS5	Ar ist vor füf odr säx Wocha g' stoorba.
WS6	As ist ds  gäys [?]  Für gsi, d' Chuacha sind ja unna ganz schwarz prennt [zweimal Verdoppelungsstrich auf 'n'].
WS7	Ar ißt d' Eier imm(e)r [Verdoppelungsstrich auf 'm'] ohni Salz u. Pfäffr
WS8	"D' Füaß tüant  m(e)r [zunächst \""mr*, dann zwischen 'm' und 'r' oben (e) eingefügt]  weh, i glaub, i hänschs offagriba."
WS9	I bin bir Frau gsi u. hän a ras g'seit, u. schi het g' seit, schi wells au ira Töchter säga. 
WS10	I will's au nümma [Verdoppelungsstrich auf 'm']  tua.
WS11	I schlan dr jetz de dr Chochlöffel (Chella) um d' Ohra, du Aff.
WS12	Wo geischt du hi, solla w'r mit'r cho
WS13	As sind schlächt Zita.
