---
Bogennummer: '25647'
Ort: Blomberg
Gid: 102217
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Arne Milas
Anmerkungen: Der Bogen ist in lateinischer Schreibschrift nicht in deutscher Kurrentschrift
Original Anmerkungen: 'Bemerkungen zur Aussprache einiger Laute: äu nicht wie äu in
  "Bäume" sondern getrennt  ä̈u, wobei ä der Hauptlaut, u ein leiser Nachlaut ist.
  (Für den Dialekt in Blomberg sehr charakteristisch) = Brä̈ud = Brod; kä̈uld=kalt.

  eu= eu wie in Heu

  ëu=getrennt e|u z.B. tëu=zu; gëut=gut

  ong=Nasenlaut (z.B Gong=geh.) wobei das g am Schluß wie ein k lautet.

  oa= a3 in der engl. Sprache, z.B. hoart=hört.

  iu= beide Laute kurz und gleich lang ausgesprochen.'
Erstelldatum: 2022-06-09 23:02:23.469486
Änderungsdatum: 2022-06-30 08:45:33.221882
...
WS1	In’n Winter fleuger de dreugen Blēre dür de Luft herrüm.
WS2	Oet ho͡at <(engl. [?])> glüik up tëu schniggen, denn wā̈rd dat Wädder wedder bätter.
WS3	Dëu Köhle in den Ob’n, dat de Melke bä̈ule an tëu kōken fenkt.
WS4	De gëu ä̈ule Mann ĕs mit den Pere dürt Üis broăken un in dat kä̈ule Wāter fallen.
WS5	Heu ĕs för vör <(offen)> Wecken sto͡arben.
WS6	Dat Fur was tëu heut, de Këuken sind jä̈͡u unner ganz schwart brännt.
WS7	Heu ät de Egger ümmer ohne So͡alt un Pöpper.
WS8	De Feute dëut müi düit weuh, ek leube <läube> {ä durchgestrichen, e darüber geschrieben}, ek häbbe se dürlä̈up’n.
WS9	Ek sin büi der Frumm’n wēsen, und häbbe öt <oet> {e durchgestrichen und dann wohl Umlautstriche hinzugefügt} ühr säggt, un seu sē, seu woll öt ä̈uk ührer Dochter seggen.
WS10	Ek will öt ä̈uk nich mahr wedder dëun.
WS11	Ek schlo düi glüik mit den Kokeleppel ümme de Oehr'n <Oehren> {e durchgestrichen, dann wohl durch Apostroph ersetzt.}, diu Ape.
WS12	Wo geuhst diu hen, sö wui migohn.
WS13	Öt es schlechte tü͡it.
WS14	Muin leube Kind, blüif hür unner stohn, de beusen Geuse büit düi dä̈͡ut
WS15	Diu häst vandage an meisten lehrt un bist org wēsen, diu draffst öhr <(offen)> no Hiüs gohn osse de annern.
WS16	Diu bist nä̈u nich grä̈ut genëug, ne Flaske Wüin iutëudrinken; diu most örst nä̈un End wassen, un grötter wer’n
WS17	Gong <(franz. ong)> <Go͡ang> {a un Bogen durchgestrichen} süi sëu gëut un säg dü͡iner süster, seu soll de Kleir för juwwe Mutter fär’g näggen, un met der Bösten reggen maken.
WS18	Herst diun kennt! denn wör öt annerster kommen un öt stünne bätter ümme önne.
WS19	Wer hät müi müinen Korf mit Fleusk stohlen?
WS20	Heu deu sëu, osse hér seu önne tëun desken bestellt; seu hätt öt öbber sümst dohn.
WS21	Wenne hät heu deu nigge Geschichte vertellt.
WS22	Man mot wisse bölken, süs versteut heu us nich.
WS23	Wui sind mōë un dösterg.
WS24	Osse ui gistern Obend trügge keumen, dä̈u le͡uen de Annern oll in’n Bedde, un wören faste an schlōpen.
WS25	De schneu es öwwer <öbber> {bb durchgestrichen, darüber ww als Korrektur} Nacht liggen blieben, bui ös, öbber vanmorgen es heu smolten.
WS26	Hinner iusen Hiuse stoht dreu wackere Äppelbäumkens mit rä̈un Äppelkens.
WS27	Könn jui nich nä̈un Äügenblick {kein Umlaut ü, sondern u mit Trema: ü} up us töiben {kein Umlaut ö, sondern o mit Trema: ö}, denn goh wui mit juk mit.
WS28	Jui drüibet nich söcke Kinderruigen druiben
WS29	Uise Berge sind nich sëu ganz hä̈ug, juwwe sind vell höchter.
WS30	Wovell pund Wost un wovell Brä̈ud woll'n jui häm’n.
WS31	Ek verstoh juk nich, jui mött enbätter wisser küren.
WS32	Hä jui ke͡un Stücksken witte Seipen för mui <o> {durchgestrichen} up’n Diske fun’n.
WS33	Suin bröër will sik tweu wackere nigge Huiser in jum’n Gorn bum’n.
WS34	Dat Wört kamm önne van Herten.
WS35	Dat was Recht van önne.
WS36	Wat sittet do för Vülkens boben up der lüttken Mur’n <Muren> {e durchgestrichen, darüber Apostroph als Korrektur}.
WS37	Dè Büren hatt’n fuif Ossens un nigen Kögge un twölf Schöpkens vör dat Dörp bro͡acht un wollen se verkä̈upen.
WS38	Dè Lu͡ie sind vandage olle biuten up den Felle un mägget.
WS39	Gong man de briune <biune> {r zw. b und i eingefügt} Hund doit dui niks.
WS40	Ek sind mit den Lu͡ien do hinner äwwer de Wiese int Körn fohrt <(o geſchl.)>
