---
Bogennummer: '45243'
Ort: Oberburg
Gid: 18101
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2023-01-27 19:19:31.968412
Änderungsdatum: 2023-01-28 15:06:25.522429
Satzversion: 1
...
WS1	Im Winter flüge di trochene Bletter i der Lŭft desůme.
WS2	Es hört gli uf schneie, de wird de z'Wätter wieder besser.
WS3	Tue Chole i Ofe, dass d' Milch gly afaht choche.
WS4	Der guet, alt Ma isch mit'em Ross i z 'Isch broche u i z' chaůte {zunächst 'chalte', dann 'l' durchgestrichen und 'ů' oben zwischen 'a' und 'l' eingefügt} Wasser gheit
WS5	Er isch vor vier oder sächs Wuche gstorbe {zunächst 'gsorbe', dann 't' oben zwischen 's' und 'o' eingefügt} .
WS6	D's Für isch z'starch gsi, di Chůeche si ja unge ganz schwarz aprönnt.
WS7	Är isst di Eier gang ohni Sauz {zunächst 'Salz', dann 'l' durchgestrichen und oben 'u' zwischen 'a' und 'l' eingefügt} ů Pfäffer.
WS8	D' Füess tüe mer so weh, i gloub' i heig se düregloffe.
WS9	I bi bi der Frou {zunächst wohl 'Frau', dann aus 'a' ein 'o' gemacht und oben mit 'u' verbunden} gsi u han-er es gseit, u si het mer gseit, si wöll 's {zunächst 'wölle es', dann beide 'e' durchgestrichen und dazwischen ein Apostroph gesetzt}  o̊ {zunächst 'au', dann 'a' und 'u' durchgestrichn und 'o̊' darüber gesetzt}  ihrer Tochter säge.
WS10	I wot's o nümme {Verdoppelungsstrich über 'm'} wider mache {'wider ' ist nachträglich oben zwischen 'nümme' und 'mache' eingefügt} ! -
WS11	I schlah der dr Chochlöffu ům d'Ohre, du Aff ! -
WS12	Wo geisch'te hi, sölle mer au cho ?
WS13	Es si schlächti Zyte.
WS14	Blib hie unge stah, mis liebe Ching, die böse Gäns tüe di z'tod bysse. -
WS15	Du hesch hüt am meischte g lehrt u. bisch lieb gsi, du darfsch ender aus {über 'u' steht '(l)': das heisst: anstelle von 'als' wird 'aus' notiert} die angere hei goh {zunächst 'gah', dann Verbingung zu 'h' vom oberen Ende des Buststabens} . 
WS16	Du bisch no nid gross gnue {zunächst 'gnueh', dann 'h' vierfach durchgestrichen} , e Fläsche Wy uszdrinke, du mŭesch zersch no ne chli wachse u. grösser wärde.
WS17	Gang, bis so guet u. säg dir {zunächst wohl 'dire' ?}  Schwöschter, si sölli d'Chleider für eui Mueter fertig näje u. bürschte.
WS18	Hättisch du ne kennt {Verdoppelugsstrich auf 'n'} !  de wär es angers cho, u es stieng nesser ům in {zunächst wohl 'ne', dann überschrieben mit 'in'} .
WS19	Wär het mer mi Chorb mrt {oder soll das 'mit' heissen?} dem Fleisch gstohle ?
WS20	Er heb {oder 'het' ?} so ta, aus {über 'u' steht '(l)'} hätte si in zum Trösche bschellt {sic! - unter 'll' steht '(u)'} , aber sie hei's sälber gmacht.
WS21	Wäm het er die neůi Gschicht erzellt {unter 'll' steht '(u)'} ?
WS22	Mi muess lůt brüele, süsch versteit er is nid.
WS23	Mir si müed u hei Durscht.
WS24	Wo mer {'gester' ist durchgestrichen} nächti zrügg cho si, sy di angere scho im Bett u. fescht {zunächst 'fest', dann 'ch' über 's' eingefügt} am Schlafe gsi.
WS25	Der Schnee isch die Nacht bi üs blibe lige; aber hüt am Morge isch er gschmůlze.
WS26	Hinger üsem Hus stöh drei schön Öpfůbäům mit rote Öpfeli.
WS27	Chöit dr nid no n-es Augeblickli uf üs warte, mir chämti de mit n'ech.
WS28	Dir dörfet ni[d] settigi Chindereie trybe.
WS29	Üsi Bärge si nid grad sehr höch; eui si viů höcher.
WS30	Wie mängs Pfŭng Wurscht {zunächst 'Wurst', dann 'ch' oben zwischen 's' und 't' eingefügt}  u wiviů Brot weit der ha ?
WS31	I verstah'n'ech nid, dir müesst e chli luter rede.
WS32	Heit dir kes Stückli wiessi Seife für mi uf mym Tisch gfůnge ?
WS33	Sy Brueder wot sech zwei schöni, neui Hüser i euem Garte baue.
WS34	Das Wort isch im vo Härze cho.
WS35	Das isch rächt gsi vo euch !
WS36	Was sitze da für Vögeli ůf em Mürli obe ?
WS37	D' Bure hei füf Schtiere, nün Chüe u zwölf Schäfli vor z'Dorf bracht, die hei si welle {über 'el' steht '(ů)'}  verchoůfe {zunächst 'ver' mit Aufstrich für 'k', dann mit 'verchaůfe' fertig geschrieben und schliesslich das 'a' mit 'o' überschrieben} .
WS38	D' Lüt si alli im Fäld usse u. mäye.
WS39	Gang nůme, der brůn Hůng macht der nüt.
WS40	"I bi mit de Lüt da hinge über d' Matte i z 'Chorn gfahre {zunächst "" 'Chorngfahre', dann mit senkrechtem Strich getrennt}."
