---
Bogennummer: '42232'
Ort: Kehmen
Gid: 143113
Transliterationsprojekt: REDE
Transliterent: Lisa Dücker
Erstelldatum: 2025-05-26 08:11:03.435022
Änderungsdatum: 2025-05-26 08:11:03.435022
Satzversion: 4
...
WS1	Am Wanter fléien <fléen> déi <dé> dréchen Bliéder an der Lu̱cht erem.
WS2	Et hèllt gleich up zu schnèdden, dann gé̮t d' Wi̱͡é̱der erem besser.
WS3	Déi Ku̱͡olen a̮n den U̱͡o̱fen, da̮t d' Me̮lleg gesch[w]énn unfèngt zu Ka̮chen.
WS4	Dién gu̮dden a̱len Ma̱nn a̮ss ma̮m Pè̱rd durch d'Eis gefa̮ll an d' ka̱lt Wa̱sser.
WS5	Hién ass gestu̱͡orf fir féer oder sechs Wochen.
WS7	Hién ésst d' È̱r emmer o̱͡une Salz ann Pè̮ffer.
WS9	Éch sénn bei der Fra̱ gewi̱ést ann éch hunn hi̱r et geso̱t an si̱ hu̱͡ot geso̱t, si̱ géif hi̱rer Duochter et o̮ch so̱en.
WS11	Ech schlo̮en déch geschwénn ma̮m Kachlèffel em d'O͡uren, du A̱f!
WS15	Du h[u̮]ss hètt am mé̱sten <bésten> geléiert ann du bass bra̮f gewiést, du kanns éischter hé̱m go̱n ass wéi déi A̱ner.
WS17	Géi, ann seff eso͡u gu̮t ann so̱ zu dénger Sester <Séster>, si soll d' Klèider fir èr Ma̮mm fèrteg bitzen ann mat der Bi̱scht rènglech ma̱n.
WS19	Wién hu͡ot mer mein Ku͡orf mam Flé̱sch gestu̱͡o̱l? <(gehollt?)>
WS20	Hién hu͡ot séch gema̱cht <(gestallt)>, ass wann se hi̱é̱n bestallt hètten fir ze dreschen, si hunn et awer sèlwer gema̱cht
WS24	Wé mer géster Ovend erem sen komm, <du> lo͡uen déi A̱ner schons a̮m Bè̮tt ann si hu̮nn fest geschlo̱f.
WS26	Hannert eisem Haus schtinn dre̱i schéiner Èppelbèmercher ma̮t ro͡uden Èppelcher.
WS32	Hutt dir èng'd Stéckelchen weiss Sé̱f fir méch op méngem Désch font?
WS33	Sein Bru̮dder wellt <wéllt> sech zwé̱ schéiner neier Heiser ann è̱ren Ga̱rt bauen.
WS34	Da̱t Wu̱rt ko͡um em fum Hè̱rz.
WS36	Wa̱t dir Figelcher setzen do u͡owen op dèr Meierchen?
WS37	D' Bauern ha̱ten fenef <fenf> Uossen ann néng Kéi ann zwiélef Schéwercher fir un d' Du͡orf bru͡ocht, déi wollten si ferka̱fen.
WS38	D' Lètt senn <sénn> hètt alleguor <alleguor(ten)> do baussen umm Fèlt ann si mé̱inen.
WS40	Esch senn matt den Lèdden do hannen i̮wer d' Wi̮ss ann d' Ka̱r gefu̱͡o̱r
