---
Bogennummer: '42327'
Ort: Eschweiler
Gid: 143519
Transliterationsprojekt: REDE
Transliterent: Lisa Dücker
Anmerkungen: Der Bogen enthält 41 Sätze.
Erstelldatum: 2025-05-13 13:57:53.412528
Änderungsdatum: 2025-05-20 07:11:09.113516
Satzversion: 4
...
WS1	Amm Wannter fleen de drechen Blieder ann der Luft erem.
WS3	Dong Kuehlen ann den Uefen, daß d Melech ufängt zu Kachen.
WS4	De dueden aalen Mann as mamm Perd durcht Eis gebrach ann hien as an dat kalt Waaßer gefall.
WS5	Hien as fir veer oder sechs Wochen gestuerven.
WS7	Hien eßt derr emmer uene Salz a Peffer.
WS9	Ich sen bei der Fra gewiest ann ech hunn hier et gesot, ann sie set, sie welt hierer Tuechter et och soon.
WS11	Ech schlon dech gleich mamm Kachleffel emt Doueren, du Aaf!
WS15	Du houest hett amm mesten geliert ann du baß artleg gewiest, du duerft ischter heam gon wie die aaner.
WS17	Gieh sier sou gutt a so denger Schwester, sie soll d Kleder dier deng Mamm ferdeg maan a matt der Biescht renglech maan
WS19	Wien huet mir mein Kuerf mamm Fleesch geholl?
WS20	Hien deet als hätten mir hin zum dreschen bestallt; sie hunn et iewel sellwer gedoon.
WS24	Wie wir gest drowend erem komm sinn, do lougen de Aner schonn amm Bett ann sie waren fest entschlop.
WS26	Hanner insem Hauß stinn drei schiener Äpelbumercher matt rouden Äpelcher.
WS32	Huet dir en Steckchen weiß Seef fir mech ob mengem Desch font?
WS33	Sein Bruder welt sech zwee schiener neier Heiser ann erren Gart bauen.
WS34	Dat Wuert koum himm vunn Herzen.
WS36	Watt setzen do fier Vigelcher uewen ob der Meierchen?
WS37	Dbouern haaten fenef Ochsen ann neng Kieh ann zwielef Schefercher vierun Duerf bruecht, den wollten sie verkaafen.
WS38	Dlett sen hett all dobaußen omm Feld ann sin miehen.
WS40	Ech hen matt de Leden do hannen iwert Wiess ant Kar gefuer.
