---
Bogennummer: '45797'
Ort: Trimstein
Gid: 14563
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: '{Der Lehrer setzt manchmal über dem ''u'' eine Art links offener Kingel;
  das transkribiere ich hier mit ''ů''.

  So in den Sätzen 3, 7, 8, 11, 22, 23, 24, 29, 30, 37, 39.}

  '
Erstelldatum: 2022-07-03 17:27:50.335215
Änderungsdatum: 2022-07-28 13:00:02.015785
...
WS1	Im Winter flügi die düüre Bletter i dr Luft ume.
WS2	Es hört itz de grad uf schneie, de besseret de ds Wätter ume.
WS3	Tue Chole i Ofe, dass d Miůch {auf 'u' ist eine Art links offener Kringel} afat choche.
WS4	Wo dä guet aut Maa mit em Ross isch uber ds Isch gfahre, hets mit ne la gah u sie sy i ds chaute Wasser gheit.
WS5	Är isch vor vier oder sächs Wuche <(auch Wuchí)> gstorbe
WS6	Es isch 'z starchs Füür gsi {darüber steht:} <(es het z hert brunne)> {auf 'n' steht ein Verdoppelungsstrich}  , d Chueche sy ja ungeruf ganz verbrönnt.
WS7	Är nimmt d' Eier gäng ohni Saůz & Pfäffer.
WS8	D' Füess tüe mer weh, glůbe i hig se düregripset, <(i hig e Blaatere gmacht)>
WS9	I bi bi dr Frau gsi, u har -es gsiͤ́t {über 'i' steht 'é'} , u sie het gsit, sie wẹus de ihrem Mitschi <(ihrer Tochter)> säge
WS10	I wott das nie meh mache.
WS11	I haue dr grad eis zum Gring mit dm Cheůeli, du Aff ! <(du Möff.)> {Idiotikon: 4, 93:  Scheltwort, Laffe, Dummkopf, Lümmel}
WS12	Wo wosch du hi ? söui mer mit dr cho ?
WS13	"Es git schlächt hürmehi. {Idiotikon: 2. Bedeutung ""heutzutage, gegenwärtig""}"
WS14	Mis liẹbe Ching wart hie nide, d Gäns tüe di süsch z' tod bysse.
WS15	Du hesch hüt am meschte glehrt u bisch brav gsi, du darfsch ender hiͦ́  {über 'i' steht 'é'} aus die angere.
WS16	Du bisch no z' chlin für ne Fläsche Wi usztreiche du muesch zersch no chli wachse u grösser wärde.
WS17	Du ! bis so guet u gang dir Schwester ga säge, sie söu d Chlider {zunächst 'Chleider', dann 1.'e' durchgestrichen} für eui Mueter fertig näie u se suber bürschte {zunächst 'bürste', dann '(sch)' über 's' eingefügt}  <(suber putze mit dr Bürschte>
WS18	We du ne g'kennt hättischt, wär es angersch usecho, es stieng itz besser um in {zunächst 'ihn', dann durchgestrichen und 'in' darüber geschrieben}.
WS19	Wär het mer mi Chorb mit em Fleisch gstohle ?
WS20	Är het grad gmacht, wie we se ne für z Trösche bstẹụt hätti, sie his säuber gmacht gha.
WS21	Wäm het er die neui Gschicht erzẹụt ?
WS22	Mir müessi <me muess>  {über 'müessi' steht 'me muess'} lůt brüeli, süsch verstit er üs <(is)> nid
WS23	Mir {zunächst wohl 'Miè', dann 'e' mit 'r' überschrieben und Akzent durchgestrichen} si můed ů hi Turscht.
WS24	Wo mir geschter am Abe si hi cho, si die angere scho im Bett gsi u hi fescht gschlafe, <(pfůůset)>
WS25	Dr Schnee het die Nacht aghäicht, aber hüt am Morge isch er ume vergange.
WS26	Hinger üsem Huus stöh drü schöni Öpfubüͦ̈mli <(ö)>   {über 'ü' steht '(ö)' und das lässt sich im Tool nur ungenau darstellen} mit rote Öpfeli.
WS27	Chüͦ̈t {über 'ü' steht '(ö)'} dir nid no nes Uͦgebickli {über 'U' steht 'o'} <(oder es Bitzeli)> warte uf is, mir chömi de grad mitech.
WS28	Dir dörfit nid däwäg löle, <(däwäg dr Löu mache, däwäg dumm tue.)>
WS29	Bi üs si d Bärge nid so höch, euer si viů höcher !
WS30	Wie mängs Pfůng Wurst ů wie mängs Brot müessit dr ha ?
WS31	I verstah-n ech nit, dir müessit e chli lüter rede !
WS32	Hit dir ke Bitz wissi Sife funge für mi uf mïm Tisch ?
WS33	Si Bruͤder wott i euem Garte zwü schöni, neui Hüser baue.
WS34	Das isch ihm ärscht {sic!} gsi.
WS35	Da hit dr rächt gha !
WS36	Was hocki da für Vögeli uf däm Müürli obe ? {zunächst nur 'uf däm Müürli ?' dann über dem Wort 'obe' eingefügt}
WS37	D Bure hi föif Stiere <Můnine)> nüün Chüe, u zwöuf Schäfli vor ds Dorf bracht gha, si hi se wẹụe verchuͦfe {über 'u' steht '(o)'}.
WS38	Es isch hüt aus uf em Fạ̈ụd usse u mäit.  <D Lüt si hüt aui uf dr Matte uss u mäịị>   <(beides gebräuchlich)>
WS39	Gang nume, dä brůůn Hůng macht dr nüt.
WS40	I bi mit dene Lüte dert hinger über d Matte ufe Gwächsacher gfahre.
