---
Bogennummer: '45683'
Ort: Kerzers
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:53.553434'
...
WS5	Er isch vor vier oder sächs Wuchä gschtorbä.
WS6	D' s Für isch z' schtarch gsi, d' Chuächä si ja unger uf ganz schwarz (brönnt).
WS7	Er isst d' Eier ging ohni Sa̱uz u Pfäffer.
WS8	(D' Füess) P' Füess tüä mier hert (rächt) weh, i glglaube-n-i heig sie dürgloffe (dürglüffe.)
WS9	"I bi bi där Frau ['a' durchgestrichen und mit 'o' überschrieben: ""Frou""] gsi u ha-n-ere 's gseit, un si het gseit, si we̱u 's ihrer Tächter (Tochter, Meitli) säge."
WS10	I wott 's (wiu' s) o nid meh (ume) mache.
WS11	"I schla (houe, zwicke) di öppe de (glich) mit äm Chochlöff? [Wortendug dick mit 'u' überschrieben: ""Chochlöffu""]  um d' Ohre, du Aff !"
WS12	Wo geisch (wotsch) du hi, söi mer (mier) mit der gah.
WS13	Es si schlächt Zitä.
WS14	Mi liebe Ching, blib hiä unger schtah, die bösä Gens bissä di z' tod.
WS15	"Du hesch  [oben eingefügt:] hüt  am  meischte ['e' mit 'a' überschrieben: ""meischta""]  (viuschtä) glehrt u bisch artig gsi (hesch gfouget)  Du darfisch früier hei (ga) a̱us die ['e' ist ganz dünn] angere."
WS16	Du bisch no nid gross gnuä fur n' ä Fläschä Wie usztrinke, du muesch z' ersch no chlei (öppis) wachsä u gröser wärdä.
WS17	"Gang, bisch so guet u säg dir Schweschter, si söu d' Chleider fur öij Muter [zwischen 'u' und 't' oben 'e' eingefügt: ""Mueter""] fertig näiä-n-u mit där Bürschte (rein mache)  [darunter:] putze."
WS18	Hättisch du ne b'chönnt ! de wär 's angers cho, un äs tät besser um ihn schtah (schtueng besser um ihn
WS19	Wär het mier mi Chorb mit Fleisch gschtohle ?
WS20	"Äer ['e' durchgesrichen: ""Är""] het so ta (gmacht) wi wenn si n' ä fur z' Trösche[?] bschte̱ut hä?t;  si hei 's aber sä̱uber ta (gmacht)."
WS21	"Wem het är die ['e' durchgestrichen: ""di""] nöij Gschicht erze̱ut ?"
WS22	"Mier müesse lut brüelä, süsch verschteit er is niid. (langes ""i"")"
WS23	Mier si müed u hei Turscht.
WS24	Wo mier nächti (geschter äm Abä) zrugg cho si[?], da si die angere scho im Bett gsi un si fescht am schlafe gsi.
WS25	"Der Schnee isch disi (letschti) nacht bi üs blibä li e gä ['e' durchgestrichen: ""ligä""], aber äm Morgä isch er vergangä (gschmouze)"
WS26	"Hinger üsem Hus stange drü schöni Öpfüböimli [ü-Pünktchen durchgestrichen: ""Öpfuböimli""] mit rotne Öpfeli."
WS27	"Chöit diär nid no-n-äs Ougäblickli  auf ['a' durchgesrichen: ""uf""]  üs (is) wartä, de gangä mär mit (euch) ech."
WS28	Dier dörfet nid setig (Chindereie)  [darunter:] (nicht übersetzbar)  tribä oder nid so tumm tue.
WS29	Üser Bärge si nid grad (öppe) höch, euer si  [oben eingefügt:] viu  höcher.
WS30	"Wi mängs Pfung Wurscht u wie ['e' durchgesrichen: ""wi""] mängs (wiviu) Brot weit dier ha ?"
