---
Bogennummer: '44969'
Ort: Möriken
Gid: 15459
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2024-12-29 18:40:09.398437
Änderungsdatum: 2025-01-09 17:08:41.338385
Satzversion: 1
...
WS1	i̇̀m wi̇̀nter flǖǖge di tròchne bletter i̇̀ der lùft ùme.
WS2	es hö̈̄rrt grad uf schneije, denn wi̇̀rd s' wätter wi̇̀der besser.
WS3	tue chòle-n-i̇̀ òfe, dass d' mi̇̀lch bald afòòt sǖǖde.
WS4	de guet, alt maa i̇̀sch mi̇̀ttem ròss i̇̀m iis iibròche ùnd i̇̀s chalt wasser gfalle.
WS5	er i̇̀sch vòr vier òder sächs wōche gstōōrbe.
WS6	s' fǖǖr hèt z' starch bbrōnne, d 'chueche si̇̀nd jò ùnde ganz schwarz.
WS7	er i̇̀sst d' äier i̇̀mmer òni salz ùnd pfäffer.
WS8	d' füess tüemmer jämmerlìch <[grüüsli̇̀]> wee {zunächst 'jämmerli̇̀ch wee', dann oben dazwischen '[grüüsli̇̀]' eingefügt}, i glaube-n-i ha-si  dùregglòffe {zunächst 'dùreglòffe', dann 2.'g' zwischen 'e' und 1.'g' eingequetscht}.
WS9	i bi̇̀ bi̇̀ der frau gsii ùnd ha-n-eres gsäit ùnd si hèt gsäit, si wells au ìrer tòchter säge.
WS10	i wills au nie me mache. <[gwǜss <[e]>  nǜmm mache]> {über 'gwǜss' steht - ebenfalls in eckigen Klammern 'e': zwei weitere Möglichkeiten:} 1. <i wills au gwǜss nǜmme mache>  2. <i wills au e nǜmme mache>  
WS11	i hau de̊r grad de chòchlö̀ffel ùm d' ōhre ùme, du aff !
WS12	wō gòòsch hee, sèle-mer mi̇̀tter chōō ?
WS13	s' si̇̀nd schlächti ziite.
WS14	du guets chi̇̀nd, bliib dò ùnde stòò, di bȫȫse ganse biisse-di z' tōōd.
WS15	du hèsch hǜtt am mäischte gleert ùnd bi̇̀sch brav gsii, du daffsch <darffsch> {der Lehrer schreibt: 'da[r]ffsch'} eener häi as di andère.
WS16	du bi̇̀sch nònig grōōss gnueg fǜr-ne fläsche wii ūūs-z'tri̇̀nke, du muesch z' eerscht nòchli̇̀ wachse . <[und grȫȫsser wärde.]>
WS17	bi̇̀s-so guet ùnd <[gang]> säg diner schwö̀schter, si sèll d' chläider fǜr ö̀i-i mueter fertig neihe ùnd suuber bǜǜrschte.
WS18	hättische du kènnt, dènn wèèrs anderscht ūse chōō, ùnd s' stiend besser mi̇̀ttem.
WS19	wèr hèt-mer de chōōrb {zunächst 'chōrb', dann 2.'ō' oben zwischen 'h' und 1.'ō' eingefügt} vòll fläisch gstòle ?
WS20	er hèt esōō tòò, wē wenn si i̇̀nn zùm trö̀sche bstellt hätte; si händs aber sälber gmacht.
WS21	wèm hèt-er di nö̀i gschi̇̀cht verzellt ?
WS22	me mues lūūt brüele, sōscht verstòòt er is ni̇̀d. <[need]>
WS23	mer sind müed ùnd händ ddùùrscht.
WS24	wō-mer gèschter zòòbe zrùgg chōō si̇̀nd, dō si̇̀nd di andère schō i̇̀m bett gsii ùnd händ fèscht gschlòòfe.
WS25	de schnee i̇̀sch die nacht bi̇̀-n-ö̀is li̇̀gge bbli̇̀be, aber hǜtt-è<[a]>m-morge {der Lehrer schreibt '[a]' über 'è':  'hǜtt-am-mòrge' anstelle von 'hǜtt-èm-mòrge'} i̇̀sch er vergange.
WS26	hi̇̀nder ö̀isem hūūs stö̀ö̀nd drǖǖ schȫȫni ö̀pfelbö̀imli̇̀ mit rōōte-n-ö̀pfeli.
WS27	chö̀-ne-de̊r ni̇̀d nòchli̇̀ warte, de chö̀-me-mer mi̇̀ttèch.
WS28	tüend ni̇̀d sō tùmm !
WS29	ö̀isi bäärge {zunächst 'bärge', dann 2.'ä' oben zwischen 'ä' und 'r' eingefügt} si̇̀nd ni̇̀d sō hȫȫch, ö̀i-i si̇̀nd vi̇̀ll hȫȫcher.  bäärge  {hinter dem Satz steht nochmals 'bäärge'}
WS30	wi̇̀ vi̇̀ll wǜǜrscht ùnd wi̇̀ vi̇̀ll brōōt müend-i̇̀r haa ?
WS31	i̇̀ verstòò-n-èch need, e̊r müend ès bi̇̀tzeli lǖǖter rède.
WS32	händ-er kès stǜckli̇̀ wiissi säipfe fǜr mee ùf mim ti̇̀sch gfùnde ?
WS33	si brüeder wi̇̀ll zwö̀i schȫȫni nö̀ii hǖǖser bòue i ö̀iem garte-n-i̇̀nne.
WS34	das wōōrt i̇̀sch-èm ùsem härze chōō.
WS35	das händ-si rächt gmacht.
WS36	was hòcke dòò fǜr vö̀geli ùf-em mǖǖrli̇̀ òbe ?
WS37	<[d]> pūūre händ fö̀if stiere ùnd nǖǖn chüe ùnd zwö̀lf schö̀ö̀fli̇̀ vòrs dōōrf use bbròòcht wō si händ wèlle verchaufe.
WS38	d' lǖǖt si̇̀nd hǜtt alli ùf-em fäld ùsse ùnd tüend meije.
WS39	gang nùme, de brūūn hùnd mach-ter nǖǖt.
WS40	i bi̇̀ mi̇̀t dene lǖǖte dò hi̇̀nde ǜbers graas i̇̀s chòrn gfaare.
