---
Bogennummer: '44762'
Ort: Remigen
Gid: 17693
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2023-04-22 18:09:59.910979
Änderungsdatum: 2023-04-22 18:09:59.910979
Satzversion: 1
...
WS1	Im Winter fliege die trochne Blätter i dr Luft umenand.
WS2	Es laht grad na {'grad' ist nachträglich oben zwischen 'laht' und 'na' eingefügt}  mit schneie, de wird s' Wetter besser.
WS3	Tue Chohle i Ofe, ass d' Milch afät syde.
WS4	De guet alt Ma isch is Is  {zunächst 'Ma' etwas Durchgestrichenes 'Is', dann zwischen 'Ma' und 'Is' oben 'isch is' eingefügt}  ibroche & is chalt Wasser gheit mit em Ross. 
WS5	Er isch vor vier oder sechs Woche gstorbe.
WS6	S' Für isch z'stark gsi, d' Chuche sind jo unde ganz verbrännt  {zunächst Wortanfang 'ie' unleserlich und durchgestrichen, dann oben 'ver' ergänzt; Verdoppelungsstrich auf 'n'} .
WS7	Er isst d' Eier allewil ohni Salz & Pfeffer.
WS8	D' Füess tümer so weh, ich glaube, ich has duregloffe.
WS9	Ich be bi dr Frau gsi & han er es gseit, & do het si gseit, sie wölls au ihrer Tochter säge
WS10	Ich wills au nümme {Verdoppelungsstrich auf 'm'} mache.
WS11	Ich schlah {zunächst 'schah', dann zwischen 'h' und 'a' oben 'l' eingefügt} dr grad mit em Chochlöffel um <uf>  {'um' steht auf der Zeile. 'uf' steht darüber}  d' Ohre, du Aff.
WS12	Wo gosch du anne {Verdoppelungsstrich auf 'n'} , sölle mir au mit dr goh.
WS13	Es sind schlechti Zite !
WS14	Mis liebs Chind, blib do unde stoh, die böse Gäns tünd de {zunächst 'di', dann 'i' mit breitem 'e' überschrieben}  z' tod bisse.
WS15	Du hesch hüt am meiste glährt & bisch artig gsi, du darfsch ender hei, als die andere.
WS16	Du bisch nonig gross gnug, für {zunächst 'um', dann durchgestrichen und darüber 'für' geschrieben} e Fläsche Wi usztrinke; du muesch {zunächst 'musch', dann zwischen 'u' und 's' oben 'e' eingequetscht} zerscht {zunächst 'zerst', dann 't' mit 'c' überschrieben und Wort zu 'zerscht' ergänzt} no öpis wachse & grösser werde. 
WS17	Gang, bis so gut & säg dir Schwöschter, se {zunächst 'si', dann 'i' mit 'e' überschrieben} söll d' Kleider für euri Mutter fertig näje & mit dr Bürschte {zunächst 'Bürst', dann 't' mit 'c' überschrieben und zu 'Bürschte' ergänzt} subr mache   mache.
WS18	Hättisch du {'ihn' durchgestrichen} inn kännt, denn  {dreimal Verdoppelungsstrich auf 'n'} wärs anderscht cho & es stient besser mit em.
WS19	Wer het mer min Chorb {zunächst senkrechter Strich, um ein 'K' zu beginnen} mit em Fleisch gstole {zunächst 'gstohle', dann 'h' durchgestrichen} .
WS20	Se hend der gliche to {zunächst 'toh', dann 'h' durchgestrichen}, {'als' durchgestrichen} wie wenn {zunächst 'wens', dann Verdopperlungsstrich auf 'n' und 's' durchgestrichen} s' en zum Drösche wette; sie hei's abr selber gmacht. 
WS21	Wem het er die neue Gschicht verzellt ?
WS22	Me mues lut brüele, suscht verstoht er {zunächst 'suscht er' und 'verstoht' oben zwischen den Wörtern eingefügt} eüs nid.
WS23	Mer sind müd & hend Durscht.
WS24	Wo mer geschter zobe zrugg cho sind, sind die andere scho im Bett gläge & hei fest gschlofe.
WS25	Dr Schnee isch die Nacht bi euis bliebe lige, abr heut am Morge isch er vergange.
WS26	Hinder euisem Hus stönd drü schöni Öpfelbäumli mit rote Öpfeli.
WS27	Chönet er nid no chli uf is warte, denn {Verdoppelungsstrich auf 'n'}  chöme mer mit ech {zunächst 'euch', dann durchgestrichen und darüber 'ech' gesetzt} .
WS28	{zunächst 'De', dann durchgestrichen}  Jhr dörfet nid setigi Chindereie triebe.
WS29	Euise Berg sind nid so höch; eueri sind viel höcher.
WS30	{'Wieviel' ist durchgestrichen}  Wie mengs Pfund  {'Wurscht' ist durchgestrichen} vo dr Wurscht wend er & wievil Brot.
WS31	Jch verstand ich nid, ir mend e chli lüter rede.
WS32	Hend' r {zunächst 'er', dann 'e' durchgekreuzt} keis wisses Stückli Seipfe für me uf mim {zunächst 'em', dann 'e' durchgestrichen und 'm' zu 'mim' ergänzt}  Tisch gfunde ?
WS33	Si Brüeder will füer sich zwöi schöni neui Hüser i euem Garte baue.
WS34	Das Wort isch em us em Herz cho.
WS35	Das isch recht vo euich.
WS36	Was hocke do füer Vögeli obe uf em Mürli ?
WS37	D' Bure hend föif {zunächst 'föü' begonnen und mitten im 'u' aufgehört und Wort als 'föif' fertig geschrieben, jetzt gibt es zwei i-Punkte}  Stiere & nün Chüe & zwölf Schöfli vors Dorf brocht, si hend's wölle verchaufe.
WS38	D' Lüt sind hüt alli uf rm Feld usse & meje {zunächst 'mäje', dann durchgestrichen und dahinter 'meje' geschrieben} .
WS39	Gang numme {Verdoppelungsstrich auf 'm'} , de brun Hnd macht 'r nüt.
WS40	Ich bi mit de Lüte da hnde über Matte is Chorn gfare.
