---
Bogennummer: '45803'
Ort: Mirchel
Gid: 17178
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2022-07-25 13:45:25.479555
Änderungsdatum: 2022-08-02 17:36:11.028587
...
WS1	Im Winter flüge die trochene Bletter i dr Luft desŭme.
WS2	Es hört de gly uf mit Schneie, de wird de ds' Wätter ume besser.
WS3	Ghei Chole i Ofe, dass d' Miŭch gly {zunächst 'gli', dann 'i' zu 'y' ergänzt, der i-Punkt blieb stehen} chochet. <(gly afat choche.)>
WS4	Dä gŭet aŭt Ma isch mit em Ross dür ds Ysch düre broche u isch i ds chaute Wasser gheit.
WS5	Är isch vor vier oder sächs Wŭche gstorbe.
WS6	Ds Füür issch z' starch gsy, d' Chŭeche sy ja ungerŭf ganz schwarz verbrönnt gsy.
WS7	́Är isst d' Eier immer ohni Saŭz u Pfäffer.
WS8	D'Füess tüe mer hert weh, i glŭŭbe, i hig se dürglüffe {zunächst 'dürgf..' verschrieben, dann Unterlänge von 'f' durchgestrichen und zu 'dürglüffe' ergänzt}.
WS9	I bi bi dr Frou gsy u ha re's gsit, u si het gsit, si wöu's o ihrem Miitsche <(ihrer Tächter)> säge.
WS10	I wiu 's o nümme mache.
WS11	I schla dr ge {sic! anstelle von 'de' verschrieben ?} gli s Cheŭeli um d' Ohre, du Aff !
WS12	Wo gisch hi, söŭe mer mit dr cho ?
WS13	Äs si schlächti Zyte.
WS14	Mis liebe Ching, blib hie unger stah, die böse Gäns bysse die z'tod.
WS15	Du hesch hüt am mischte glehrt, ŭ bisch brav gsy, du chasch früecher <(ehnder)> hi ga, aŭs die angere.
WS16	Du bisch no nid gross gnue, für ne Fläsche Wy usztreiche, du mŭesch z'ersch no chli wachse u gröser wärde.
WS17	Gang, bis so guet u säg dir Schwöschter, sie sött d'Chlider für eŭi Muet[o]r {rumkorrigiert - vielleicht zunächst 'Mueti', dann 'i' überschrieben und ergänzt zu 'er'] fertig näye u mit der Bürschte putze.
WS18	Hättisch du ne kennt ! de wäs angers cho ŭn es stieng besser um ihn.
WS19	Wär het mer mi Chorb mit Fleisch gstohle.
WS20	Är het drglyche ta, wie we si ne zum Trösche bsteŭt hätti, si his aber säuber gmacht.
WS21	Wäm het er die neui Gschicht erzeŭt ?
WS22	Me mŭes lŭt brüele, süsch verstiet {zunächst 'verstit' nach angefangenem 't' abgebrochen und nach 'i' mit 'et' beendet} er is nid.
WS23	Mir si müed u hi Durscht.
WS24	Womer geschter am Abe si hi cho, si die angere scho im Bett gläge u hi fescht gschlafe.
WS25	Dr Schnee isch die Nacht bi üs blybe liege, aber dä Morge isch er vergange.
WS26	Hinger üsem {zunächst 'em' dann durchgestrichen und darüber 'üsem' notiert} Hus stange drü schöni Öpfubüümli mit rote Öpfeli.
WS27	Chüüt d'er nid no es Ugeblickli uf is warte, de ga mer mit ech.
WS28	D'ihr dörfit nid settig <(selig)> Chindereie triebe.
WS29	Üser Bärge si nid grüsli höch, eui si viu höcher.
WS30	{'M' durchgestrichen} Wie mängs Pfung Wurst u wieviel Brot wit d'ehr ?
WS31	I verstah nech nid, d'ihr müesst e chli luter rede.
WS32	Hit d'ehr kes Bitzli wyssi Siife für mi uf mim Tisch gfunge.
WS33	Si Brueder wott sech zwöi schöni neui Hüser i euem Garte boue.
WS34	Das Wort isch ihm vo Härze cho.
WS35	Das isch rächt gsi vone.
WS36	Was hocke da für Vögeli uf dr Muur|[o]be {offenbar beide Wörter zuammengeschrieben und dann mit senkrechtem Strich getrennt} ?
WS37	D'Bure hi föif Ochse ŭ nün Chüe u zwöuf Schaf vor ds Dörfli brunge gha, die hi si weŭe verchuufe.
WS38	D'Lüt si hüt aui {'hüt' ist nachträglich oben zwischeen 'si' und 'aui' eingefügt} uf em Fäŭd {zunächst 'Fäl', dann 'l' zu 'u' ergänzt} u mäye.
WS39	Gang nume, dr brun Hung tuet dr nüt.
WS40	I bi mit de Lüt da hinger über die Matte i ds Chorn gfahre.
