---
Bogennummer: '45103'
Ort: Niedergerlafingen (Gerlafingen)
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: d4fa8c8b-3724-48a0-9307-ed0ddafe3dbe
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:54.780063'
...
WS8	D' Füess düe (tüe) m(e)r eländ we, i glaŭbe, i ha se düre gloffe. 
WS9	I bi bi d(e)r Fraŭ gsi ŭnd ha n'er es gseit, ŭnd si hett gseit, si weŭs au i irer (a irer) Tochter säge. 
WS10	I(g) wotts aŭ nümme mache. 
WS11	I haŭ d(e)r grad mittem (midem) Chochlöffŭ ŭm t' Ohre (n)ŭme, du Aff. 
WS12	Wo geisch häre, söŭe m(e)r mitter cho? 
WS13	Es si schlächti Zite. 
WS14	Liebs Ching, blib do ŭnge schto, die böse Gäns bisse di z'tod. 
WS15	Dŭ hesch hütt am meischte glehrt ŭnd bisch brav gsi, dŭ darf früecher hei go as (aŭs) die angere. 
WS16	Dŭ bisch noni gross gnŭe für ne Fläsche wi ŭsz'trinke, dŭ mŭesch z'erscht no (ne) chli wachse ŭnd grösser wärde. 
WS17	Gang, ŭnd bisch so gŭet ŭnd säg i dir (a dir) Schwöschter, si söu d Chleider für üji Mŭeter fertig näj[e], ŭnd mit der Bürschte [...] (sŭber) mache.  
WS18	Hättsch ne könnt, de wär's angerscht (angersch) (angerisch) (angerschter) cho, ŭnd es dät(i) besser ŭm 'ne schto. (ŭnd es schtieng [stünde] angersch ŭm ne.)
WS19	Wär hett m(e)r mi Chorb voŭ Fleisch gschtole? 
WS20	Er (Är) hett d(e)r gliche do, wie wenn si ne zŭm Drösche beschteŭt hätte (häde); aber si hei's säub(e)r gmacht.
