---
Bogennummer: '32939'
Ort: Rechtenbach
Gid: 98210
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Rolf Kanert
Erstelldatum: 2025-04-30 10:50:23.291332
Änderungsdatum: 2025-04-30 11:53:14.277540
Satzversion: 1
...
WS1	Ĭm Wĭndr fliege dĭ drŭckĕ́nĕ́ Blĕ́ddĕr ĭn dr Lŭft rŭm.
WS2	s' hǟrd gleich uff zĕ́ schneigĕ́, nōt <(u. nōtĕr)> wĕrts' Wèddĕr wĭddĕr bĕ́ssĕr.
WS3	Dū Kōhlĕ́ ĭn dĕ́ Ŏffĕ́, ăß d'Mĭllĭch băll ãnfăngt sĕ kŏchĕ́.
WS4	Dr gūd ăld Mănn ĭsch mĭd'm Gaul <(Pferd nicht gebräuchlich)> dŭrch's Eis gĕ́brŏchĕ́ ŭnn ĭn's kăld Wăssĕr gfăllĕ́.
WS5	ĕ̀rr ĭsch vărr vier ŏddĕr sĕ́chs Wŭchĕ́ gschtārwĕ́.
WS6	s' Fĕir ĭsch sĕ schtŏrk gĕwĕ̀st <(imperf. nicht gebräuchl.)> d'Kūchĕ sĭnn jŏ ŭnnĕ gănz schwărz gĕbrĕ̀nnt.
WS7	"ĕ̀rr èßt d'ḕger <(g wie in ""Regen"") ĭmmĕr ūnĕ́ Sălz ŭnn Pĕ̀ffr."
WS8	D'Fīs dūm'r wḗ, ĭch glḕb, ĭch hăbb sĕ́ dŭrchgĕ́lŏffĕ́.
WS9	"Ich bĭn bei d'r Frḕ gĕ́wĕ̀st ŭnn hăbbs'r gesāgt <(g wie in ""tragen"") ŭnn sie hădd g'sāgt, sie wĭll's ǟrĕ́ Dŏcht'r sāge."
WS10	Ich wĭlls ḕ nĭmmĭ wĭddĕr dṵ.
WS11	Ich schlăch d'r gleich d'Kŏchĕ́lĕ́ffl ĭw'r d'Ārĕ́, du Ăff!
WS12	Wŭ gḗsch hĩ, sĕ́llĕ́mĕr mĭttĕr gḛ.
WS13	'Sĭnn schlĕchdĕ́ Zeidĕ́.
WS14	Mḛi {Tilde unter beiden Vokalbuchstaben} līwĕ́s Kĭnd bleib hŭnnĕ́ schtḛ̄, dĭe bḗsĕ́ Gĕ̀ns' beißĕ́n dĭch dōd.
WS15	Du hăsch heid s'mḗnschd gĕ́lēhrd ŭnn bĭsch ărndlĭch <(artig nicht gbrchl.)> gĕwĕ̀st, dū dĕrfsch ḗnder hḕm gĕhĕ́ ăß d'ănnĕrĕ́.
WS16	Du bĭsch nŏch nĭt grōß gĕ́nŭnk, fărrĕ́ Bŭdĕll <(Flasche nicht gebrchl.)> Wḛi {Tilde unter beiden Vokalbuchstaben} auszĕ́drinkĕ́, du mŭsch nŏch <(etwas nicht gebrchl.)'> ĕ́ bĭssl wăxĕ́ ŭnn grḗsĕr wĕrrĕ́.
WS17	<(Geh, sei so gut ist durchaus ungebrchl.)> Gĕ̀ll dŭ sāg'sch deinr Schwĕ́schtr, sĭ sĕ́ll dĭ Glḕdĕr fĕr eir Mŭddĕr fĕrdĭg nḗgĕ́ unn mĭd'r Bĕrscht sauwer măche.
WS18	<(Hättest etc. [?] ungebr.)> Wănnd'n gĕ́kĕ̀nnd hĕ́tsch, nōd wērs ănnĕrscht kŭmmĕ, unn 's dēd bĕ́ssr ŭmĕn schdḛ̄.
WS19	Wèr hădd mĕ̀r mḛi {Tilde unter beiden Vokalbuchstaben} Kărb mid Flḕsch gschdōlĕ́.
WS20	Ĕ̀rr hădd sŏ gedṵ, ăß wănn sĕn făr sĕ́ drĕ̀schĕ́ bschdĕ́lld hĕ́ddn, sĭ hĕ̀nns ăwer sĕ̀lwĕr gedṵ.
