---
Bogennummer: '21336'
Ort: Wülfer-Bexten
Gid: 103310
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Arne Milas
Original Anmerkungen: In umstehender Übersetzung kommt der Laut ‌"e͡ui" heufig vor;
  deselbe ist nicht schrifltich genau zu geben; er liegt in der Mitte zwischen "eu
  un ei", nicht so schard wie "ei" und schärfer als "eu".
Erstelldatum: 2022-06-03 10:18:35.938792
Änderungsdatum: 2022-06-03 10:18:35.938792
...
WS1	In'n Winder fleuiget dä druigen Bleer dür dä Luft herrümme.
WS2	Et heuert glüik ub teo schnuigen, dann werd dat Wedder wedder bädder.
WS3	Deo Köhle in den Ob'n, dat dä Mälke bäule anteo koken fänkt.
WS4	Dä geo äule Kerl <(Mann)> es met den Peer dürt Uis broken un int käule Wada fallen.
WS5	He͡uei es vuo ve͡ueir uoder sech Wieken stuorb'n.
WS6	Dat Fuir was teo he͡ueit, dä Keuoken sind jui unner ganz schwart brennt.
WS7	H͡euei ät dä E͡ueir jümmer  e͡une Suolt un Pöpper.
WS8	Dä Foöde deot mui düt we͡uei, eck läuwe, eck häwwe se͡uei dür läub'n.
WS9	Eck sinn bui der Frubb'n wesen un häwwe et ehr sägt, un se͡euei see, se͡uei woll er ehr Dochta se͡ueijen.
WS10	Ek will et äuk nich medder deoun!
WS11	Eck schlo dui gluik met'n Schleueiwe ümme da Äu'ern, dui Aape!
WS12	Muin le͡ueiwe Kuind, bluif huir unner sohn, dä bäusen Gäuse buit dui däut.
WS13	Et sind schlächte Tuid'n!
WS14	Dui bist näu nich gräut geneoug, ümme e͡ueine Flaske Wuin iutteodrinken, dui most eueirst näu en Enne wassen un grödder wern.̀
WS15	Dui bist näu nich gräut geneoug, ümme e͡ueine Flaske Wuin iutteodrinken, dui most eueirst näu en Enne wassen un grödder wern.̀
WS16	Dui bist näu nich gräut geneoug, ümme e͡ueine Flaske Wuin iutteodrinken, dui most eueirst näu en Enne wassen un grödder wern.̀
WS17	Gonk, sui seo geout un se͡ueig duiner Süster, se͡uei soll dä Klei'er für jüwwe Mömme ferg neiijen un met der Bösten reuijen maken.
