---
Bogennummer: '44978'
Ort: Hendschiken
Gid: 17249
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2025-01-07 19:19:08.131788
Änderungsdatum: 2025-01-07 19:19:08.131788
Satzversion: 1
...
WS1	im Wi̇̀nter flüüge di tròchne bletter i̇̀ der lùft ùme.
WS2	es hȫrt {oder 'hö̀rrt' beide Varianten sind übereinander geschrieben} iez uf schnēie, enn wi̇̀rd s' wätter wi̇̀der besser.
WS3	tue chòle-n-i̇̀ òfe, dass d' mi̇̀lch bald afòòt süüde.
WS4	dè guet alt maa i̇̀sch mi̇̀t èm ross dùr's iis bròche ùnd i̇̀s chalt wasser gfalle.
WS5	èr i̇̀sch vòr vier òder sächs wōche gstoorbe.
WS6	s' füür i̇̀sch z' starch gsii, d' chueche si̇̀nd jò ùnde gant schwarz brö̀nnt.
WS7	er i̇̀sst d' äier ì̇mmer òni salz.
WS8	d' füess tüe mèr grüüsli {zunächst 'grüsli', dann 2.'ü' oben zwischen 'r' und 1.'ü' eingefügt} weh, i glaͣ̈ube, i ha si dùre glòffe. 
WS9	i bè bè der fraͣ̈u gsi ùnd han er es gsäit, ùnd si hèt gsäit, si wells aͣ̈u i̇̀rer tochter sääge {zunächst 'säge', dann 2.'ä' oben zwischen 1.'ä' und 'g' eingefügt}.
WS10	i wi̇̀lls aͣ̈u nǜmme tue !
WS11	i haͣ̈u dr grad mi̇̀t èm chelle äis ùm d' ohre {zunächst wohl 'oore', dann 'h' über 2.o. notiert}, du aff !
WS12	wò gòhscht du hi̇̀, sèle mr mi̇̀t dr gòò {zunächst 'choo', dann 'c' durchgestrichen und 'h' dick mit 'g' überschrieben} ? 
WS13	ès si̇̀nd schlächti Ziite !
