---
Bogennummer: '44727'
Ort: Gipf-Oberfrick
Gid: 17924
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: "{Der Bogen wurde nachträglich mit einem roten Farbstift korrigiert.\
  \ Am Seitenkopf ist rot vermerkt: \"st=scht. eu=öi. ei wird wohl auch in G.-Obf.\
  \ als äi gesprochen. Viele Dehnungen (gsii, mer sii) sind nicht kenntlich gemacht.\"\
  \ \nHier ist die Version des Lehrers transkribiert; das, was mit dem roten Farbstift\
  \ notiert wurde, ist in geschweifter Klammer mit \"2.Hand: ...\" beschrieben.}"
Erstelldatum: 2024-07-16 15:53:19.298888
Änderungsdatum: 2024-09-16 11:56:54.336506
Satzversion: 1
...
WS1	Im Winter flüüge di|e trochne Blätter i der Luft ùme.
WS2	Es hört grad uf schneie, derno wirds Wätter wieder {2.Hand: 1.'e' durchgestrichen: 'wider'} besser.
WS3	Tue Chohle i Ofe, ass d' Milch bald afet choche.
WS4	De guet alt Ma isch mit em Ross durs Is {2.Hand: 's' mit rotem 'i' überschrieben und zu 'Iis' ergänzt} abegheit und is chalt Wasser gheit.
WS5	Er isch vor vier oder sächs Wùche gschtorbe.
WS6	S' Füür isch z' schtark gsi, di|e Chueche sii jo unde ganz schwarz brännt.
WS7	Ėr isst d' Eier allewi|il ohni Salz und Pfäffer.
WS8	Pfüess tümer weh, i glaub, i bi wund.
WS9	I bi bi der Frau gsi und haneres gseit, und si het gseit, si wölls au ihrer Tochter säge.
WS10	I wills au nümme tue !
WS11	I hau der grad e paar mit em Chochlöffel um d' Ohre ùme, du Aff !
WS12	Wohi gòsch, mümer mit der goh ?
WS13	Es si schlächti Zite !
WS14	Du liebs Chind, blieb {2.Hand: 'e' rot durchgestrichen} do unde stoh {2.Hand: 'st' rot unterstrichen}, die böse Gäise bisse di z'tod.
WS15	Du hesch hütt am meiste {2.Hand: 'st' rot unterstrichen} glehrt und bisch brav gsi, du darfsch ender heigo, als {2.Hand: rote Wellenlinie unter 'als'; am linken Blattrand steht rot 'ass'} di|e andere.
WS16	Du bisch no {nach 'o' ist etwas Unlesbares verkleckst} it gross gnueg, um e Fläsche Wi usztrinke, du muesch zerst {2.Hand: 'st' rot unterstrichen} no wachse und grösser wärde.
WS17	Gang, biss so guet und säg di̱r Schwöster, si söll Kleider für eui Mueter fertig mache und mit der Bürste suuber mache.
WS18	Wenn in kännt hätsch, derno wärs andersch cho, und s' tät besser mit em stoh {2.Hand: 'st' rot unterstrichen}.
WS19	Wer hät mer mi Chorb mit em Fleisch gschtohle ?
WS20	Er hät to wie wenn|se zum Trösche bschtellt {zunächst 'bstellt', dann zwischen 's' und 't' oben 'ch' eingefügt} hätte; sie heis aber sälber {zunächst 'selber', dann 1.'e' mit 'ä' überschrieben} gmacht.
WS21	Wem hät er di|e neu Gschicht verzellt ?
WS22	Mer mues lut brüele, suscht verstoht {2.Hand: 'st' rot unterstrichen} ers it.
WS23	Mer si müed und hei Turscht
WS24	Womer gester z' Obe zrugg cho si, si die andere scho im Bett gsi und si fest igschlofe gsi.
WS25	Der Schnee isch die Nacht bliebe {2.Hand: 1.'e' rot durchgestrichen} ligge, aber hüt am Morge isch er vergange {zunächst 'gschmulze', dann durchgestrichen und darüber 'vergange' notiert} gsi.
WS26	Hinder eusem Huus stönd {2.Hand: 'st' rot unterstrichen} drei schöni Öpfelböim mit roten Öpfle.
WS27	Chönet {zunächst 'Chönt', dann zwischen 'n' und 't' oben 'e' eingefügt} dir it no e chline Augeblick warte uf eus, derno gömmer mit ich. 
WS28	Der dörfet it dere Chindereie triibe.
WS29	Eusi Bärg {zunächst 'Be'} si it grad höch, eui si vill höcher.
WS30	Wie mängs Pfund Wurscht und wie mängs Brot {'weit' ist durchgestrichen} wäiter ?
WS31	Ich verstohn {zunächst 'verstand', dann vom Lehrer 'and' durchgestrichen und 'ohn' darüber notiert} ich it, der müend e chli luter rede.
WS32	Heiter {2.Hand: 'ei' rot unterstrichen; 'äi ?' am linken Blattrand rot notiert} kei wissi Seipf[ė] {unklar, ob 'e' oder 'i' am Wortende stehen soll} für mi uf mim Tisch gfunde ?
WS33	Si Brüeder will für sich zwöi schöni nöii Hüüser i euem Garte boue.
WS34	Das Wort isch em vo Härze cho.
WS35	Da|isch recht {2.Hand: 'e' rot unterstrichen und rot 'ä' darüber notiert} gsi von ich {2.Hand: 'ich' mit roter Wellenlinie unterstrichen} !
WS36	Was sitze dört obe fúr Vögeli uf em Müürli ?
WS37	D' Buure hei feuf Stiere {2.Hand: 'St' rot unterstrichen} und nün Chüe und zwölf {unter 'w' steht 'D' und ist durchgestrichen} Schöfli vors Dorf use brocht, die hei si wölle verchaufe. 
WS38	D' Lüüt si hüt alli dusse ufem Fäld und mä̱i̱e.
WS39	Gang ume, der brŭn Hund macht der nüt !
WS40	Ich bi mit de Lüte {2.Hand: rot 'Lüüte' unter 'Lüte' notiert} do hinde über d' Matte is Chorn gfahre.
