---
Bogennummer: '15396'
Ort: Ober-Olm
Gid: 98903
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Rolf Kanert
Anmerkungen: 'Die Buchstaben r und n sind bes. am Wortende oftmals nicht zu unterscheiden.

  Zahlreiche Korrekturen wurden anscheinend von einem zweiten Schreiber angebracht.'
Original Anmerkungen: Der Name des Lehrers lautet Th. Ph. Knab, geboren in Udenheim.
  Die Übersetzung geschah durch den Lehrer.
Erstelldatum: 2026-02-22 11:32:04.698702
Änderungsdatum: 2026-02-22 16:10:25.428574
Satzversion: 1
...
WS1	"Im Winder flie die truckene Blärrer dorch die Loft {""herum"" wurde nicht übersetzt."
WS2	S'hört gleich uf se schneie, dann werds Werrer wirrer annerst.
WS3	Du Kuhle in de Uwe daß die Millich bald anfänkt se koche.
WS4	Der gure alte Mann is mirrem Gaul dorchs Eis gebroche un ins kalte Wasser gefalle.
WS5	Er iß vor vieer {sic!} orer sechs Woche gestorbe
WS6	Deß Feuer wor se haß die Kuche sein jo unne ganz schwarz verbrennt.
WS7	Er ißt die Aier immer une Salz und Peffer.
WS8	Mei F[ie]ß {anscheinend wurde urspr. ü in ie geändert} dun mer arig {ein zweites r wurde ausgestrichen} wieh, Eich {ein u hinter dem i wurde ausgestrichen} glab, eich {ein u hinter dem i wurde ausgestrichen} hun se dorchgelafe.
WS9	Eich {ein u hinter dem i wurde ausgestrichen} sein bei der Fra geweßt un hun ser gesaht, un se saht, se wolls ach ärer Dochter {urspr. T wurde in D abgeändert} sahe.
WS10	Eich {ein u hinter dem i wurde ausgestrichen} wills ach nett mie wirrer du.
WS11	Euch schladern gleich mirrem Kochlöffel uff die Ore, dau Aff.
WS12	Wu giehst dau hie, solle mer mitte[r] gieh
WS13	'S sein schlächte Zeite
WS14	Mei lieb Kind bleibt do unne stieh, die beese Gäns beise deich {urspr. u wurde in i abgewandelt} dut.
WS15	Dau host heit {urspr. u wurde in i abgewandelt} am mehrste gelärnt un bist ach artig geweße, dau derrfst ender ham gieh als die Annere.
WS16	Dau bist noch nitt gruß genunk ummen Flasch Wei aus se trinke dau mußt erscht noch e wink wakse un größe[n] werre.
WS17	"Gieh sei gut {""so"" wurde nicht übersetzt} un sah deiner Schwester se soll die Klarer vor eier {urspr. u wurde in i abgewandelt} Motter fertig nähe un mit der Bers[ch]t sauwer {urspr. b wurde ausgestrichen und durch w ersetzt} mache."
WS18	Häßden gekennt, dann wärsch annerst kumm, un's det besse[r] ummen stieh
WS19	Wer hot mer mei Korb mett Flasch {urspr. ei wurde ausgestrichen und durch a ersetzt} gestohle.
WS20	Er dut su, als herre sen zum Dreschsche bestellt; se huns awwe[r] selbscht gedu
WS21	Wem horrer die neu Geschigd verzehlt.
WS22	Merr muß hart greische, sunst verstierersch nett.
WS23	Meer sein mid un hunn Dorscht.
WS24	Wie mer geschtern Owend ham sein kumme, do hunn die Annern schun in de Bedder geläh un hunn fest geschlofe.
WS25	"Der Schnie iß heint N[a]achd {wahrsch. wurde ein zweites a eingefügt} bei uns leihe gebliwe {urspr. ""gebliebe""}, awer heit {urspr. u wurde in i abgewandelt} Morjend iß er vergange."
WS26	Hinner unserm Haus stiehn drei schien[e] Äbbelbemercher mit rure Abbelcher
WS27	"Kinnenner nett noch'n {urspr. ""noch en""} Ablick uff uns w[o]rthe dann gehme[r] mirr eich {urspr. u wurde in i abgewandelt}."
WS28	Ihr derrft nett solche Kinnerreiie {sic, hier scheinen tatsächlich zwei i hintereinander zu stehen} treiwe.
WS29	"Unser {urspr. finales e wurde ausgestrichen} Berg {urspr. j wurde in g abgewandelt und finales e gestrichen} sein nett arig {zweites r wurde gestrichen} hoch, eierre sein heher {""viel"" wurde nicht übersetzt}."
WS30	"Wiffel Pund Worscht un wiffel {urspr. zweites e wurde gestrichen} Bruth wollt er {wahrsch. stand hier zuerst ""wollenner""} hunn"
WS31	Ich verstien eich {urspr. u wurde in i abgewandelt} nett er müßt {urspr. ü in i umgewandelt} ä wink lauter plaudern {hier wurde ein zweites r ausgestrichen}.
WS32	Hun̄er ka Stickelche {urspr. ü in i abgewandelt} weiß Saaf uff meim Disch gefunne
WS33	"Sei Brurer will sich zwa {urspr. ei durch a ersetzt} schiene Heiser {""neue"" wurde nicht übersetzt} in eiern {urspr. u wurde in i abgewandelt} Gārte baue."
WS34	Daß Wort issem vun Herze kum̄e.
WS35	Deß war recht vun̄ ehne.
WS36	Waß sitze {finales n wurde gestrichen} vore {zweites r wurde gestrichen} Velerger owwe uff dem Meierche.
WS37	Die Bauern hun̄ fünf Ochse un neu Küh un zwelf Schoof vors Ort gedoh die wolltese verkafe.
WS38	Die Leit {urspr. u wurde in i umgewandelt} sein heut all drauß uffem Feld un mehe
WS39	Gieh nor der brau Hund duder niks.
WS40	Eich {urspr. Ich} sein mit de Leud do hinne iwig {urspr. üwer} die Wiß in's Korn gefohr[n].
