---
Bogennummer: '45108'
Ort: Walliswil bei Wangen
Gid: 17635
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: '{Der Bogen wurde von zwei Personen ausgefüllt (vgl. Rückseite). Sätze
  1 bis 20 sind mit einer "Schulschrift" notiert; die Sätze 21 bis 40 sind in einer
  "freieren" Schrift notiert; u.a. werden für die Umlaute unterschiedliche "Akzente"
  verwendet. In der Transkription werden diese aber nicht unterschieden.}'
Erstelldatum: 2022-09-26 17:32:43.840398
Änderungsdatum: 2022-09-27 13:47:04.813337
...
WS1	Im Winter flüge die düre Bletter i der Luft ume.
WS4	Dä guet alt Ma isch mit em Ross dür d's Isch broche und i d's chaud Wasser g'heit.
WS6	D's Für het z'starch brunne, d'Chueche {1.'h' nachträglich eingefügt ?} si jo ungernoche {'jo' ist oben im Wortzwischenraum von 'si' und 'ungernoche' eingefügt} ganz schwarz brönnt.
WS9	"I bi bi dr Frou gsi u {zunächst 'un', dann 'n' durchgestrichen} ha r'es g'seit, u {zunächst 'u.' (sieht auch wie 'm'), dann letztes ""Bein"" durchgestrichen} si het g'seit, si well's ou ihrem Meitschi sääge."
WS10	I wott's ou nie meh mache.
WS11	"I houe dr eis mit em Cheueli {am rechten ""Bein"" von 'h' rumkorrigiert}  um d 'Ohre, du Aff."
WS15	"Du hesch hüt am meiste glehrt u {zunächst 'u.' (sieht aus wie 'm'), dann letztes ""Bein"" durchgestrichen} bisch lieb gsi, du chasch enger {am 1.'e' rumkorrigiert} hei aus die angere"
WS18	Hätsch ne kennt !, de wärs angers cho, u es tät besser um ihn sto.
WS20	Är tuet dr gliche, aus hätte si ihn zum Drösche bscheut {sic!} , si heis aber säuber g'macht.
WS23	Mir si müed un hei Durst.
WS25	Dr Schnee isch nächti bi üs blibe lige, aber am Morge isch er gscholze {sic!} .
WS27	Chöit er nid e chli {am 'h' rumkorrigiert} warte, de chöme {sieht fast aus wie 'chönee'} mer mit nech.
WS31	I verstoh nech nid, dir müesst e chli luter rede.
WS39	Gang nume, dr bruun Hung tuet der nüt.
WS40	I bi mit dene Lüte  do hinger über ds Fäud i ds Chorn g'fahre.
