---
Bogennummer: '45179'
Ort: Tscheppach
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:56.967862'
...
WS14	Lièbs Ching blÿb do ůngè schtoh, süscht bÿssè dì diè bösè Gäns bìs dod bisch.
WS15	"Du hesch hütt am meischtè glehrt und bìsch lièb gsì, du chasch eéndr [zunächst ""eénder"", dann letztes 'e' durchgestrichen] hei goh ass diè angèrè."
WS16	Du bìsch nohni gross gnůè fǜr ä Fläschè Wy usztrinkè, du můèsch zerscht no chlei wachse und gröss'r wärdè.
WS17	Bìsch so gůet und säg d'r Schwöschtr sì söů  d' Chleid'r fǜr ìhri Můètr fertig nähiè ůnd sè bürschtè.
WS18	"Wenn du nè bchönnt hättisch, wär's [""ès"" duchgestrichen]  angers usè cho und s' wǜrdi bessr [zunächst ""besser"", dann 2.'e' durchgestrichen] ům èn [""stoh"" durchgestrichen]  schtoh."
WS19	Wär hett m'r ächt mÿ Chorb mit èm Fleisch gschtohlè.
WS20	Är hett d'r glÿchè do, wiè sì nè zům Tröschè agschtöůt hätte; sì hei's aber sä͜-ůb'r gmacht.
WS21	Wäm hett'r diè neui Gschicht verzöůt ?
WS22	Mè můèss lůt brüèlè, sǜscht verschteiht'r ìs nit.
WS23	Mìr sí müèd und hei Durscht.
WS24	Wo m'r gscht'r z' Obè ztůgg cho sí, do sí diè angèrè scho im Bett gsi und hei gschloofè.
WS25	D'r schnee ìsch letschti Nacht blÿbè lìggè, abèr hǜttè Morgè isch'r vergangè.
WS26	Hinger üsèm Hůůs schtöh drü schöni Öpfůböimli und diè hei viů chlÿni roti Öpfèli.
