---
Bogennummer: '45093'
Ort: Deitingen
Gid: 15927
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Annemarie Fellmann
Anmerkungen: '{Diese Übersetzung stammt von Marie Galli, Schülerin der 7.Klasse, 13
  Jahre alt}'
Erstelldatum: 2024-02-13 13:25:43.795573
Änderungsdatum: 2024-02-17 13:52:55.191776
Satzversion: 1
...
WS1	Im Winter flüge die drochne Bleter i der Luft ume.
WS2	Es hört gli uf schneie {zunächst 'schnie', dann 'e' zwischen 'n' und 'i' eingefügt}, de wird s Wätter wider besser.
WS3	Tue Chole i Ofe, as d Möuch {zunächst 'Möüch', dann ü-Strichlein durchgestrichen} {'gli' eingeklammert statt durchgestrichen} bou afod choche.
WS4	Der guet out Ma isch mit dem Ross durs Isch broche und is chalte Wasser geit {zunächst 'git', dann 'e' zwischen 'g' und 'i' eingefügt}.
WS5	Er isch vor vier oder sächs Wuche gschtorbe.
WS6	{'S' radiert, durchgestrichen} s Für isch zstarch gsi d Chueche sie jo  [je] {nach 'j' und angefangenem Buchstaben 'e' ? abgebrochen oder durchgestrichen} unge noche ganz schwarz gsi.
WS7	Er isst d Eier immer ohni Souz und Pfeffer.
WS8	d Fuess tiö mėr weh, i glaube i hase dureglofe.
WS9	I be {wohl zunächst 'bi', dann 'i' mit 'e' überschrieben} bi der Frau gsi und haneres gseit, und si het gseit, sie wöus ihrer Tochter ou säge.
WS10	I wots ou nümme mache.
WS11	I houder grad eis mit em Chöui um d Ohre, du Aff !
WS12	Wo geisch du hi, souemer mit der cho.
WS13	Es sie schlächti Zite.
WS14	Du liebs Ching {zunächst mit 'K' begonnen, dann mit 'C' überschrieben}, blib hie unge stoh, Gäns bisse die süsch ds tot.
WS15	Du hesch hüt am meiste glernt und bisch artig gsi, du darfsch ender hei aus die angere.
WS16	Du bisch noni gross gnue für ne Fläsche Wie uszrinke {sic!} , du {'mue' ist am Zeilenende durchgestrichen} muesch no ne chli wachse und grösser werde
WS17	Gang, bisch so guet und säg dir Schwester si seu die {'K' angefangen} Chleider für eui Mueter ferti {'mache' eingeklammert statt durchggestrichen} näie und mit der Bürschte suber mache
WS18	Hätsch ne du bchönnt de wärs angersch {zunächst 'and' begonnen, dann 'd' mit 'g' überschrieben und 'angersch' beendet}  cho und es tät besser um ihn stoh.
WS19	Wär het mir mi Chorb mit Fleisch gno ?
WS20	Er tuet so, als hätte sine zum Dreschen bestellt, si heis aber säuber do.
WS21	Wäm het er die nüi Geschichte {ist 'te' durchgestrichen?} erzeut
WS22	Mir müesse lut brėöle {zunächst 'briöle' ?} süsch {zunächst wohl 'sisch', dann 'i' zu 'ü' ergänzt - ?} {'vesto' durchgestrichen} verstoht er üs nit.
WS23	Wir si müed und hei Durscht.
WS24	Wo mer geschter Zobe hei cho si do si scho aui im Bett gsi und hei föscht gschlofe
WS25	Der Schnee isch die Nacht bi üs blibe lige, aber hüt am Morge ischer gschmouze.
WS26	Hinger üsem Huus stöh dru schöni Öpfuböumli mit rote Öpfeli.
WS27	Choit der ni no ne Augeblickli warte mir chöme de ou mit euch.
WS28	Dir dörfet nit setigi Chingereie {bei 'Ch' rumkorrigiert] tribe.
WS29	Üsi Bärge si nit {nach 'n' stand zunächst ein anderer Buchstabe mit einer Rundung 'a' oder 'o' und anschliessend ev. 'e', dann wurde obere Rundung durchgestrichen und 'it' darüber geschrieben} so höch, eui si füu höcher.
WS30	Wie mängs Pfung Wursch {sic!} und wie vüu Brot weiter ?
WS31	I verstoh eüch nit dir müesst es bizeli lüter rede.
WS32	Heit der keis Schtückli wissi Seipfe für mi uf mim Tisch gfunge.
WS33	Si Brueder wot für sich zwöi schöni nüi Hüser bue
WS34	Das Wort isch em vom Härz cho.
WS35	Das isch schön vonne.
WS36	Was für Vögeli sitze do obe ufem Mürli.
WS37	d Bure hei füif Ochse und nün Chiö und zwöuf Schöfli fors Dorf brocht, {'z' radiert und durchgestrichen} um zu {angefangener Buchstabe radiert} verchoufe {über etwas Radiertes ist 'ch' geschrieben}.
WS38	d Lüt si hüt oui dusse ufem Fäud und mäie
WS39	Gang ume, der brun Hung tuet dir nüt.
WS40	I bi mit de Lüt do hinge über d Matte is Chorn gfahre.
