---
Bogennummer: '27166'
Ort: Adelsberg
Gid: 74272
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Didi
Erstelldatum: 2026-01-14 13:02:57.985092
Änderungsdatum: 2026-01-14 13:02:57.985092
Satzversion: 1
...
WS1	'n Wint'r fliega die truckana Blä͜iter in der Luft 'rüm.
WS2	Es höat gleich auf za schneia, no͜achet wüad e's Watt'r widd'r besser.
WS3	Tu͜a Ko͜uhla nei'n Ousa, daß die Millich ball ooféngt za kocha.
WS4	D'r gu͜ad alt Moo is mit sein Gaul durch's Eis gabrocha unn nie's kalt Wo͜ass'r g'falla.
WS5	Ar is vür vier o͜aber sechs <(secks)> Wocha g'schturba.
WS6	Ès Feuer wo͜ar zu sto͜aek, die Kucha s'enn jo͜a unta gaans schwo͜az gabrönnt.
WS7	Ar ißt die Ähr ümmer ohne Saalz <(Saalz)> unn Pföffer <(das ö na̾hert sich dem ä.)>
WS8	Die Fü͜aß tu͜an m'r sèhr wèha, ich glä, ich honnsa durchgalaffa.
WS9	Ich wo͜ar bei d'r Fraa unn honn's 'r gasogt, unn sie socht, sie wöllt's aach' ihre To͜uchter sog.
WS10	Ich will's aach m͜͜i͜a widd'r t͜u͜a.
WS11	Ich schlo͜ag (ch) dich gleich mit 'n Kochlöffl hinn'r die O͜an, du Aff. <(A in Aff na̾hert sich dem o)>
WS12	Wu ge͜aste hii, sölla m'r mit d'r gi͜a ?
WS13	Ès senn schlachta Zeita.
WS14	Mai liabs Kind, blei unta sti͜a, die bö͜asa Gens beißa dich to͜at.
WS15	Du ho͜ast heut'n mi͜asta galannt unn bist o͜atig gawast, du döffst e͜andir hemm gi͜a, wie die annara.
WS16	Du bist noch nit gro͜aß gènungk, daß da a Flo͜ascha Wai ausgatrink kost, du mu͜aßt ö͜ascht nocha wéngk wo͜aß unn grö͜ass'r waar.
WS17	Gi͜a, sei so͜a gu͜at unn so͜ach zu dei Schwest'r, sie söll die Klääd'r für eu͜ar Mu͜att'r fi͜attich flick unn mit d'r Bü͜aschta saub'r mo͜ach.
WS18	Hä͜ast'n gekennt! no͜achat wä͜asch annascht kumma, unn ès stönn besser ümm 'n.
WS19	War ho͜at m'r mein Kurb mit Fläsch gschto͜ula?
WS20	Ar ho͜at so͜u gatu͜ann, als wann s'e zun Drö͜ascha baschellt hä͜atta; sie hömm's o͜al'r selber gatu͜ann.
