---
Bogennummer: '47646'
Ort: Visquard
Gid: 113032
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Marina Frank
Erstelldatum: 2023-02-09 16:41:20.899375
Änderungsdatum: 2023-02-09 16:41:20.899375
Satzversion: 1
...
WS1	In 'n winter fleigen de dröge bladen dör de lücht herum.
WS2	't hört glieks up te sneien, dan {salt durchgestrichen} wort 't weer {'tweer durchgestrichen} weer beter.
WS3	Dau kolen in de ofen, dat de melk bolt tau koken anfangt.
WS4	De gaude olle man is mit 't peerd dör 't ies broken un' in 't kolle water fallen.
WS5	Hei is vör veir of szes weeken stürfen.
WS6	't für was tau heit, de kauken sün' ja unnen heil swart brant.
WS7	Hei ett de eier altied sünner szolt un peper.
WS8	De fauten daun mie heil szeer, ik glöf, ik heb sei dörlopen.
WS9	Ik bün bie de frau west un' heb het hör (szegt) szecht, un' sei szechde, sei wull het ook hör dochter szechen.
WS10	Ik will het ook neit weer daun!
WS17	Ga, wees so gaud un' sech dien szüster, sei sull de kleir för jau mauder klaar neijen un mit de böszel schon maken.
WS36	Wat szitt'n daar för fögeltjes bofen up 't mü͜ürke.
