---
Bogennummer: '17967'
Ort: Sub-Lechnitz (Lechnica)
Gid: 547187
Transliterationsprojekt: e0903261-3aeb-499d-9404-1d95c2c3c3f2
Transliterent: Heinz Müller
Erstelldatum: 2026-02-02 09:52:16.378009
Änderungsdatum: 2026-02-03 21:11:16.232668
Satzversion: 1
...
WS1	Im Wint'r flien ti trůkhono Plät'r in t'r Lůft arům.
WS2	"S hert kleich ůf zů sche[ä]ja schneja {das Wort ""sche[ä]ja"" wurde durchgestrichen und durch das darüberstehende Wort ""schneja"" ersetzt}, t'rno wert tis Wett'r  wied'r peß'r."
WS3	Thů Khola in ta Uba tas tie Millich pallt anfankt zů kocha.
WS4	"T'r kůta alte Mann isch mitům Kaůl tůrch's Eis kaproch ůnt isch {das Wort ""isch"" wurde durchgestrichen} ins kalta Waß'r rinkafall."
WS5	Er isch vor vier ot'r seks Wocha kastorp.
WS6	Tis Fejr war zů stark, tie Kůcha sin ůna kanz schwarz kaprenn.
WS7	Er est ti Aj'r immir ohna Salz ůnt Pfeff'r.
WS8	Ti Fiß tůn mich weh; ich (klaůp) {das Wort in der Klammer wurde durchgestrichen} klaůp ich hon sa tůrchkalof.
WS9	Ich war pei t'r Fraů kawen ůnt hons ter kasat; ůnt sie hat kasat, sie wollt's a ihrar Tochtar sahn.
WS10	Ich will's a net mehr wietir thůn.
WS11	Ich schla tich kleich mit ům Kochlefl ům tie Ohra, tů Aff.
WS12	Wohin kesch tů, soll'n mar mit ter kehn
WS13	"S sůn {""m"" wurde zu ""n"" korrigiert } schlechta Zeita."
WS14	Mejn liepes Kint pleip tů ůnar stehn, ti pesn Gänz peißen tich tot
WS15	Tů hosch heit am me[e]ste {menste?} kalarnt ůnt pisch artich kewein, tů terfsch friar ahem khen wie ti annara
WS16	"Tů pisch noch net kroß kenůk ům ein Flasch Wein aůszůtrinka, tů můsch erscht noch a pißl wacksa ůnt kreßar wera {das Wort ""wera"" steht oberhalb des Wortes ""kreßar""}"
WS17	Keh sei so kůt ůnt sah teinar Schweschtar sie soll tie Kled'r var ejri Můttar vertich neja ůnt mit tar Pirscht rein macha.
WS18	Hätsch tů ina kakennt tann währsch annersch kh[om] {khan?} ůnt s tät peßar ům ina stehn.
WS19	Wer hot mir meina Korp mit ům Fl[e]sch kastohl.
WS20	Er hot's so kamascht als hätt'n sa na zům Trescha p'stellt, sie hons apr selpst kathůn.
