---
Bogennummer: '44592'
Ort: Rüdlingen
Gid: 16341
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: ''
Erstelldatum: 2025-07-25 17:57:43.260420
Änderungsdatum: 2025-07-27 12:59:52.299413
Satzversion: 1
...
WS1	Im Winter flü̂ged di trǫchene Blẹtter i der Lŭft ŭme <(oder ŭmenand)>.
WS2	Es hört grăd ûf z' schnẹije, dänn {Verdoppelungsstrich auf 'n'} wîrt s' Wätter wider besser.
WS3	Tŭe Chŏle in Ofe, dass d' Milch bâld <(oder glî)> z' chǫche afangt <(z' choche chŭnnt)> {Verdoppelungsstrich auf 'n'}
WS4	De gŭet âlt Mâ ischt mitem Rǫss dŭr's Is prǫchche und is chalt Wasser gfalle. <(oder ghẹjt)>
WS5	Er ischt fǫr vier oder fü̂f Wŭchche gschtorbe.
WS6	"S' Für ischt z' starch gsi, d' Tünne {Verdoppelungsstrich auf 'n'} sind jǫ ŭnne ganz verbrännt {Versdoppelungsstrich auf 'n'} . <(""Kuchen"" nicht in [RM])>  {was bedeutet 'RM' ?}."
WS7	Er isset d' Aijer {zunächst 'E', dann mit 'A' überschrieben}  aliwîl {zunächst 'alliwîl', dann 2.'l' durchgestrichen} ohni Sālz und Pfäffer.
WS8	D' Füess tüend mer <(tüemer)> sēr wē, i glaube i ha si dŭreglaŭfe.
WS9	I bi bi der Fraŭ gsi ŭnd haneres gsait; si hät gsait, si wells aŭ irer Töchter säge
WS10	I wills aŭ nümme {Verdoppelungsstrich auf 'm'} meh tŭe.
WS11	I schlǫhn e der grad mitem Chǫchlöffel um t' Ohre, dŭ Aff.
WS12	Wô gǫhst hî, söllet‿mer mitter gû ?
WS13	Es sind schlächti Zitte.
WS14	Mîs liebs Chind, blîb dŏ ŭnne stû, di böse Gäns bissed di tod.
WS15	Dŭ häscht hütt am maischte glärnt ŭnd bischt artig gsi, dŭ tarfst {zunächst 'darfst', dann 'd' durchgestrichen und 't' darüber notiert} <(od. tarscht>  { ')' fehlt wohl aus Platzmangel} früener hai gû als di andere
WS16	Dŭ bischt no‿nid gross gnŭeg, ŭm e Fläsche Wi ûsztrinke, dŭ mŭescht erscht none chli wachse ŭnd grösser wärde.
WS17	Gang, bis so gŭet ŭnd säg {'tîner' ist durchgestrichen} dîre Schwöschter, si söll d' Klaider für eŭi Mŭeter fertig näije ŭnd mit der Bürschte sûber mache.
WS18	"Hettscht Du‿nen kännt {zunächst "" 'gkä "", dann 'g' durchgestrichen; ferner Verdoppelungsstrich auf 'n'}, dänn wärs anderscht chŭ  {etwas ist durchgestrichen} ŭnd es schtänd {zunächst 'st'} besser ŭm‿en."
WS19	Wär hätt‿mer mîn Chǫrb mit Flaisch gschtǫle ?
WS20	Er hätt sō tŭe als hettid‿si͜n zŭm Tröschsche bstellt, si händs aber sälber tŭe.
WS21	Wämm hätt‿er di nöŭ Gschicht verzellt ?
WS22	Me mŭe lŭtt brüele, sŭscht verschtǫ̂ht ers nîd.
WS23	Mer sind müed ŭnd händ‿Tŭrscht
WS24	Wo‿mer geschter z' Ǫ̂big zrŭgg chŭ sind, dǫ sind di andere schŏ im Bett 'gläge und händ fescht gschlǫ̂ffe.
WS25	De Schnee ischt hütt z' Nacht bînis lige plibe {sieht fast aus wie 'pbibe'}, aber hütt e̮ mǫrge ischt er gschmolze.
WS26	Hinter üsem Hûs stǫ̈nd drẹj schöni Öpfelbäumli mit roten‿Öpfili.
WS27	Chǫ̈ned‿er ni̇̆d no‿ne chli {etwas ist durchgestrichen} ŭf͜is wârte, dänn {Verdoppelungsstrich auf 'n'} gọ̮̈h‿mer aŭ mitti.
WS28	Er törfet ni̇̆d söttigi chinderėije trîbe. <(Auch: er töred'... > {')' fehlt}
WS29	Üsi Bärg sind ni̇̆d bsŭnders hôch, öŭi sind vil hö̆cher  <(oder, di öune.. > {wieder fehlt ')' }
WS30	Wefel Pfŭnd Wûrscht und wefil Brot wänder hâ ?
WS31	I verschtǫ̂neni nîd, er müend e chli lŭtter rede.
WS32	Händ-er kai Stückli wissi Saipfe für mî uf mim Tisch gfŭnde ?
WS33	Sin Brüeder wott für sich {zunächst 'wott sich', dann oben im Wortzwischenraum 'für' eingefügt} zwai schöni nöŭi Hüser i öuem Garte boŭŭe.
WS34	Da Wort ischt‿em vŭm Härze chŭ.
WS35	Da ischt rächt gsi [v]on öŭ.
WS36	Wa sitzed‿dǫ̂ für Vögili ŭf däm Mürli obe ?
WS37	"'Pûre händ füf Schtiere <(oder ""Hage"" ?)> {Idiotikon: Hage Zuchtstier} ŭnd nü Chüe ŭnd zwölf Schǫ̈̂ffli vors To[r]f  'prǫ̂cht gha, die si händ wẹle verchaŭfe."
WS38	D' Lütt sind hütt ali dŭssen‿ŭfem Fäld ŭnd 'mäijed.
WS39	Gang nŭ, de brû Hŭnd tŭet‿er nüt.
WS40	"I bi mitte Lütte do hine ü̆ber d' Wîs is Chǫrn gfahre <(oder "" i d' Frucht..."" > {wieder fehlt ')' - aus Platzmangel}"
