---
Bogennummer: '49906'
Ort: Spornitz
Gid: 119206
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Regina Elisabeth Morgen
Erstelldatum: 2024-09-23 10:58:47.444998
Änderungsdatum: 2024-09-23 11:53:13.889434
Satzversion: 1
...
WS1	Jn'n Wintě fleig'n dei drög'n Blärě in dei Luft ümher <(oer: in dei Luft d'rüm'mě)>. 
WS2	Dat hölt glik <(gliek)> up tau snied'n, denn ward dat <(oder: ward't)> Wärǎ werrě bärä̌.
WS3	Schürr Kahl'n in'n Ab'n, dat dei Melk ball an tau kak'n fangt <(üblicher: dat dei Melk ball kak'n ward)>. 
WS4	Dei gaur oll <(üblicher: dei oll gaur)> Mann is mit dat <(od: mit't)> Pierd dörcht Js brak'n <(üblicher: up'z Js inbrak'n)> un in dat <(in't)> kol <(kohl)> Warě fall'n. 
WS5	hei is vö-ě<(r)> vei-ǎ orě <(ohrě)> sö̌s Woch'n dod bläb'n. 
WS6	Dat füe<(r)> wi-e<(r)> tau heit, dei Kauk'n sünd jo ünně ganz swart brennt. 
WS7	hei et dei Eje ümme ahn Sold <(Sohld)> un Päpě. 
WS8	Dei fäut daun mi bannig weih, ick glöv, ick hev's <(hew's)> dörchlop'n. 
WS9	Jck bün bi dei frug west un hev't <(hew't)> eh-ě<(r)> seggt, un sei sär <(sähr)>, sei wollt <(wohlt)> ok eh-ě<(r)> di-en <(Dirne)> segg'n <(nicht so üblich: sei wohlt ok eh-ě<(r)> Dochdě segg'n)>. 
WS10	Jck will't ok nich werrě daun. 
WS11	Jck sla di gliek mit den'n <(mit'n)> Kakläp'l üm dei <(üblicher: ümmě)> Uen, du Ahp <(auch: Mulahp, Maiahp)>. 
WS12	Wo gehst du hen, sähl'l wi mit di gahn? 
WS13	Dat sünd slecht' Tiern. 
WS14	Mien leiv Kind, bliev hi-ě<(r)> ünně stahn, dei bös'n Gäus' bit'n di dod. 
WS15	Du hest hüt dat meist liert un büst oǎrig west, du dörfst eirě <(eigentl: un dörfst du eirě)> na hus <eigentl: tau hus)> gahn as dei Annen. 
WS16	Du büst noch nich grot naug, üm 'ně Buddel Wien uttaudrink'n <(üblicher: dat du 'n Buddel Wien utdrink'n kannst)>, du müßt ei-est noch'n Ehn'n wass'n un grötě warn. 
WS17	Gah <(oder: Gah hen)>, wähs so gaut un segg dien Swestě, sei söll dei Klerě vö-ě<(r)> jug Mudden <(eigentl: Murren)> trecjt nehd'n un mit dei Böst rehd'n mak'n. 
WS18	harst du em kennt, denn wi-ět <(wi-ěrt)> annes kam'm <(kahm'm)>, un dat dehr bätě üm em stahn <(üblicher: un dat har bärě üm em stahn)>. 
WS19	Weckě hett mi mien'n Korf mit fleisch stahl'n? 
WS20	hei dehr so, as harn sei <(harn's)> em taud'n <(auch: taud't)> Dösch'n běstellt <(auch: bǐstellt)>, sei hebmt äwě sülmst <(oder: sülm)> dahn. 
WS21	Weckěn hett hei dei nie <(od: nieh)> Geschicht vetellt <(eigentl: vötellt)>?
WS22	Man müt <(mütt)> luhr schried'n, sǚß vesteht <(vösteht)> hei uns nich. 
WS23	Wi sünd mäur un hebm Dö̌st. 
WS24	As wi gistěn Ab'nd <(eigentl: gist'n nab'nd)> trüg kehmm, dunn leg'n dei Annen all in'n Berr <(üblicher: dunn wi-ens all tau Berr)> un wi-en fast inslapen <(oder: un leg'n in'n fasten Slap)>. 
WS25	Dei Snei is di-ěs Nacht bi uns ligg'n bläb'n, äwě hüt Morg'n is hei <(eigentl: issă)> smölt. 
WS26	Achtě unß'n hus' stahn drei lüht schöně <(auch: gaurě)> Abbělböm <(oder: Abbělböhm)> mit lüht rod'n Abběl. 
WS27	Kähn'n ji nich noch'n lüht'n Ob'nblick up uns täub'm, denn gahn wi mit juch. 
WS28	Ji dörm <(dörn)> nich sön'n Kinnestreich <(od. Kinneknöp)> drieb'n <(üblicher: mak'n - oder: an'n Dag geb'n)>. 
WS29	Uns' Barg sünd nich si-ě<(r)> <(üblicher: nich gefährlich)> hoch, jug sünd vähl höge. 
WS30	Wovähl Pund Wust un wovähl Brod will ji hebm? 
WS31	Jck vestah <(vöstah)> juch nich, ji müt'n bät'n lurě <(oder: düllě)> snacken. 
WS32	hebm ji nich'n lüht Stück witt Seip fö-ě<(r)> mi up mien'n Disch fun'n? 
WS33	Sien Braurě will sick twei schön <(gaur)> niedn hüsě in jug'n Goad'n bug'n. 
WS34	Dat Wu-at <(od: Wu-ǎrt)> kehm em vau'n hart'n. 
WS35	Dat wi-ěr recht van eh-ě<(r)>. 
WS36	Wat sidd'n do-ǎ fö lüht Vagels bab'n up dei lüht Mu-ě <(oder: Mu-ǎ)>. 
WS37	Dei Bu-ěn harn fif Oss'n un näg'n Käuh un twölf lüht Schap vö-ě dat Dörb bröcht, dei wohl'n sei veköp'n <(eigentl: vököp'n)>. 
WS38	Dei Lühr sünd hüt all but'n up'm fehll un mehd'n. 
WS39	Gah man, dei brun hund deht di nicks. 
WS40	Jck bün mit dei Lühr do-ǎ hin'n äwer'ě Wisch in't Ku-an fäu-ět <(üblicher: hin'e äwer'ě Wisch na't Ku-an rien fäu-ět)>. 
