---
Bogennummer: '45499'
Ort: Oberlunkhofen
Gid: 17683
Transliterent: fellmann
Erstelldatum: 2021-12-05 17:12:59.703138
Änderungsdarum: 2021-12-05 17:12:59.703138
...
WS1	Jm Winter flüügid di trochne Blätter i de Luft umä.
WS2	Es hörrt grad uuf schnèie, dä wird's Wätter wider bässer.
WS3	Tue Chole i Ofe ie, dass d' Milch bald afod süüde.
WS4	De guet alt Maa isch mit-em Ross dur s' Jis broche u. is chalt Wasser gfalle.
WS5	Er isch vor vier od. sächs Wuche gschtorbe.
WS6	S' Füür isch z' starch gsii, d' Chuechä sind jo undä ganz schwarrz [das 2.'r' ist oben zwischen 'r' und 'z' eingefügt] verbrännt.
WS7	Er isst d' Eier immer one Salz u. Pfäffer.
WS8	D' Füess tüemer weh, ich gläube, ich ha 's durre gloffe.
WS9	Jch bi bider Frau gsii u. haneres gseit, u. si häd gseit, si wälls äu i der Tochter säge.
WS10	Jch will's äu nümme mache.
WS11	Jch häu der mit em Chochlöffel über d' Ohre, du Aff !
WS12	"Wo gosch hee [zunächst wohl ""heh"", dann 2.'h' mit 'e' überschrieben], müemer miter choo ?"
WS13	Es sind schlächti Ziïte.
WS14	Mi liäbs Chind, bliib do unde stoo, di bööse Gäns biisseti z'tood []das 2.'o' ist oben zwischen 'o' und 'd' eingefügt].
WS15	"Du hesch hüet am mescht g'leehrt u. bisch brav [zunächst ""arti"", dann durchgestrichen und ""brav"" darüber gesetzt] g'si, du darfsch früener häigoh as di andere."
WS16	Du bisch noni groβ gnueg zum e Fläsche Wii usztrinke, du muesch zerst nochli wachse u. gröβer werde.
WS17	"Gang, bis so guet u. säg diner Schwöschter, si sell d' Kleider für eui Muetter fertig büetze [zunächst ""mache"", dann durchgestrichen und ""büetze"" darüber gesetzt] u. mit d. Börste suber mache."
WS18	Hättischt du in kännt, dänn wärs anderscht usecho u. es tät besser mitem stoh.
WS19	Wer hätmer mi Chorb mit Fleisch g'schtole ?
WS20	"Er het e so to, wi [zunächst ""als"", dann durchgestrichen und ""wi"" darüber gesetzt] wennsen zum Trösche angschtellt hättet, si händ s aber sälber g'macht."
WS21	Wem häder di neu Gschicht verzellt ?
WS22	"Mer mues lut brüele, suscht verschoder [wohl zunächst ""verst"", dann nach 's' 'ch' ergänzt und 't' vergessen] is [""eu"" durchgestrichen und dann ""is"" davor gesetzt] need."
WS23	Mer sind müed u. händ Durscht.
WS24	Wo mer geschter z' Nacht häi cho sind, do sind di andere scho im Bett gläge u. händ fescht gschlofe.
WS25	De Schnee ischt hüt z' Nacht bi eus ligge blibe, aber hüt am Morge isch er vergange.
WS26	Hinder eusem Hus schtönd dru schöni Opfelbäumli mit rote öpfeli.
WS27	Chönder nid en Augeblick uf eus warte, dänn gömer mit eu.
WS28	Jr dörfed nid dere Chindereie triebe.
WS29	"['Us' durchgestrichen] Eusi Bärg sind nid so [""nid sehr"" durchgestrichen] höch, eui sind viel höcher."
WS30	Wi mängs Pfund Würscht u. wivil Brod wänd ir ?
WS31	Jch verstone eu nid, ir müend echli luuter rede.
WS32	Händir kei Stückli wiissi Seupfe für mi uf mim Tisch gfunde ?
WS33	Si Brüeder will im zweui neui Hüüser boue i euem Garte.
WS34	Da Wort isch em usem Härze cho.
WS35	"Da isch rächt gsi vo Eni [oder vielleicht ""Eui""?]."
WS36	Wa sitzid do für Vögeli uf dem Müürli obe.
WS37	D' Buure händ feuf Stiere u. nün Chüe u. zwölf Schöfli vors Dorf brocht, die wänds verchaufe.
WS38	"Die Lüt sind hüt alli uf em Fäld u, mäed [zunächst wohl ""mah"" beim Aufstrich für 'h' abgebrochen und darüber 'e' gesetzt]."
WS39	"Gang nur, de brun Hund machder [zunächst ""macht"", dann 't' durchgestrichen und hinten ""der "" ergänzt] nüd."
WS40	Jch bi mit de Lüüte do hinde über d' Wise is Chorn ie gfahre.
