---
Bogennummer: '45238'
Ort: Gumm bei Oberburg
Gid: 546094
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2023-01-22 15:53:51.561344
Änderungsdatum: 2023-01-22 15:53:51.561344
Satzversion: 1
...
WS1	Jm Winter flüge die trochene Bletter i dr Luft dasume.
WS2	Äs hört gli uf {kleine Korrektur: angefangenes Wort mit blauem Farbstift durchgestrichen}  schneie, de wird de s'Wätter wiederume besser.
WS3	Tue Chohle i Ofe, dass d'Miuch gli afaht choche.
WS4	Dr {das 'r' ist kleiner und hochgestellt geschrieben} guet aut Ma ist mit dem Ross  dü[r]  {schwer lesbares 'r', ev. 're'}  ds' Jsch broche u is' chaute Wasser g'heit.
WS5	"Är ist vor vier oder sechs Wuche gstorbe {es sieht fast aus wie  "" g'storbe""} ."
WS6	Ds'Für ist z'starch gsi, d'Chuche si ja ungernache ganz schwarz brönnt {Verdoppelungsstrich auf 'n'} .
WS7	Är isst d'Eier gäng ohni Sauz u Pfeffer.
WS8	D'Füess tù mir grüsli weh, i glaube, i heig se dürglüffe.
WS9	J bi bi dr Frau gsi, u ha res gseit u sie het gseit si we|u's {zunächst 'weu', dann mit senkrechtem Strich zwischen 'e' und 'u' getrennt}  ihrer Tochter o säge.
WS10	J wiu's o nümme {Verdoppelungsstrich auf 'm} wieder mache.
WS11	J haue dr grad mit em Chochlöffu um d'Ohre du Aff.
WS12	Wo geihst du hi, sö|ue {zunächst 'söue', dann mit senkrechtem Strich zwischen 'ö' und 'u' getrennt}  mr mit dir gah.
WS13	Äs si schlächti Zite.
WS14	Mis liebs Ching, blieb hie nide stah, die böse Gäns biissedi z'Tod.
WS15	Du hest hüt am mwiste glert u bist artig gsi, du darfst ehnder hei {zunächsst 'heim', dann 'm' durchgestrichen}  gah, weder die angere.
WS16	Du bist no nit gross gnue, für ne Fläsche Wy us z'treiche, du musst z'erst no chli wachse u grösser wärde.
WS17	Gang, bis so guet, u säg dir Schwester, sie sött d'Chleider für eui Mutter fertig näie u mit dr Bürste suber mache.
WS18	Hättist du ne gchennt, de wär es angers cho u {zunächst 'und', dann 'n' und 'd' einzeln durchgestrichen}   äs tät besser um ihn stah.
WS19	Wär het mr mi Chorb mit Fleisch gstohle.
WS20	"Är het a so ta, wie we sie ne zum Drösche b'ste|ut {zunächst ""b'steut"", dann mit senkrechtem Strich zwischen 'e' und 'u' getrennt}  hätti, sie hi's aber  sä|uber {zunächst 'säuber', dann mit senkrechtem Strich zwischen 'ä' und 'u' getrennt}  gmacht."
WS21	Wäm het'r die neui Gschicht erze|ut {zunächst 'erzeut', dann mit senkrechtem Strich zwischen 'e' und 'u' getrennt} .
WS22	Mi mues lut brüele, süst versteit är is nid.
WS23	Mir si müed u hei Durst.
WS24	Wo mr gester am Abe si z'rugg cho, da si die angere scho im Bett gsi u si fest am Schlafe gsi.
WS25	Dr Schnee ist die Nacht bi üs bliebe liege aber hüt am Morge isch er gschmuuze.
WS26	Hinger üsem Huus stöh drü schöni Öpfubäumli mit rote Öpfeli.
WS27	Chöit ihr nit no nes Augeblickli uf üs warte, de göh mir mit euch.
WS28	Jhr dörfit nit settegi Chindereie triebe.
WS29	Üsi Bärge si nit grüsli höch, euer si viu höcher.
WS30	Wie viu Pfung Wurst u wie viu Brot weit ihr ha.
WS31	J verstahn' ech nid, ihr müsst es Bitzeli lüter rede.
WS32	"Heit'er keis Bitzli wi[s]si  {zunächst Buchstabe in Kurrentschrift - h ?, dann aber ""normal"" überschrieben} Seife für mi uf mim Tisch gfunge.  "
WS33	Si Bruder wot s'ech zweu schöni neui Hüser i eiûem Garte baue.
WS34	Ds Wort isch ihm vom Härze cho.
WS35	Das isch rächt gsi von' ne.
WS36	Was hocke da für Vögeli obe uf em Mürli.
WS37	D'Bure hei feuf Ochse u nün Chüe, u zwöuf Schäfli vor z'Dorf brunge, die hei sie wöue verchoufe {zunächst 'verchaufe', dann 'a' mit einem etwas grässeren 'o' überschrieben} .
WS38	D'Lüt si hut {sic!} aui dusse uf em Fe|ud {zunächst 'Feud', dann mit senkrechtem Strich zwischen 'e' und 'u' getrennt}  u mäije.
WS39	Gang nume, dr brun Hung tut dr nüt.
WS40	"J bi mit dene Lüte da hinger uber d'Wiese  i {zunächt "" is' "", dann 's' und Apostroph durchgestrichen}  s' Chorn gfahre."
