---
Bogennummer: '21736'
Ort: Barkhausen
Gid: 107922
Transliterent: Jeffrey Pheiff
Transliterationsprojekt:
Anmerkungen:
Original Anmerkungen:
Erstelldatum:
Änderungsdatum:
Satzversion:
...
WS1	in'n winter fleeget de dräugen bli͡ähre düür de Luft herümme
WS2	et hott glieks up to snieen denn wätt dat wi͡är wi <(wě)> bi͡äter
WS3	do kü͡ähle in n A͡am dat de mi͡älke baule an to ku͡äken fǎnk
WS4	de goe aule mann es met n pi͡ähre düürt ihs bru͡aken un int kaule water fall'n
WS5	
WS6	dat füür was to heet de kooken send je unner gans schwatt brennt
WS7	he ätt de eer jümmer ohne sält un pi͡äper
WS8	de fööte doot mi nütte weh ick läuwe ick hewwe se düür laupen
WS9	ick bin bi de frubb'n wi͡äsen un hewwe't i͡ähr säggt un se si͡äh se woll't auk i͡ährer duachter seggen
WS10	
WS11	ick schlo͡a die glieks met'n ko͡akli͡äpel ümm'e o͡ahren du appe
WS12	
WS13	
WS14	mien leewe kiend bliev hier unner stauhn de bä͡esen gäuse biet't di daudt
WS15	du häß van dage am meesten lährt un du bis oahrig wi͡äsen du drafs ehr no͡a huus ga͡uhn o͡as de annern
WS16	
WS17	go͡ank siä so goot un segge dien süster et scholl de klähre for juh möhmen ferrig nei'en un met de bössen reien maken
WS18	
WS19	
WS20	
WS21	wenne heww he de niee geschichte vertellt
WS22	
WS23	
WS24	o͡asse wi gister aumd trügge kuimen do leigen de annern a͡ell upp'n berre un wären faste an t schlaepe
WS25	de schnee es dösse nacht bi us liggen blieb'n a͡ewer vanne mo͡aren ess he schmolten
WS26	
WS27	
WS28	
WS29	
WS30	
WS31	
WS32	
WS33	
WS34	dat wo͡art quam um van harten
WS35	
WS36	wat sitt't da for vügelken <(lütke vögel)> bo͡ab'n up de müürken <(lüttke müüre)>
WS37	de buuren hadd'n fief ossen un niegen kö͡en un twö͡älf schäupken vorr datt duurrp bro͡acht de woll'n se verkaupen
WS38	de lüe sind van dage o͡alle buuten up'n feile un meiet
WS39	go͡ank man de brune küe dööt di nicks
WS40	ick bin met de lüe do͡a achter ö͡äw'r de wis int <(no͡an)> ko͡arn föhrt
