---
Bogennummer: '44873'
Ort: Linn
Gid: 18689
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: '{Im Bogen fehlt Satz 35. An dessen Stelle steht die Übersetzung von
  Satz 36. Satz 35 ist korrekt platziert. Bei Nr. 36 beginnt Satz 37, der auf der
  1.Zeile von Nr. 37 endet. 2.Zeile von Nr. 37 ist leer.}'
Erstelldatum: 2023-05-27 17:14:14.626976
Änderungsdatum: 2023-05-28 18:14:42.912667
Satzversion: 1
...
WS1	Eͥm Weͥnter flüge di trochne Blätter umenand.
WS2	S' wird woll öppe ufhöre schneie, denn besseret s' Wätter scho weͥder
WS3	Tue Chole is Füürie <(leg Chole ane)> , dass d' Milch gly süt.
WS4	De guet alt Köbi isch met em Ross em Is iproche ond e's' chalt Wasser ietätscht.
WS5	Er isch öppe vȯr vier oder sächs Woche gstorbe.
WS6	s' Füür het z' starch bronne, d' Chüechli seͥnd jo onde ganz schwarz.
WS7	Er isst d' Eier emmer ohni Salz und ohni Pfeffer.
WS8	D' Füess tüend mer elend weh. i glaube i ha si doregloffe.
WS9	I be be der Frau gsy und han-er-es gsait, und si het gsait, si well' s ėm Maitli ä säge.
WS10	I well's gwöss nömme mache.
WS11	I ha di best Lust und hau der de Löffel a d' Ohre-n-ane {zunächst 'a d' Ohre ane', dann zwischen 'Ohre' und 'ane' oben '-n-' eingefügt} , du Aff.
WS12	Wo gosch ane, selle-mer met-der cho ?
WS13	d' Zyte send aber ä schlächt.
WS14	Blyb do onde, Schatzi, lueg die böse Gäns bisse di sosch z' Tod.
WS15	Du hesch höt am meischte glehrt und bisch brav gsi, deför dafsch jetz ehner hei-goh as die andere.
WS16	Du besch no z' chy {sic !}  , fer e Fläsche Wy {angefangenes Wort 'a' durchgestrichen} us-z-trinke, du muesch z' erscht nochle wachse ond grösser wärde.
WS17	Bis so guet ond gang säg dr Schwöschter, si mües d' Chleider fer d' Muetter fertig büetze und usbörste.
WS18	"Wenn-t-e {oder ""Wenn't'e"" ? Bindestrich und Apostroph stehen übereinander} nome vorane g-kennt hättischt ! denn wärs anderscht usecho, ond s' schtiend besser met-em."
WS19	Wer hat mer ächt myn Chorb gschtole {zunächst 'gst', dann angefangenes 't' mit 'c' überschrieben und Wort zu 'gschtole' ergänzt}   mit em Fleisch ?
WS20	Er het drglyche to, wie wenn-s-e-ne zom Trösche a-gschtellt hätte; si händ's aber eleige g' macht.
WS21	Wemm het er ächt di neu Gschicht scho weder verzellt ?
WS22	Mer mues echli brüele, sosch verschtot {zunächst 'verst¨, dann 't' mit 'c' überschrieben und Wort zu 'verschtot' ergänzt}  er is ned.
WS23	Mer sėnd müed ond händ Torscht.
WS24	Wo mer geschter z'obe heicho send, send di {zunächst 'die', dann 'e durchgestrichen} andere scho im Bett gsy ond händ fescht gschlofe {zunächst 'gschloffe', dann  Wort eingeklammert und dahinter das korrekte 'gschlofe' geschrieben}.
WS25	De Schnee het die Nacht ane-gha, höt-a-Morge ischt er vergange.
WS26	Hender öisem {der i-Punkt ist ganz dick und über dem 1.Aufstrich von 'm' ist ein Punkt - ?} Hus schtöhnd drü schöne Öpfelbaimle met rote-n-Öpfeli dra.
WS27	Chöne-der ned no en Moment warte, denn chöme-mer met-ech.
WS28	Tüend doch ä ned-tömmer as di chlyne Cheͥnd.
WS29	Eusi Bärge send ned-e-so höch, eui send vil grösser.
WS30	We mängs Pfund Würscht {zunächst 'Würst', dann 't' mit 'c' überschrieben und Wort zu 'Würscht' ergänzt} wänd-er  ond we-veͥl Brot ?
WS31	I versto-n-ech ned, er müend echli lüter rede.
WS32	Händ-er ned es Stöcklė wyssi Saipfe fer me of mym Tesch gfonde ?
WS33	Syn Brüeder well zwai neui schöni Hüser boue fer in e euiem Garte-n-enne.
WS34	{unter '34.' ist Wenker-Satz 36 aufgeschrieben}
WS35	Dasch-emol schön gsy vonene.
WS36	Was hocke do fer Vögeli of dem Mürle obe ? {Satz steht neben '34.'}
WS37	D' Bure händ föif {auf 'i' ist ein dicker Punkt} Stiere ond nün Chüe ond zwölf Schof vors Dorf use procht {zunächst mit 'b' angefangen, dann mit 'p' überschrieben} ond händ si welle verchaufe. {Satz beginnt auf Zeile '36.'}
WS38	D' Lüt send höt alli of em Fäld usse ond tüend mäije.
WS39	Gang nome, de brun Hond tuet-der nüt.
WS40	I bė met de Lüte do hende öber d' Matt gfare ond be goge s' Chorn hole.
