---
Bogennummer: '15367'
Ort: Eibingen
Gid: 534260
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Rolf Kanert
Original Anmerkungen: + durch die Nase; lautet genau wie en im französ. encore = noch
  oder im deutschen "Angst.!"
Erstelldatum: 2025-06-17 11:06:14.046199
Änderungsdatum: 2025-06-17 11:06:14.046199
Satzversion: 1
...
WS1	Im Winter fliehje die druckene Bleder dorch die Luft͡ errumm.
WS2	Es heert gleich uff ze schneije, dann werrd <(d)> es {ein Bogen verbindet die Worte werrd und (d)es} Wetter werre besser.
WS3	Thu Kuhle in de Uwe, daß die Milich ball ahn' {+-Zeichen über dem n; siehe Original Kommentar} se koche fängt.
WS4	Der gure alte Mann iß märrem Gaul dorchs Eis gebroche und ins kalt Wasser gefalle.
WS5	Ahr iß vor vier orer sechs Woche gestorwe.
WS6	'S Feier wahr se haaß, die Kuche sein jo unne gans schwatz gebrennt.
WS7	Ahr ischt die Ajer immer ohne Salz u. Peffer.
WS8	Die Füß duhn m'r weh, ich glab, ich hunn se dorchgeloff.
WS9	Ich sein bei d'r Fraa gewes unn hunn=ser gesaat, und se saat, s'e wollts aach ehrer Tochter sahn <(d. Nase +)
WS10	Ich will's aach nitt mä <(durch die Nase!)> werre duhn.
WS11	Ich haa d'r gleich märrem Kochleffel um die Ohre, du Aff!
WS12	Wo gehschste {sic!} hin <(d. d. Nase!)> solle ma metter geh<(n)>.
WS13	's sein schlechte Zeite.
WS14	Mein <(durch d. Nase)> lieb Kind, bleib do drun̄e stehn <(d. d. Nase)>, die böse Gäns beiße dich dood.
WS15	Du hoscht heit de meerscht gelernt u. bischt artig gewese, du derrfschst {sic!} eender haam gehn <(durch d. Nase!)> als die Annere.
WS16	Du bischt noch nitt groß genuch, for a Flasch Wein <(d. d. Nase!)> aussetrinke, du muscht ehrscht noch a Enn wachse u. größer werre.
WS17	Geh sei so gut u. saa deiner Schweschter, sie sollt die Klaarer for eier Mutter fertig nähe u. mett d'r Berscht sauwer mache.
WS18	Häschten gekennt, de wärsch annerschter kumme, unn's unn's dät besser umm'en stehn <(d. d. Nase!)>
