---
Bogennummer: '46108'
Ort: Gutenbrunnen
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:52.654338'
...
WS4	Där guet alt Mâ isch mit dem Ross mit dem Ysch ī kit un î ds chalt Wasser kit.
WS5	Är ist oppe vur vier oder säx Wuche gstorbe.
WS6	Ds Füür isch z geis gsy, die Chueche si ja ganz verbrennt.
WS7	Är isst d Eier ging oni Salz u Pfäffer.
WS8	D 'Füess tüe mr schützlich wièh, î glûbe, ich hîgi dü^rglüffe [Böglein über 'ü'].
WS9	J bî bi dem Wib gsi û hâ r' as gsî̄t u sie het gsî̄t [zweimal 'i' mit Böglein und darüber Querstrich], sie wellis der Tächter och säge.
WS10	J wills ja niemièh umhi mache.
WS11	J (schâ) [darunter steht:] gibe dr  grad mit dem Kochchelli zum Grind, du Aff.
WS12	Wa wollst hî̄ ['i' mit Böglein und darüber Querstrich]; sölle wr mit dr chô̄ ['o' mit Böglein und darüber Querstrich].
WS13	Das isch e schlöchti Zit - si schlächti Jahr.
WS14	Ja mis liebs Chind, blib du hie una stâ, dì böse Gens chönte dich z todpicke.
WS15	Du hest hüt am vilste glert u bist ordeligs gsi, jîtz châscht [oder 'ä' mit Böglein?] du früejer hî̄m ['i' mit Böglein und darüber Querstrich] wâ di andre.
WS16	Du bischt nuch zwiènig grossa für ne Fläsche Wii z suuffe, du muescht nuch zièrst waxe un e bitz grösser wärde.
WS17	Bis su guet u gang säg der Schweschter, sie sölli ds Muetters Gwand z vollme neje u putze.
WS18	Wenn d ne numme hettischt bchennt, de wie ͦ̀  [?]  alls z'semme ganz anders gange un äs giengi mu besser.
WS19	Wär het mr mi Chorb mit dem Flîîsch gstole.
WS20	Är het dr gliche tâ, si hî̄ge ne fürs Drösche bstellt, aber si hî̄ [zweimal 'i' mit Böglein und darüber Querstrich] alls sälber gmacht.
WS21	Wem het er die frischi Gschicht erzellt ?
