---
Bogennummer: '25528'
Ort: Schieder
Gid: 103329
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Arne Milas
Erstelldatum: 2022-06-18 10:39:19.486529
Änderungsdatum: 2022-06-18 10:50:07.658603
...
WS1	Jnnen Winter fleuget dä druien Bleer in dar Luft herüm
WS2	Et heurt gluik up teu ſchniggen, dann werd dat Wedder weder bet[ter] {an den Rand geschrieben, schwer lesbar}
WS3	Deu Köhle innen Oben, dat dä Mälke bäule an täu koken fängt.
WS4	Dä gäoe aule Mann is mi <mit> {t durchgestrichen} den Pere dört Uis broken un in dat kaule Water fallen
WS5	Heu is vör voir odder ſes Wekken ſtorben
WS6	Dat Fuiar was to heut, dä Köuken ſint ja unner gans ſchwart brennt
WS7	Heu ätt dä Ögger jümmer eune Solt un Pöppar.
WS8	Dä Foite deut mui dŭt woi, ek gloibe, ek häbbe ſä dürlaupen.
WS9	Ek bin bui der Frui wäſen un häbbe öt ähr ſeggt, un ſoi ſeh, ſoi woll et auk ährer Dochter ſeggen.
WS10	Ek will et auk nich mer wedder deun.
WS11	Ek ſchloe dui gluik met'n Kokkleppel üm dä Auern, du̇ĭ Ape!
WS12	Wo goiſt du̇ĭ henn, ſüdd wui met dui gohn
WS13	Et ſind ſchlächte Tuin.
WS14	Muin loibe Kuind bluiv huir unner ſtohn, dä boiſen Goiſe buit dui daut
WS15	Diu biſt nau nich graut genäug, üm'ne Flaske Wuin u̇ĭt täu drinken.Du̇ĭ häſt van Dage an meiſten läart, un biſt orig wäſen, diu frafſt froir na Hiuſe gohn, os dä Annern
WS16	Diu biſt nau nich graut genäug, üm'ne Flaske Wuin u̇ĭt täu drinken.
WS17	Gonk, ſui ſäo gäut un ſegg duiner Sui̇̆ſter, ſä ſoll dä Kleier vor juwe Mömme färig neiggen, un mi der Böſten räggen maken.
WS18	Häſt diù öhne kinnt, dann wöat anners kumen und et hare anners üm öhne ſtohn.
WS19	Wer hät muinen Korv met Floisk ſtohlen.
WS20	Heu doi ſäu, as haren ſoi önne teun däsken beſtellt, ſä häbbet öt öwer ſülmſt dohn
WS21	Wän hät hoi dä nuiggen Geſchichten vertellt.
WS22	Man mot hadder ſchruiggen, ſüs verſtäut hoi ösk nich.
WS23	Wui ſind moe un häbbet Doſt
WS24	Oës wui giſtern Obend tèorügge koimne, do laen da Annern oll teu Bedde un <und> {d durchgestrichen} wören faſt inſlopen
WS25	Dä Snoi is düſse Nacht bui ösk lüggen blieben öwer van Morgen is hoi ſmolten.
WS26	Hinner iuſen Hiuſe ſtoht droi ſchoine Appelboime met reuden  Äppelkens.
WS27	Könn jui nich nau oinen Augenblick up ösk toiben, dann go|wui met jökh
WS28	Jui drübet nich ſökke Kinnerruiggen druiben.
WS29	Wo vel Pund Woſt un wo vel Braud wüje hävven.Juſe Berge ſint nich düget hauch, juwwe ſind vell höchter.
WS30	Wo vel Pund Woſt un wo vel Braud wüje hävven.
WS31	Haw jui koin Stücksken witte Seipen vör mui up muinen Diske fun̄Ek verſtohe jök nich, jui möt n'betken hadder küren <(ſpräken)>
WS32	Suin Bröer will ſik twoi ſchoine nigge Huiſer in juwen Gohren biuen.Haw jui koin Stücksken witte Seipen vör mui up muinen Diske fun̄
WS33	Dat Woat kam önne van HärtenSuin Bröer will ſik twoi ſchoine nigge Huiſer in juwen Gohren biuen.
WS34	Dat was Recht van juw.Dat Woat kam önne van Härten
WS35	Wat ſittet dor vör Vügelkens boben up den Muierkens.Dat was Recht van juw.
WS36	Dä Buiren harren fuiv Oſſen un nigen Koige un twölf Schöpe vör dat Dörf brocht doi wollen ſä verkoipen.Wat ſittet dor vör Vügelkens boben up den Muierkens.
WS37	Da Lui ſint van Dage olle biuten up den Feile un magget.Dä Buiren harren fuiv Oſſen un nigen Koige un twölf Schöpe vör dat Dörf brocht doi wollen ſä verkoipen.
WS38	Da Lui ſint van Dage olle biuten up den Feile un magget.
WS39	Go man doi briune Rüe doit dui nikkes
WS40	Eck ſin met den Luin do hinner <(achter)> öber dä Wieſe int Kauern fohrt.
