---
Bogennummer: 57066
Ort: Wysokigrund
Sprache: Polnisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: Syntaxauswertung Fleischer
Transliterent: Sara Hayden
Anmerkungen: ''
...
WS01	W iesieni liście oblatuio
WS02	Kiedy śnieg przestanie padać, to będzie powietrze lepse.
WS03	Przewarz prędko mleko.
WS04	Ten człowiek werwał się z koniem na lodzie i zmacal się
WS05	Będą iuz 4 albo 6 niedziel, iak on umarł.
WS06	Za mocnom napalił, to mi sie kuchi opaliły.
WS07	On iada jejecnice.
WS08	Nogi przebrałem, to mie bolo.
WS09	Byłem u białki <(kobiety)> i im to mowił, a ona mowiła, ze to powie swoiey corce.
WS10	Ja tego iuz wiencey nie uczynie.
WS11	Ja ci zaraz warząchwią dam po łbie, ty małpo.
WS12	Dokąd idzies, cy mamy ztobo isć.
WS13	To są liche czasy.
WS14	Moie dziecie, siedz tu, co cie gęsi nie pokąsaią
WS15	Tyś się dzisiay naylepi ucył i dobrzes się sprawował, mozes teraz do domu prędzey iść niz owci
WS16	Jesceś nie dość urosł, cobyś butelke wina wypić mogł.
WS17	Bądz taka dobra, idz i mow twoiey siostrze, coby przyodzienie dla matki usyła i scotko ocesała.
WS18	Gdybyś go znał, toby inacey się stało i lepiey by zniem było.
WS19	Kto mie kosz z mięsem ukradł?
WS20	On tak robił, iak by go do drasowania wiąć chcieli; oni ale to sami zrobily.
WS21	Komu on to nowo historio powiedział.
WS22	Muśiz glośno wrzesceć, bo naz nie zrozumie.
WS23	My są z turbowane i pić się nam chce.
WS24	Jakim w czoray nazad przyśli, to owci iuz w łozu lezeli i twardo spali.
WS25	Snieg tej nocy lezał a dzisiay rano zginoł.
WS26	Za nasym domem stojo trzy piękne iablonecki z czerwonemi iabluskami.
WS27	Kiedybyśta ieszce troske pocekali, tobym z wama pośli.
WS28	Nie mata takich dziecińskich rzecy cynić.
WS29	Nase gory nie so bardzą wysokie, wasze so daleko wyszse.
WS30	Wiele funtow worzty <(kiełbasy)> i wiele chleba chceta.
WS31	Ja wam nie rozumieje, musicie troske głośni gadać.
WS32	Nie znalezliśta na stole dla mie kawałek białego mydła.
WS33	Was brat chce w waiem ogrodzie sobie dwa nowe piękne domy postawić
WS34	To słowo mu z serca wysło
WS35	Toś nie dobrze zrobił.
WS36	Co za ptaski siedzo tam na murku wyszoko.
WS37	Gbury wyprowadzili przed wieś pięć wołów, dziewięć krów dwanście owieckow, te chcieli przedać.
WS38	Dzisiay są ludzie wszystkie na polu i zniwuio.
WS39	Idz tylko, ten pies cie niezakonśi.
WS40	Ja poiechał z ludziami obkoło <(z tyłu)> bez łonke po zyto.
