---
Bogennummer: '25642'
Ort: Donop
Gid: 103317
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Arne Milas
Original Anmerkungen: 'Bemerkungen zur Ausspr. á lautet, wie im Englischen das a in
  and - â wie daselbst das a in Water.  a am Ene eines Wortes etc. statt er, un so
  ähnlich auch, wenn es am Ende eines Doppellautes steht; das r hört man eben in beiden
  Fällen   nicht. - ä am Ende des Doppellautes nur anklingend - ä̈͡u: ä lautet so
  bezeichet wirklich ä. - ë͡u: e lautet hier wirklich e, der Bogen deutet immer die
  Verschmelzung der darunterstehenden Vocale in einen Doppellaut an.-Das r wird hier
  sehr vernachlässigt, besonders am Ende der Silben - fast ganz. - Eigenthümlichkeiten
  und Sitten bieten hier weniger Auffallendes.'
Erstelldatum: 2022-06-15 21:27:22.493972
Änderungsdatum: 2022-06-15 21:27:22.493972
...
WS1	Jn'n Winter flá͡iget dá dräugen Blehr in⁀na Luft harüm'm.
WS2	Et hâ͡at glü͡ik up të͡u ſchnüggen, denn wärcht dat Wädder wia bätta.
WS3	Dë͡u Köhle in den Ohm'm, dat dá|͡ä Mälke an te koken fenget.
WS4	Dá|͡ä gë͡u ä̈͡ule Mann eß mit'n Pehre dü͡at Üis brâken on in dat kä̈͡ule Water fall'l.
WS5	Há|͡ä eß für vá͡a ë͡ua ſeß Wecken ſtá͡om.
WS6	Dat Fur waß tëu há|͡ät, dá Kë͡uken ſind ja unna gans ſwacht brännt.
WS7	Há|͡ [ä]tt {Tinte verschmiert} dá Ágga jümme ë͡une Sált on Pöpper.
WS8	Dá|͡ä Fö͡ete <(nicht ö)> {ö ist hier o mit Trema. Im Origninal Pünktchen, gegenüber Umlautstrichen} dë͡ut mü͡i düht <(düget)> wä͡e, eck läuwe eck häw-{in der Zeile darüber geschrieben}we'ſe dü͡a lä̈͡up'n.
WS9	Eck ſinn bü͡e dá Frim'm <(Frum'm)> weſen on häwwĕ et ü͡a ſächt, on ſá͡e ſeh', ſá͡e woll't ä̈͡uk üra Dochte ſäggen. <(gg: weich)>
WS10	Eck will't áck nich <(mah)> wi͡a dë͡un.
WS11	Eck ſchloh dü͡e glü͡ik mit'n Kokeleppe <(Slá͡äwe <Slá͡äfe> {f durchgestrichen darüber w als Korrektur})> ümme dá Äwwan, di͡u Ape!
WS12	Wo <(Wo͡a)> gá͡äſt'n henn, ſöw⁀wü͡i mih gohn?
WS13	Et ſind ſlächte Tü͡in.
WS14	Mü͡in lá͡ewe Kind, blü͡if hü͡a un̄a ſtohn, dá bäuſen Gäuſe bü͡it't dü͡i dä̈͡ut.
WS15	Diu häſt huite <(van Dage)> an'n meiſten le͡at on biſt o͡rg weſen, di͡u drafſt fro͡a <(á͡a)> nă Hi͡us gohn, oſſe dá̆ Annan.
WS16	Di͡u biſt nä̈͡u nich grä̈͡ut genë͡ug, ümme 'ne Flaßke <(Bütälje)> Wü͡in i͡uttedrinken, di͡u moſt á͡aſt nä̈͡u'n Enne waſſen on grátta wern.
WS17	Gânk, ſü͡i ſë͡u gë͡ut on ſágge dü|͡äna Süßter, ſá|͡ä ſoll dá Kleia fü͡a jiwwe Mutter fä͡ag najjen on mi⁀da Böſten rájjen maken.
WS18	Heſt <Haſt> {a durchgestrichen, e darüber geschrieben} di͡u kennt? denn wö͡a't annaſt komm'm, on ät ſtünne bätta ümme änne.
WS19	Wá|͡ä hät mü͡i müin'n Kâ͡af mit'n Flá|͡äske ſtohl'l?
WS20	Háåä dá̄ ſë͡u, oſſe hedd'n ſá͡ä änne të͡u'n Desken büſtellt; ſá͡ä hät't áwwa ſümſt dohn.
WS21	Wänne hät há͡ä dá nüjje Geſchichte vatellt?
WS22	Man mott hadda <(halle)> ſrüjjen, ſüß vaſtá͡ät há͡ä öß <(us)> nich.
WS23	Wü͡i ſind moh <(mo͡äje)> on hät Doſt.
WS24	Oſſe wü͡i giſtan Omd trujje káäm'm, dä̈͡u lá͡äjen dá Annan oll in'n <(të͡u)> Bedde on wöan faſte an'n <ſch> {durchgestrichen} ſlop'n.
WS25	Dá͡ä Sná͡ä eß döſſe Nacht bü͡i öß <(uß)> lüjjen bliem'm, áwwa va' Mâ͡an eß há͡ä ſmolt'n.
WS26	Achta i͡uſen Hi͡uſe ſtoht drá͡ä ſchäune <(wackare)> Appelbäumkens mit <lütken)> rä̈͡un Appel <(Äppelkens)>.
WS27	Könn jü͡ä nich nä̈͡u'n lütken Ä̈͡ugenblick up öß li͡uan <(to͡ä'm)>, denn goh'wü͡ä mit jöck mih.
WS28	Jü͡ä drüht nich ſöcke Kinnarüjje drü͡äm. <(hier das ä nicht ganz wie ä und n. g. wie i)>.
WS29	I͡uſe Bä͡age ſind nich ſë͡u <(ſehr: fehlt)> hä̈͡uch, jiwwä ſind vell háchta. <(für sehr=tüchtig: düht.)>
WS30	Wovell Pund Woſt on wovell Brä̈͡ut wi jü͡ä häm'm?
WS31	Eck vaſtoh jöck nich, jü͡ä mött'n bett'n hädd[a] {Tinte verschmiert} <(hälla)> kü͡an.
WS32	Hä⁀jü͡ä <(Häjje)> nich'n Stücksken witte Seip'n für mü͡ä up mü͡än Diske fun'n.
WS33	Sü͡än Brewwa <(Brë͡ua)> well ſick twá͡ä wackere nüjje Hu͡iſa in jim'm Go͡a'n bim'm.
WS34	Dat Wewwat kamm änne van'n  Hä͡at'n <Hä͡aten> {e durchgestrichen, Apostroph als Korrektur}
WS35	Dat was rächt van ü͡a.
WS36	Wat ſitt't do͡a für lütke Vühle bom'm up dă lütken Mu͡an?
