---
Bogennummer: '27264'
Ort: Sachsenhausen
Gid: 96029
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Rolf Kanert
Anmerkungen: 'Der Bogen wurde ausgefüllt von Fr. Schubart, geboren in Heldburg, heute
  Landkreis Hildburghausen in Thüringen.

  Die Übersetzung geschah durch die Schüler.

  Der Informant vermerkt unter Frage 3 auf S. B einen deutlichen Unterschied zwischen
  der Aussprache des g in Kugel, Augen, fragen und dem in Kegel, kriegen, biegen,
  zeigen.'
Original Anmerkungen: 'Seite A unten:

  Die Nachsilbe er wird meist wie ein kurzes helles a gesprochen, a {mit Zirkumflex}
  wie oa, ch wie sch.

  15. "artig" findet sich nicht im Sachsenhäuser Wortvorrat.

  24. Ebenso "als" in dieser Bedeutung.

  {Eine weitere Anmerkung ist durch eine Beschädigung des Bogens nicht mehr erkennbar}


  Seite B: Wallschule in Sachsenhausen dem linksmainischen Teile der Stadt. Knaben
  = Bürgerschule. Schulgeld 18 Mk. jährlich.'
Erstelldatum: 2024-01-10 15:08:52.279297
Änderungsdatum: 2024-01-10 15:08:52.279297
Satzversion: 1
...
WS1	Im Winter fliehe die truckene Bletter in der Luft e rum.
WS2	Es hert gleich uff zu schneie, dann wärd des Wetter widder besser.
WS3	Duh Kohle in de Owe, daß die Milch bald afängt zu koche.
WS4	Der gute ale Mann is mit dem Perd dorchs Eis gebroche un ins kale Wasser gefalle.
WS5	Er is vor via ode sechs Woche gestorwe.
WS6	Des Feuer woar zu haaß, die Kuche sin ja unne gans schwoarz gebrennt.
WS7	Er eßt die Ajer immer ohne Sals un Peffer.
WS8	De Fieß duhn merr sea wih, ich glab, ich h[o]b se durchgelafe.
WS9	Ich bin <(sein)> bei drr Fraa gewese unn hobs er gesaagt, un sie hot gesaagt, sie wollts aach ihrne Dochter saage.
WS10	Ich wills aach ne mehr widder duh.
WS11	Ich haag d'rr gleich mit dem Kochleffel hinner die Ohrn, du Aff.
WS12	Wo gehst de hin, solle mer mit d'rr geh?
WS13	Es sein schleechte Zeite!
WS14	Mai lieb Kinn, bleib hie unne steh, die bese Gäns' beiße dich dodt.
WS15	Du host heut de meist gelernt un bist geschickt <oartig> {ausgestrichen} gewese, du därfst eher ham gieh, als de Annern.
WS16	Du bist noch net groß genug, um a Flasch Wai {n eingeklammert und ausgestrichen} auszetrinke, du mußt erscht noch a bissi wachse un greßer wär'n.
WS17	Gih sei so gut un soag deiner Schwester sie soll die Klader for euer Motter fertig nehe un mit d'rr Berscht sauwer <sauber> {b ausgestrichen und durch w ersetzt} mache.
WS18	Hätst'n gekennt! dann wer's <wär's> {ä ausgestrichen und durch e ersetzt} annerschter <anners> {s ausgestrichen und durch schter ersetzt} komme <(w[a]rn)> un es deht besser um en steh <stehn> {n ausgestrichen}.
WS19	Wer hot merr maan Korb mit Flaasch gestohle?
WS20	Er hot so gedoah, als hätte se ihn zum dresche bestellt, sie habbes ower selbst gedoh.
WS21	Wem hot er die neu Geschicht verzehlt?
WS22	Ma muß laut kreische, sonst verstieht {i nachträglich eingefügt} er uns nett.
WS23	Merr sein {e nachträglich eingefügt} mid un howe Dorscht.
WS24	Wie {Als ausgestrichen} merr gestert Owend  haam sein koume {sic!}, do worn die Annern schun im Bett un howe fest geschlofe.
WS25	De {finales r ausgestrichen} Schnee is die Nocht bei uns leihe bliwe {initiales ge sowie e hinter dem i ausgestrichen}, ober heut Morjend is er geschmolße {z ausgestrichen und durch ß ersetzt}.
WS26	Hinner unsern Haus stihn drei schene Aeppelbemercher {er vor cher nachträglich eingefügt} mit rothe Aeppelcher.
WS27	Kennt err {ihr ausgestrichen und durch err ersetzt} nett noch en Ageblick uf uns woarte, dann gehn merr mit euch.
WS28	Ihr derft nett so {urspr. solche, lche ausgestrichen} Kinnereie treiwe.
WS29	Unser Bärg sin nett arg hoch, euer sinn viel heger.
WS30	Wie viel Pund Worscht un wieviel Brod wollt-err {urspr. wollt der, durch Streichung u. Ergänzung geändert} howe?
WS31	Ich verstihn euch nett, ihr mißt e bissi lauter spreche <(schwätze]>.
WS32	Habt-err {urspr. Habt ihr; ihr gestrichen} ka Stickelche {el nachträglich eingefügt} weiß' Saaf for mich uff mam Disch gefunne?
WS33	Sei Bruder will sich zwaa schiene {i nachträglich eingefügt} neue Häuser in euerm Goarte baue.
WS34	Des Wort kam-em {urspr. ihm ausgestrichen und durch -em ersetzt} von Herze.
WS35	Des woar rescht von dene {urspr. em ausgestrichen und durch dene ersetzt}.
WS36	Wos sitze do vor Vegelcher owwe uff dem Mäuerche?
WS37	De Bauern hotte finf Ochse un neu Kih un zwelf Schefcher <(eher: Lämmelcher)> vors {urspr. vor das} Dorf gebrocht, die wollte se verkaafe.
WS38	Die Leut sin <(sein)> heut all {finales e gestrichen} drauß {finales e gestrichen} uff em {initiales d gestrichen} Feld un mehe.
WS39	Geh nor, der braune Hund duht d'r nix.
WS40	Ich bin <(sein)> mit de Leut dahinne iber die Wiss' {urspr. Wies' abgeändert} ins Korn gefoahrn {urspr. gefahre abgeändert}.
