---
Bogennummer: '27259'
Ort: Offenbach am Main
Gid: 99247
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Rolf Kanert
Anmerkungen: 'Der Name des Lehrers lautet Augst, geboren in Offenbach.

  Die Übersetzung geschah durch den Lehrer.

  Der Bogen ist in lateinischer Schrift ausgefüllt.

  Die Tilde ist meist über zwei Buchstaben gesetzt; in der Transliteration ist sie
  nur über den ersten gesetzt.'
Erstelldatum: 2024-03-04 15:30:32.548218
Änderungsdatum: 2024-03-04 15:30:32.548218
Satzversion: 1
...
WS1	Im Winter flije' di trockne Bletter dorch di Luft 'rum.
WS2	S' hehrt gleich uff z'schnaije', dann werd's Wedder widder besser.
WS3	Duh' Kohle in d'Owe, dass di Milch bald z'Koche õanfengt. {Tilde über oa}
WS4	Dr gude alde Mann is mi'm Gaul dorchs Eis gebroche, un ins ka[lt]e Wasser gefalle.
WS5	E'r is vor 4 odder 6 Woche gestorwe.
WS6	Ds Feuer woar z'haas, di Kuche sein joa unne ganz schworz gebren {hier ist das Papier beschädigt}
WS7	e'R isst di Aajer immer ohne Salz un Peffer.
WS8	Di Fiess duhn m'r weh, ich {hier stand urspr. isch; das s wurde ausgestrichen} glaab ich hoab se dorchgelaafe.
WS9	Ich sein bei dr Froa gewese un hoabb s'r gesoacht, un si hoat gesoacht, si wol {hier ist das Papier beschädigt} aach ihrer Dochter soage.
WS10	Ich wills aach nett mehr widder dũhn. {Tilde über uh}
WS11	Ich haag dr gleich mi'm Kochläffel um di Ohrn, du Aff!
WS12	Wo gehst d'hĩn {Tilde über in}, solle m'r mit dr gẽhn?
WS13	S'sinn schlägde Zeide.
WS14	Mẽin {Tilde über ei} lieb Kind, bleib hier unne stẽhn {Tilde über eh}, di {urspr. die, das e wurde ausgestrichen} beese Gens beisse dich dohd.
WS15	Du hoast oam mehrschde gelernt un woarscht geschickt, d'därfst friher hoam gẽhn {Tilde über eh}, als di {urspr. die, e wurde ausgestrichen} Annern.
WS16	D'bist noch nett gross genuch, dass <(a[ss])> {hier macht eine Beschädigung des Bogens das Wort schwer lesbar} d'e Flasch Wein austrinke kannst, d'musst ehrscht noch e Bissi woachse un grehser währn.
WS17	Geh' sei so gut, un soag deiner Schwester, si soll die Klaader for euer Mutter ferdig nehe un mit dr Bärscht sauwer mache.
WS18	Hässt'n gekennt, dann wehrsch annerscht komme un es dehd besser um'n steh̃n. {Tilde über hn}
WS19	Wer hoat m'r mãn {Tilde nur über a} Korb Flõasch {Tilde über oa} gestohle?
WS20	e'R hoat so gedoãhn {Tilde über ah} ass hätte s'n zum dresche bestellt, si hoaw's oawer selbst gedoãhn {Tilde über ah}.
WS21	Wehm hoat'r di neu Geschicht verzehlt?
WS22	M'r muss laut kreische, sonst versteht 'r uns nett.
WS23	M'r sein mied un hoawe Dorscht.
WS24	Wi m'r gester ñ Oawend zerick komme sein, doa hoawe die Annern schon im Bett geläje un woarn fest am schloafe.
WS25	D'r Schnee is haint Noacht bei uns lije' geblĭwe, oawer haint Morje iser geschmolze.
WS26	Hinner unserm Haus stehn drei schene Äbbelbehmcher mit rothe Äbbelcher.
WS27	Kennt'r nett noch'n Aageblick uff uns woarde, dann gehn m'r mit euch.
WS28	Ihr derft so kãhn {Tilde über ahn} Buwestraach mache.
WS29	Unser Berje sein nett sehr hoc[h] {hier ist die Tinte verschmiert, so dass der letzte Buchstabe nicht lesbar ist}, euer sein viel hejer.
WS30	Wieviel Pund Woarscht un Brod wollt'r hoawe.
WS31	Ich versteh euch nett, ihr misst e Bissi lauter redde.
WS32	Hoabt'r e Stickelche was Soaf for mich uff mẽim {Tilde über eim} Disch gefunne?
WS33	Sẽin {Tilde über ei} Bruder will sich zwa schene neie Häuser in eujerm Goarde baue.
WS34	Ds Wort kãm {Tilde über am} vomm Herze.
WS35	Dĕss wear {sic!} recht von Ihne!
WS36	Woas sitze dort for Vegelcher owe uff'm Mäuerche?
WS37	Di Bauern hatte finf Ochse un nẽun {Tilde über eu} Kih un zwelf Schefercher vorsch Dorf gebracht, di wollte se verkaafe.
WS38	Di Leut sẽin {Tilde über ei} heut all draus uff'm Feld un meje'.
WS39	Geh nur, d'r braune Hund duhd'r niks.
WS40	Ich sein mit d'Leut do hinne iwer di Wiss ins Korn gefoãhrn.
