---
Bogennummer: '44717'
Ort: Sisseln
Gid: 20755
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: '{Im Seitenkopf steht mit rotem Farbstift: ''st = scht''. In vielen Sätzen
  wurde am Text des Lehrer mit rotem Farbstift rumkorrigiert. Hier ist die korrigierte
  Version transkribiert; die ursprüngliche Version wird in ''{zunächst ...}'' erwähnt.}'
Original Anmerkungen: ''
Erstelldatum: 2024-07-13 14:29:43.663232
Änderungsdatum: 2024-07-14 14:40:35.777526
Satzversion: 1
...
WS1	Im Wìnter flüge die drochne {zunächst 'trochne'} Bleter {zunächst 'Bläter'} i de Luft ume.
WS2	Es hört grad uf schneie, denn wird 's Wätter wėder besser.
WS3	due {zunächst 'Tue'} Chòle-n-i òfe, dass d' Mìlch {zunächst 'dass Mìlch'} bald afangt choche.
WS4	De guet alt Ma isch mitem Ross uf em Is igsunke {zunächst vom Lehrer notiert: 'Ross igsunke', dann hat er zwischen 'Ross' und 'igsunke' eine Einfügung wie ein grosses 'V' mit oben '1' notiert und hinter 'igsunke' ergänzt '(1 uf em Is)'} ond {zunächst 'und'} is chalt Wasser gfalle. 
WS5	Er isch vor vier oder sex Wuche gschtorbe.
WS6	s Für isch d'schtark {zunächst 'stark'} g'si, d Chueche sind unde ganz schwarz bränt gsi.
WS7	Er isst d Äier {zunächst 'Eier'} immer one Salz ond {zunächst 'und'} Pfäffer.
WS8	Pfüess düen {zunächst 'tüe' und 'n' ergänzt} mer fescht {zunächst 'fest'} weh, i glaube, i {zweimal zunächst 'ie'} ha si duregloffe.
WS9	I-bi bi de Frau gsi ond haneres gsäit {zunächst 'gseit'}, ond {zweimal zunächst 'und'} si säit {zunächst 'seit'}, si wels aw irer dochter {zunächst 'Tochter'} säge.
WS10	I wills aw nǜme wider due {zunächst 'tue'}.
WS11	I schloder de Chochlöffel um d' Ore, du Aff.
WS12	Wo gosch {etwas ist ausgekreuzt} hì, selemer miter cho.
WS13	S'ind schlächti Zyte.
WS14	Mis lieb Chind blib do unde {zunächst 'und'} schto {zunächst 'sto'}, die böse Gäns bisse di dod.
WS15	Du häsch hüt am mäischte {zunächst 'meischte', dabei hat der Lehrer selber bei 'st' nachträglich 'ch' oben eingefügt} gleert {vom Lehrer selber 2.'e' ergänzt}. du darfsch früener {zunächst 'früner'} häi {zunächst 'häi'} go, as di andere.
WS16	Du bisch nunit gross gnueg as chasch e Fläsche Wi usdrinke {zunächst 'ustrinke'}, du muesch no wachse und grösser wärde. 
WS17	Gang, bis so guet ond {zunächst 'und'} säg dire Schwöschter {zunächst 'Schwöster'}, si {zunächst 'sie'} sell für öire Mueter d' Chläider {zunächst 'Chleider'} fertig näie {am letzten Buchstaben rumkorrigiert}, ond {zunächst 'und'} suber bürschte {hier hat der Lehrer bei zunächst 'bürste', oben 'ch' zwischen 's' und 't'  eingefügt}
WS18	Hättische kännt, denn wärs anderscht cho ond {zunächst 'und'} es giengem {zunächst 'gingem'} besser.
WS19	Wer hätmer de Chorb mitem Fläisch {zunächst 'Fleisch'} gschtohle {zunächst 'gstohle'}.
WS20	Er hät so tue wie wenn-se zum Drösche bschtellt {zunächst 'bstellt'} hättet; si häns aber sälber {zunächst 'selber'} gmacht.
WS21	Wem hätter di neu Gschicht verzelt.
WS22	Me Muelut rüefe, suscht {zunächst 'sust'} verstoter {zunächst 'verstoter'} öis nit.
WS23	Mėr sind müed ond {zunächst 'und'} händ Durscht
WS24	Wo mer geschter Zobig zrugg {zunächst 'zrug'} cho sind, do sind di andere scho im Bett gläge und händ fescht gschlofe {'fescht gschlofe' steht wegen Platzmangel in der aktuellen Schreibzeile am Ende der mit 22. nummerierten Zeile}.
WS25	De Schnee isch bi öis die Nacht ligge blėbe, aber hütt am {zunächst 'a' und 'm' ist dünn oben angefügt} morge ischer vergange.
WS26	Hinder öisem Hus schtönd {zunächst 'stönd'} drü schöni Öpfelbäumli mit rote Öpfeli. 
WS27	Chöneder nit no es Augeblickli òf öis warte, denn gömer mit-ich.
WS28	Ir dörfet käini {zunächst 'keini'} settigi Chindereie dribe {zunächst 'triebe'}.
WS29	Öise Bärd {zunächst 'Berg'} sind itt so höch, öie sind vėl höcher.
WS30	Wie vėl Pfund Würscht {zunächst 'Würst'} ond {zunächst 'und'} Brot wänder {zunächst 'wender'} ha.
WS31	I verschto {zunächst 'versto'} öi itt, ir müend luter schwätze {zunächst 'schätze'}.
WS32	Hän-der {zunächst zusammengeschrieben, dann hat der Lehrer den Bindestrich oben zwischen 'n' und 'd' gesetzt} käis {zunächst 'keis'} Schtückli {zunächst 'Stückli'} wissi Söipfi {zunächst 'Seipfi'} för {vom lehrer korrigiert, wohl zunächst 'für'} mi uf mim disch {zunächst 'Tisch'} gfunde.
WS33	Sin {zunächst 'Sind'} Brüeder will sich zwöi schöni, nöi Hüser, i öiem Garte boue.
WS34	Da Wort ischem vo Härze {zunächst 'Herze'} cho.
WS35	Das isch rächt {zunächst 'recht'} vo öich.
WS36	Was sitze do fùr Vögeli of em Mürli obe.
WS37	d' Bure {zunächst nur 'Bure'} händ fünf Schtiere {zunächst 'Stiere'} {Wortanfang durchgestrichen} ond nün Chüe ond zwölf Schöfli vor's Dorf brocht, die händ-si welle verchaufe.
WS38	D' Lüt sind hütt alli [u]f {unklar, ob 'u' oder 'o'} em Fäld {zunächst 'Feld'} usse {'u' ist durchgestrichen} ond mäiet.
WS39	Gang nume, de brun Hund mach-tir {vom Lehrer selbst korrigiert: zunächst wohl 'machttir'} nüt.
WS40	I bė {angefangener Buchstabe durchgestrichen} mit de Lüte do hinde über d' Matte {zunächst 'über Matte'} is Chorn g'fahre.
