---
Bogennummer: '45093'
Ort: Deitingen
Gid: 15927
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Annemarie Fellmann
Anmerkungen: '{Übersetzung von Marie Ris, 7. Klasse, 13 Jahre alt}'
Erstelldatum: 2024-02-12 16:52:20.239008
Änderungsdatum: 2024-02-17 09:30:27.272559
Satzversion: 1
...
WS1	Im Winter flüge die drochne Bletter i der Luft ume.
WS2	Äs hört glich uf schnie de wird's Wätter wieder besser.
WS3	Due Chole i Ofe, ass d' Miuch boud {oder 'baud' ?} afot choche.
WS4	Dä guet out Ma isch mit em Ross durs Isch broche und is choute {wohl zunächst 'is k' , dann unterbrochen und 'c' vor das angefangene 'k' gesetzt, und 'k' dick als 'h' überschrieben} Wasser gfoue.
WS5	Är isch vor vier oder sächs Wuche gschtorbe.
WS6	S' Für isch z' starch, d' Chueche si jo ungernoche ganz schwarz brönnt.
WS7	Är isst d' Eier eister ohni Souz und Pfäffer.
WS8	D' Füöss düö mir weh, i glöube {zunächst 'glöübe', dann ü-Striche durchgestrichen}, i heigse durlöufe.
WS9	I bi bi d'r Fröu gsi und hares gseit, und si het gseit, sie wöus ihrer Tochter säge.
WS10	I wius öu nieme tue.
WS11	I schloh di glich mit em Chochlöffu um d' Ohre, du Aff.
WS12	Wo gosch hi söuemer {am 1.'e' rumkorrigiert} miter cho.
WS13	Äs si schlächti Zite.
WS14	Du liebs King blib stoh, die {'g' angefangenes Wort stehen gelassen ?} böse Gänse bisse di z' tot.
WS15	Du hesch hüt am meiste glert und bisch artig gsi, do {wohl verschrieben, aber stehen gelassen} du darfsch ender hei as die angere.
WS16	Du bisch noni gross gnue, für e Fläsche Wi usztrinke, du muesch ersch no chli wachse für gross zwärde.
WS17	Gang,bisch so guet und säg dir Schwester si söu für üi Muetter d' Chleider fertig näie und mit d'r {meine Interpretation: zunächst 'der', dann Apostroph über 'e', aber 'e' nicht durchgestrichen} Bürste suber mache.
WS18	Hätsch du ihn könnt !  de wärs angersch cho; und äs tät besser um ihn stoh.
WS19	Wär het mer mi Korb mit Fleisch gschtole. 
WS20	Är duet so as hät e sine zum Drösche bschtöüt, si heis aber säuber gmacht.
WS21	Wenn het är die neue Gschicht erzöut.
WS22	Mi muess lut schrie, süsch verstoht är {'e' ist durchgestrichen} is nit.
WS23	Mir si müöd und hei Durscht.
WS24	Gester Zobe wo mir zrug cho si, si die angere scho im Bett gsi und si fest am Schlofe gsi.
WS25	Der Schnee isch die Nacht bi üs bliebe ligge, aber hüt d' Morge isch er scho gschmouze gsi.
WS26	Hinger üsem Hus stöh drü schöni Öpfuböühmli {zunächst wohl 'Öpfuböüm=' (Trennung am Zeilenende), dann 'h' zwischen 'ü' und 'm' eingefügt, 'h' sieht aus Platzmangel wie 'i' aus} mit rote Öpfeli.
WS27	Cchöit er nit no ne Öugeblick uf üs warte, da chömemer mit euch.
WS28	Dir dörfet nit setigi Chingesache tribe.
WS29	Üsi Bärge si nid so höch wie öüi.
WS30	Wie viu {zunächst 'viul', dann 'l' durchgestrichen} Pfung Wurst und wie viu {'Bo' - eingeklammert statt durchgestrichen} Brot weiter ha ?
WS31	I verstoh üch nit, dir müösst luter rede.
WS32	Heiter kes Stückli {'Seife' - eingeklammert statt durchgestrichen} wissi Seife för mi uf mim Disch gfunge ?
WS33	Si Brueder wot sich zwöi schöni nöi Hüser b[ö]e {Korrektur unklar: zunächst 'bue' oder mit 'ba' angefangen und dann Verbindung zu 'e' durchgestrichen?}.
WS34	Das Wort chunt em vo Härze !
WS35	Dasch rächt vonne !
WS36	Was für Vögeli sitze do obe ufem Mürli ?
WS37	D' Bure hei föf Ochse und nün Cchüöh und zwöuf {zunächst 'zwöüf', dann ü-Striche durchgestrichen} Schöfli vor s Dorf brocht, die wöuesi verchöufe.
WS38	D' Lüt si höt oui dusse ufem Fäud und mäie.
WS39	Gang nume, der brun Hung machter nüt.
WS40	I bi mit de Lüt do hingere über d Matte is Chorn gfahre.
