---
Bogennummer: '44755'
Ort: Mandach
Gid: 17467
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: '{Der Lehrer schreibt manchmal ''a'' und ''o'' so, dass sie kaum zu unterscheiden
  sind; ferner ist ''e'' manchmal in Kurrentschrift.}'
Original Anmerkungen: "Der Lehrer schreibt auf der Rückseite des Bogens unter den\
  \ übersetzten Einzelbegriffen: \n< 1)  aͣ̈  wie im englisch in man >\n< 2)   ̌ \
  \ offener Hellaut > {wobei der Haken ganz lang ist}  \n< 3)  ̄  geschlossener Hellaut\
  \ >  {Querstrich über dem Vokal}"
Erstelldatum: 2023-04-19 13:27:11.175899
Änderungsdatum: 2023-04-27 16:46:49.389616
Satzversion: 1
...
WS1	Jm Winter flüüge di töre Blätter i der Luft ume.
WS2	Es hörrt grad uf schneye, denn besseret s' Wätter.
WS3	Tue Chole is Öfeli <(Herd)> {diese Erklärung steht unter 'Öfeli'} ie, dass d' Milch gli afaht süüde.
WS4	De guet alt Ma escht mit sim Ross uf em Ys yproche und is chalt Wasser gfalle.
WS5	Er escht vor vier oder sächs Woche gschtorbe. 
WS6	S' Füür escht z' starch gsi, d' Dünne ischt jo unde ganz verbrännt.
WS7	Er isst d' Eier immer oni Salz und Pfäffer. <(Er isst si ōri)> {zunächst 'sie', dann 'e' durchgestrichen}
WS8	D' Füess tüend mer so weh, i glaube n i heig si duregloffe.
WS9	I bi bi der Frau gsi und han er es gseit, und si {zunächst 'sie', dann 'e' durchgestrichen} het gseit, si wells irem {zunächst 'ihrem', dann 'h' durchgestrichen} Meitli au säge.
WS10	I wills au nie meh mache.
WS11	I hau der grad de Chelle um d Ohren ume, du  Aff du !
WS12	Wo gohscht hi, chöm mer au mit der cho ?
WS13	Es sind schlächt Zitte.
WS14	Hansli, blieb do unde, die böse Gäns frässe di suscht.
WS15	Du hescht hüt am meischte glehrt und bischt brav gsi; du tafscht ehner heigo as di {zunächst 'die', dann 'e' durchgestrichen} andere.
WS16	E ganzi Fläsche Wi escht no z' vill für di, du bischst no z' chli, du muescht {zunächst 'mueschst', dann 's' durchgestrichen} z' erscht no wachse und grösser wärde.
WS17	Bis so guet und gang diner Schwöschter {zunächst 'Schwöschster', dann 's' vor 't' durchgestrichen}  go säge, si sell d' Chleider für eui Muetter fertig mache und usbürschte.
WS18	Wennt' e du g' chännt hättischt, so wärs anderscht usecho; denn schtiends au besser mitem.
WS19	Wer het mir de Chorb mit em Fleisch gschtole ?
WS20	Er het derglie to, si heiged' e zum Trösche n agstellt; si {zunächst 'sie', dann 'e' durchgestrichen} händs aber selber gmacht.
WS21	Wemm het er di neu Gschicht verzellt ?
WS22	Me muess lutt {zwei 't'?} brüele, soscht verschtoht er is ned.
WS23	Mer sind müed und händ Turscht.
WS24	Wa {unsicher, ob hier 'o' gemeint ist, vgl. z.B. 'o' bei 'zruggcho' und bei 'scho' !}  mer geschter z'obe zruggcho sind,  sind di andere scho im Bett gsi und händ fescht  g'schlofe.
WS25	De Schnee escht übernacht bi eus ligge plibe, aber hüt ammorge escht er vergange.
WS26	Hender eusem Huus schtönd drü schöni Öpfelbaimli mit rote n Öpfeli dra.
WS27	Chöned er ned no e chli warte, denn  {'chöne mer mitchoh' ist durchgestrichen; darunter steht:} chöme mer mitech.
WS28	Ihr törfet keni dere Stückli mache.
WS29	Eusi Bärge sind ned so höch, eui sind vill höcher.
WS30	Wie mängs Pfund Wörscht und wie {sieht fast aus wie 'wir'} mängs Brot müend er ha ?
WS31	I verschtohn ech ned, er müend echli lütter rede.
WS32	Händ er kes Stückli {könnte Trema durchgestrichen sein?} wiessi Seipfe für mi uf mim Tisch gfunde ?
WS33	Sin Brüeder will in euem Garte zwai schöni, neui Hüüser boue.
WS34	Er hets ufrichtig g' meint.  
WS35	S'escht rächt gsi vonene.
WS36	Was sind das für Vögeli uf dem Müürli ōbe ?
WS37	D' Buure händ föif Stiere und nüün Chüe und zwölf Schöfli vor s' Dorf use 'brocht gha, die händ si welle verchaufe.
WS38	All Lütt sind hüt ufs Feld use go mäje.
WS39	Gang nume, de bruun Hund macht der nüt.
WS40	I bi mit de Lütte do hinde d' Matt dur g'fahre, go Frocht hole.
