Column1;Column2
---;
Bogennummer: '46645';
Ort: Hoxtrup;
Gid: 111314;
Transliterationsprojekt: ;
Erstelldatum: ;
Änderungsdatum: ;
Satzversion: 1;
Transliterent: Kristian Ringgaard;
WS1;Um Winjter flöj die törr Bláár i jim̅le á Luft.
WS2;De höljer gliik aab á schniié dá wer á Wehŕ behr.
WS3;Hlai Koll i Kafflum, dirre á Mjilk fanger an á kaager.
WS4;Denj gué gam̅el Mannj her brat á jim̅el á Jis mé siit Yrg á foljen á de kolj Wanj.
WS5;Hanj her dü'r far väije antjer seis Uker.
WS6;Á Yilj war ate warm, á Káácher eh üünjer ganz snurt brenjt.
WS7;Hanj edder á Ych ultin uten Solt á uten Pibber.
WS8;Á Fetter gür fürchterle wiehe, er trué er her em i jim̅e laabe.
WS9;Er her wett we Kuhn á her saun er hihn á hun sau, hun will au säjer á Datter.
WS10;Er will au ick gü're bett.
WS11;Er schleer dé gliik mé Káágschié um' er Ührner, du Ááb.
WS12;Wou gehr du hen, schul wi au goar mé dé.
WS13;De er an ring Tie.
WS14;Miit liuw Bárrn, bliuw her nene stahn, di gall Jis bit dé ijill.
WS15;Du her lehrt á mirst i Dáu, á her wett gué, du matt goar föör jim, sum di anjer.
WS16;Du est i nonj ick stur nak, ti a drick an Buddel Wien ut, du mutt föst wichs an Ehn, á wu störr.
WS17;Goar á säi din Süster, hun schul sö̀ij á Kleer far Möm kláár á gürem me Bürst rihrn.
WS18;Harr Du á kejnt ham, da harrer á kom̅en anjerlicher, da harrer á stanjn beer um ham.
WS19;Wenn her schaln min Korre mé Máár?
WS20;Hanj gürt sa dantj, sum wenn di há bestellt ham te terschen, di há schille gürter.
WS21;Wenn har hanj vertahlt de nö̀ij Stück.
WS22;An mutt schrik hö̀it, eijes versteher hanj wos ick.
WS23;Wi eh treert á há Türst.
WS24;Sum wi kamm jim i goar Yavds dá lue di anjer oljt i Seegn á sau fast.
WS25;Á Schnié her bliwn i Nett liggen, am i Moren eren schmolten.
WS26;J barg waart Huus stehr tröij Eäbelboamke mé rüé Eäbelke.
WS27;Kun ihm ick tüw á Öiblick, dá goar wi mé ihrem.
WS28;Sadan Bürensghai ma ihm ick bedriu.
WS29;Wo Bjirre ehr ick hö̀i, ihrems ehr mü hö̀ier.
WS30;Wu manneng Punnj Püls, á wu manneng Punnj Brüe will ihm há.
WS31;Er versteher ihrem ick, ihm mutt snack á litt höijer.
WS32;Há ihm hitt att Stückschen witt Sieb for mé oar miit Bur.
WS33;Sin Bru'r will bö'g sé tau nöij Huus i ihrem Goar.
WS34;Di Uhr kam ham fra Yard.
WS35;De war rehrt áu dé.
WS36;Wá sidder dehr far Vauelker uhne oar Murken.
WS37;Á Buré führt far á Bö'i feem Stut á näi Küh'r á tahle Vorche, demm will di sähl.
WS38;Á Valk er i Dau uuten oar Mark á hogg.
WS39;Goar kunj, denj bruun Huunj gör dé iintj.
WS40;Er her driwn me Vaalk deer i báág üw' ar á Eeng áre Kuhrn.
