---
Bogennummer: '42200'
Ort: Nocher
Gid: 143235
Transliterationsprojekt: REDE
Transliterent: Lisa Dücker
Erstelldatum: 2025-07-01 08:00:01.484319
Änderungsdatum: 2025-07-01 09:09:52.179040
Satzversion: 4
...
WS1	am vanter fléen de drechen blaeder an der Lucht rondéremm.
WS3	dunk kuolen an den uofen datt melig bal ofaenkt se kaechen.
WS4	de guden alen mãn as mamm perd durch d' ès gebrach an annt kalt vaser gefall.
WS5	hen as fir veér oder sechs vochen gestuorven.
WS7	hen est d' aer emmer onné selz an paefer.
WS9	ech sèn bei der frã geviescht an hun et hier gesot, an se set, si velt et och hirrer d'uochter sohen.
WS11	ech schloén dech geschvenn mam kaechleffel iver d'oren, du ãf.
WS15	du huos hokt am maeschten geleért an du bass artig geviêscht, du duarfst eschter haem gohen ass ve de aner. 
WS17	gee, sef eso gutt an soo denger sester, si soll de klaeder fir err mamm fierdig maan an matt dr bischt raenglich maan.
WS19	vaen hõt mir mee kůerf matt flaesch gestuolen?
WS20	hen daet eso, ass haͤtten si hen zum dreschen bestalt <bestault>; si hoon et <haben es> iével selver gedon.
WS24	ve mir gester ovend errem seen kõm, do loogen de aner schonn am bett, an si varen huart entschlof.
WS26	hanner eisem hauss stinn drei schener aepelbaem matt roden aepel.
WS32	hoot ir aengt steck vees saef fir mech ob mengen desch fond?
WS33	seen bruder velt sech zvae schenner neier heiser an eerem gord bauen.
WS34	dat vurt kõm hemm vom haerz.
WS36	vat setzen do fir fillerchen uofen ob drr meierchen?
WS37	de baueren hãten fenf uosen an ning kee an zvielf schaefchen firon <dierf> duorf bruocht, de volten sie verkafen.
WS38	de lett sen hott all dobuosen om feld an si mehen.
WS40	ech seen matt de lett do hannen iver de vies an kuérn gefuoren.
