---
Bogennummer: '33062'
Ort: Vinningen
Gid: 98451
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Rolf Kanert
Anmerkungen: e und n sind besonders in wortfinaler Stellung kaum zu unterscheiden.
Erstelldatum: 2025-03-19 14:14:46.382748
Änderungsdatum: 2025-03-19 14:14:46.382748
Satzversion: 1
...
WS1	Im Windẽr flihe die druggene Blerrer <(Gaumen)> {über dem -er eingefügt} in dr Luft årum.
WS2	"Es herrt gleich uff sẽ schnaue, dann wärds Werrer wirrer besser. {über -rr- von ""Werrer"" und ""wirrer"" jeweils notiert:} <(Z. Spitze)> <(Z. Sp.)> {über den -r von ""Werrer"", ""wirrer"", ""besser"" notiert:) <(Gaumen)>"
WS3	Duh Kohle in dä Ohwe, daß d[ä] Millich ball se koche anfangt {über beiden a jeweils notiert:} <(ao)>.
WS4	Der guht alt Mann isch mit dem Pährd durchs Eis gebroch unnn isch ins kalt Wasser gefall.
WS5	Er isch vorr vier orer {über -r-} <Z. Sp.> {über -r} <(G.)> sechs Wuche gestorb.
WS6	Das Feier war se stark die Kuhche sinn joh uhne ganz schwarz gebrennt.
WS7	Er eßt die Aier immr {sic!} uhne Salz unn Peffer.
WS8	Die Fihs dumm'r weh, ich glahb, ich hannse dorchgelaff.
WS9	Ich bin bäi dr Fraa gewäh unn hann sr gesaht, unn sie saht, sie wills a ihrer Dochder sah[n]
WS10	Ich wills a nimmi duh[e].
WS11	Ich schlah dr gleich merrem Kochleffel um de Ohre, du Aff!
WS12	Wo gehschde hi[e], solle mr mitr geh?
WS13	Es sinn schlächte Zeide.
WS14	Mei lieb Kind, bleib doh hunne stehe, die bese Gäns beiße dich doht.
WS15	Du hascht heit dr mähnscht gelehrt unn bischd brav gewäh, du derfscht früher häm gehn, als die annere.
WS16	Du bischt noch nitt grohs genungk, forr ä Flasch Wein aussedrinke, du muscht ärscht noch äbbes wachse unn greßer {über -r notiert} <(Gaum)> wärre.
WS17	Ge sei so gut unn sahs seiner Schweschter, sie soll die Klärer {über -r- bzw. -r notiert} <Sp.> <G.> forr eier Mutter ferdig nähe un metr Bärscht sauwer mache.
WS18	Hätschdene gekännt, dann wärs annerscht kumm, unn s dätt besser merrem steh[e]
WS19	Wer hatt mr mei Korb mit dem Fläsch geschtohl.
WS20	Er hatt so geduhn, als häresen {über -r- notiert} <(Sp)> zumm Dresche beschtellt, sie wahr[e]s awer {über -r notiert} <(Sp)> selwer.
