---
Bogennummer: '21337'
Ort: Bad Salzuflen
Gid: 104061
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Arne Milas
Erstelldatum: 2022-06-19 21:52:15.878427
Änderungsdatum: 2022-06-28 14:30:19.666611
...
WS1	Jn’n Winder fleuget dä druigen Bläer duir dä Luft herümme.
WS2	Et heuert gluik up töe ßniggen, dann wärd dat Wärder wir'er bärder.
WS3	Döee Köerle in den Oben, dat dä Melke baule an töe koaken fänget.
WS4	Dä göeä aule Mann es met den Päre duert Uis broaken un in dat kaule Water fallen
WS5	Heu es vör veuer ödder ſeß Wiäeken ſturben.
WS6	Dat Fuier <Fui|ēr> {Trennstrich?, Makron über dem e?} was töe heuet, dä Köeken ſind joa unner gans <ganz>{wohl z durch ein rundes s überschrieben}  ßwart brennt.
WS7	Heu ätt dä Ägger jümmer öu'ne Solt un Pië̀rper.
WS8	Dä Foide döeet mui ſöe weu, eck läuwe, eck häwwe ſ’duirlaupen
WS9	Eck ſin bui där Frubben weſen un häwwe et i’er ſäggt, un ſeu ſäe, ſeu wolle et auk ierer Dochter ſäggen.
WS10	Eck will et auk nich mär wier döuen.
WS11	Eck ßloe <ſchloe> {ſch mit ß überschrieben} dui gluik met den Koakleppel ümme dä Oern, diu Ape!
WS12	Woe geuſt diu hen, ſöwwe met dui goen?
WS13	Et ſind ßlachte Tuin!
WS14	Muin leöv Kind, bluif huir unner ſtoen, dä bäuſen Gäuſe buidet dui daud.
WS15	Diu häſt heute <(vandage)> an’n meiſten läert un biſt orrig weſen, diu draffſt froerr na Hiuſe goen as dä Annern
WS16	Diu biſt nau nich graut genöeg, umme eu’ne Flaßke Wuin üittöedrinken, dui moßt eurſt nau eun Enne waſſen un grötter wäern.
WS17	Gonk, ſui ſöe geot un ſäg duiner Süßter, ſeu ſoll dä Kleier föer juwwe Moddern färrig näggen un met dä Böſſen räggen maken.
WS18	Heſt diu änne doch kinnt! dann woäre et anners kuamen <un et däue bärder>{Im Bogen al  Einschub am Ende der Zeile} ümme änne ſtoen <ſto[?]n> {nicht lesbar, mehrfach überschrieben, darüber e als Korrektur}
WS19	Wärr hädd mui muinen Korf met Fleusk ſtoalen?
WS20	Heu doed ſöe, oß hedden ſeu änne töen Dasken beſtellt; ſeu hadden et öwwer ſüimſt doen
WS21	Wänne hädd heu dä nigge Geſchichte vertellt?
WS22	Man mot helle ſchriggen, ſüss verſtäu't heu us nich.
WS23	Wui ſind moe’e un hädd Doßt
WS24	Oſſe wui giſtern Oahmd trügge käumen, dor leugen dä Annern oll in’n Bedde un wörren faſte an’n ſchlopen
WS25	Dä ßneu <Sneu> {wohl S durch ß überschrieben} es düſſe Nacht bui us liggen blieben, öwwer vor Mor’n es heu ßmolten.
WS26	Achter üiſen Hüiſe ſtoet dreu ſchöine Appelbäumken met rauen Appelken
WS27	Könn jui nich nau eunen Augenbliksken up us toepen, dann goa wui met juw.
WS28	Jui dröwwet nich ſökke Kinnerrige druiben.
WS29	’iuſe Berge ſind ſöe haug’, juwwe ſind vieäl höchter.
WS30	Wowvieläl Pund Woßt un vowvieäl Braud wigg jui häbben?
WS31	Eck verſtoe juww nich, jui möett eun bieëden heller kuirren.
WS32	Hägge keun Stüicksken widde Seupen föer mui up muinen Diske funnen?
WS33	Suin Bröär will ſick tweu ſchöne nigge Huiſer in juwwen Gorn bubben.
WS34	Dat Weord kamm änne van Härten
WS35	Dat was recht van juww.
WS36	Wat ſit[’]tet {Apostroph sehr blass, sieht so aus als wäre es durchgestrichen} doa föer Vürgelken boben up dä Muerken?
WS37	Dä Biüer’n <Biüeren> {e durchgestrichen, Apostroph wohl Korrektur} hadden fuif Oſſen un nieägen Kögge un twölf Schöpken vöer dat Dorp broecht, deu wollen ſeu verkaupen.
WS38	Dä Luie ſind vandage olle buiten uppen Feile un mägget.
WS39	Gonk man, dä brüine Hund doed dui niks.
WS40	Eck ſin met den Luien doar achter öwwer dä Wiäſe innet Koarn foert
