---
Bogennummer: '45764'
Ort: Oberfrittenbach
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:54.948259'
...
WS2	Es hört gli uf schneie, de wird de ds Wätter ume besser.
WS3	Tue Chole i Ofe, dass d' Miuch bau afat choche.
WS4	Dr guet aut Ma ischt mit dm Ross im Isch i-proche u-n-i ds chaut Wasser gfaue.
WS5	Er (eigentlich 'r) ischt vor vier oder sächs Wuche gschtorbe ['ch' ist nachträglich zwischen 's' und 't' oben eingefügt].
WS6	Ds Füür isch z' schtarch ['ch' ist nachträglich zwischen 's' und 't' oben eingefügt] gsi, di Chueche si ja ungeruf ganz schwarz.
WS7	Er isst d' Eier gäng ohni Sauz u Pfäffer.
WS8	D' Füess tüe mr hert weh, i glube (u = offen) i hig se düre glüffe.
WS9	I bi bi dr Frou gsi u ha 'res gsit (i offen, lang) u si het gsit, si wett's o dr Tächter säge.
WS10	I wott's o nemme mache !
WS11	I houe dr grad mit dm Chochlöffu um d' Ohre, du Aff !
WS12	Wo giischt du hi, söue mr mit dr cho ?
WS13	Es si schlächti Zite !
WS14	Mis liebe Ching, bliib hie unger stah, di böse Gäns biisse di tod !
WS15	Du hescht hüt am mischte (i offen) glehrt u bischt artig gsi, du darfscht früecher hi aus di angere.
WS16	Du bischt no nid gross gnue, um ne Fläsche Wi us z' treiche, du muescht zerscht no chli wachse-n-u gröser (wärde.)
WS17	Gang, bis so guet u säg dir Schweschter ['ch' ist nachträglich zwischen 's' und 't' oben eingefügt], si sött d' Chliider für euji Mueter fertig näje u mit dr Bürschte putze. 
WS18	Hättischt ['ch' ist nachträglich zwischen 's' und 't' oben eingefügt] du ne [oben eingefügt:] nume  kennt ! de wär es angersch cho un es schtieng ['ch' ist nachträglich zwischen 's' und 't' oben eingefügt] besser um in.
WS19	Wär het mr mi Chorb mit Fleisch g' schtohle ['ch' ist nachträglich zwischen 's' und 't' oben eingefügt] ?
WS20	Er het e so ta, wi si ne hätti zum Trösche bschtöut ['ch' ist nachträglich zwischen 's' und 't' oben eingefügt]; si hii 's aber sä-uber gmacht.
WS21	Wäm het er die neui Gschicht erzöut ?
WS22	Me mues lut brüale, süscht verschtiit ['ch' ist nachträglich zwischen 's' und 't' oben eingefügt] er üs nid.
WS23	Mir si müed u hi Turscht.
WS24	Wo mr geschter z' Abe si zrugg cho, si di angere scho im Bett gläge u si fescht am Schlafe gsi.
WS25	Die Nacht ischt dr Schnee bi üs lige blibe, aber hüt am Morge ischt er vergange [darüber steht:] (g'schmouze.).
WS26	Hinger üsem Hus schtah ['ch' ist nachträglich zwischen 's' und 't' oben eingefügt] drü schöni Öpfuböimli mit rote Öpfeli.
WS27	Chönnet dr nid no-n-es ugeblickli [oben eingefügt:] uf is  warte, de chöme mr de mit ech.
