---
Bogennummer: '45016'
Ort: Aarburg
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:50.128273'
...
WS8	"pf'Pfüeß tüemmer [Verdoppelungsstrich auf ""m""] fescht wē; i glouben [?] i ha si dóreglòufe."
WS9	"J bé bé dèr Fròu gsi ònd han èr ès gsèit, ónd si h̀t gsèit, si wöu's érer Tochter òu säge. [""^"" gehört auf das ""ä""]"
WS10	J wö́u's òu néd wéder tue.
WS11	J schlô d̀r grād dèr Chöue óm d'Ōre, du Aff!
WS12	Wo gôscht hē? Söle mèr mét-dèr chō ?
WS13	Es sénd schlä̀chti Zīte!
WS14	Lòs, liebs Chénd, blīb dò ónde stô; dì bȫse Gä̀ns bīße dì [Akzent?] sö́nsch z'tōd.
WS15	Dù hèsch hö́t am meischte glērt ónd bésch órdlig gsī; du dörfst früecher hei gō às [Akzent?] di andere.
WS16	"Du bésch nòni grōß gnue för nè Fläsche Wī usztrenke; du muesch zérscht nò chli wachsen-ónd grȫßer wärde [""ä"" mit ""^""]."
WS17	"Gang béß [?] so guet ónd sä̀g dìner Schwö̀schter, sì söu g'Chleider fö́r öii Mueter fèrtig näie [""ä"" mit ""^""] ónd mét dèr Bȫrschte bótze."
WS18	"Wènd nè kènnt [Verdoppelungsstrich] hättisch, denn [Verd...] wär's [""ä"" mit ""^""] andersch chō ònd ès stiend bèsser óm in."
WS19	Wǟr hè m'mèr mi Chōrb mét èm Fleisch gstòle ?
WS20	"Èr hèt dèrgliche [senkrechter Akzent auf ""i""] tô, as òb si nè zóm Trösche bstö̀ut hä̀tte; sì hènd's àber säuber gmacht."
WS21	Wèm hèt àr [èr ?] di nö́i Gschécht vèrzöut ?
WS22	Mé mues lūt brüele, sö́sch vèrstôt èr is nēd.
WS23	Mér sénd müed ónd hènd Tōrscht.
