---
Bogennummer: '44961'
Ort: Suhr
Gid: 15869
Transliterent: fellmann
Anmerkungen: '{Dieser Bogen ist mit Schreibmaschine ausgefüllt, Akzente und Ergänzungen
  handschriftlich ergänzt.}

  {Der Lehrer verwendet oft einen kleinen Kreis um ''e''. Diese Darstellung kam bereits
  in den Bögen 45059 Waldhäusern AG und 45422 Oberwil-Lieli AG vor. Frau Prof. Glaser
  hat mir empfohlen, dafür das Sonderzeichen ''ə'' zu verwenden.}'
Erstelldatum: 2022-01-24 19:10:57.813294
Änderungsdarum: 2022-01-24 19:10:57.813294
...
WS1	ìm wìnter flüüge die tròchne bletter i dər {'e' ist mit einem kleinen Kreis versehen} lùft ùme.  
WS2	es hört grad uuf schneie, denn wird 's wä̈tter {'sw' werden durch ein manuelles Strichlein getrennt; über 'ä' steht ein Trema} wìder besser.
WS3	tue chòle-n-i òfe, ass d' milch afòòt choche.
WS4	də guet maa ìsch mìt em ross ùf em ii iibròche ùnd i das chalt wasser gfalle <(ie gheit)>.
WS5	ər ìscht vòr vier òder sächs woche gstoorbe.
WS6	'sfüür ìscht z' starch gsii, di chueche sind jò unde ganz verbrönnt.
WS7	ər ìsst d' eͣ̈ier ìmmer òni salz und pfäffer.
WS8	d' füess tüe-m-mər èländ weh <(so chäibe weh)>, i glaube, i heig si door gmacht.
WS9	i bì bi dər frau gsii und ha-n-ər es gsäit, do het si gsäit, si wells au ihrem mäitli säge.
WS10	i wìlls gwǜss nǜmme mache.
WS11	i hau dər eis mit em löffel a d' oore, du aff !
WS12	wo gòòst hìì ? sölle mer ä choo ?
WS13	d' zììte sind schlächt.
WS14	"{der ursprüngliche Satzanfang ""liebs chind"" ist mit ""==="" durchgestrichen} bliib do unde, liebs chìnd, sust biise di d' gäns."
WS15	"du hescht<hest> {zunächst ""hest"", dann manuell ""ch"" oben zwischen 's' und 't' eingefügt} am meischte<meiste> {""meiste"" ist durchgestrichen und ""meischte"" manuell darüber gesetzt} gleert und bìscht<bìst> {'st' ist durchgestrichen und 'scht' darüber geschrieben} brav gsii, ietz darfscht au eender hei,"
WS16	du bìst no z' chlii für ne fläsche wii us z' trinke, wart, bis d' alt gnueg bìscht.
WS17	bìs so guet und gang säg diiner<diner> {2.'i' ist oben manuell eingefügt} schwöschter<schwöster> {'st' ist durchgestrichen und manuell 'scht' darüber gesetzt}, si sell d' chleider für d' mueter fertig näihe und no bǜrschte.
WS18	hättischt ə gchennt, so gseechs anderscht uus mit‿em.
WS19	wer hett mər ietz min chorb mit əm fleisch gstòle ?
WS20	"ər hett tòò, wie wenn sə nə zum trösche agstellt hätte, si händs aber eleigge {zunächst ""eli.."", dann mit  ""ele.."" übertippt} gmacht."
WS21	wemm hett ər 's neuscht verzellt ?
WS22	"me muess brüele mit əm, soscht verstòòt {""soscht"" und ""verstòòt"" mit einem senkrechten Strich getrennt}  ər eim need."
WS23	mər sìnd müed und händ dùùrscht.
WS24	wo mər gester z' oobe häi<hei> {das zunächst getippte 'e' manuell mit 'ä' überschrieben} choo sìnd, händ di andere scho lang gschlòòfe.
WS25	Dur d' nacht ischt de schnee b'blìbe, aber hüt-e-morge ischt ər vergange.
WS26	hinder öisem huus schtöhnd drü schöni öpfelbäumli mit rote-n-öpfeli dra.
WS27	chöne-d-ər nid no e chli warte, mər chöme denn au.
WS28	ìr dörfe doch nìd dere chìndersache triibe !
WS29	eui bärge sind vìll höcher wèder öisi.
WS30	wi vìll wùrscht und brot wänder ?
WS31	i verschtoo-n-ech <verstoo-n-ech> {'st' ist durchgestrichen und manuell 'scht' darübergesetzt} need, ir müend e chli lüüter rede.
WS32	"händ ər uf miim tìsch nìd es stückli wiissi seipfe {""wiissi"" und ""seipfe"" ist durch senkrechten Strich getrennt} gsee ? {dahinter mit Bleisift ergänzt: ""(säipfe ?)""}"
WS33	sin brüeder wott zwöi schöni nöii<(neui)> hüüser i öiem<(euem)> garte boue.
WS34	əs ìsch əm vo härze choo<(us em härze choo.7> {offenbar ein Tippfehler '7' anstatt ')'}
WS35	si händ rächt ghaa.
WS36	was hocke dòò für vögeli uff dem müürli obe ?
WS37	d' buure händ feuf stiere, nün chüe und zwölf schö̀ö̀fli<schöfli>  is dorf b' bròòcht. Si wänd e-ne luege abzchoo.<(Sie wänd si luege z' verquante)>
WS38	all lüüt sind hüt uf em fäld usse und määie
WS39	gang nume, de bruun hùnd tuet dər nüüt.
WS40	ì bì mit dene lüüte do hinde über d' matte i chornacher gfaare.
