---
Bogennummer: '45870'
Ort: Au (Steffisburg)
Gid: 546241
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: '{Der Lehrer schreibt manchmal ein kleines ''e'' über enem ''i''. Dann
  steht jeweils das ''e'' nicht senkrecht über ''i'', sondern leicht links davon.
  Hingegen notiert er in Satz 8 eindeutig ''gloͧbe'' mit ''u'' genau über ''o''. Deshalb
  wird in der Transkription hier jeweils das ''e'' über ''i'' gesetzt, da dasTool
  diese Möglichkeit bietet.} '
Erstelldatum: 2022-10-23 17:31:46.905565
Änderungsdatum: 2022-10-24 12:05:47.271077
...
WS1	Im Winter flüge die trochene Bletter i dr Luft desume.
WS2	Es hört gli uf z'schneie, de wird dsWätter wider besser.
WS3	Tue Chole-n-i Ofe, dass d' Miͤuch {vgl. Bemerkung im Kommentar zum kompletten Bogen zur Position des kleinen hochgestellten 'e'} afaht choche.
WS4	Dr guet aut Ma isch mit dm Ross i ds Iisch broche und i ds chaute Wasser gheit.
WS5	Är isch vor vier oder sächs Wuche gschtorbe.
WS6	Ds Füür isch z ' schtarch gsy, d' Chueche si ungeruuf ganz schwarz gsy.
WS7	Är isst d ' Eier geng ohni Sauz u Pfäffer.
WS8	D' Füess tüe mer hert weh, i gloͧbe {beim Wortanfang ist etwas kleines korrigiert}, i hiͤg se dürgloffe.
WS9	I biͤ biͤ dr Frou gsy u ha-n-e-res gseit, u siͤ het gseit, si wöus de o irer Tochter säge.
WS10	I wiͤus jez o nümme mache. {unter 'nümme mache.' steht:} <(nie meh mache.)>
WS11	I houe dr gly mit em Löffu um d 'Ohre, du Aff !
WS12	Wo geisch hiͤ, söue mr mi[t] dr cho ?
WS13	Äs si schlächti Zitte.
WS14	Mis liebs Ching, blib da unger stah, di böse Gäns bysse di z' tod.
WS15	[Du] {Nummernstempel auf der Rückseite drückt durch} hesch hütt am meischte glert u bisch lieb gsy, du darfsch früecher hei ga aus die angere. 
WS16	Du bisch no nid gross gnue, für ne Fläsche Wy usz'treiche, du muesch no zersch e chli wachse u grösser wärde.
WS17	Biss so guet u gang säg dir Schweschter, si söu Muetters Chleider fertig näie u. bürschte.
WS18	We-d ' ne kennt hättisch, so wä 's angers cho, u es schtieng {zunächst 'st', dann 't' mit 'c' überschrieben und zu 'schtieng' ergänzt} besser um ihn.
WS19	Wär het mer mi Chorb mit Fleisch g'schtole ?
WS20	Är het derglyche ta, sie hiege-n-e zum Tröschsche bschteu̱t, siͤ hiͤs aber säuber gmacht gha.
WS21	Wäm het er die neui Gschicht erzeu̱t ?
WS22	Mi mues lut brüele, süsch verschteit er eim nid.
WS23	Mir sy müed u hiͤ {zunächst 'hie', dann 'e' durchgestrichen und das kleine hochgestellte 'e' eingefügt} Turscht.
WS24	Wo mer geschter am Abe sy zrügg cho, sy di angere scho im Bett gsy u hi ͤ fescht {hier steht das kleine hochgestellte 'e' im Zwischenraum zwischen 'hi' und 'fescht'} gschlafe.
WS25	Dr Schnee isch diͤ Nacht bliͤbe, aber hüt dä Morge isch är vergange.
WS26	Hiͤnger üsem Hus sy drü schöni Öpfubüͤmli {der Lehrer hat das kleine hochgestellte 'e' rechts von den ü-Strichen geschrieben} mit rote Öpfeli.
WS27	Chüͤt {der Lehrer hat aus Platzgründen das kleine hochgestellte 'e' rechts von den ü-Strichen geschrieben} dr nid no es Ougeblickli uf is warte, de chöme mr mit-nech.
WS28	Dir törfet nid settigi Chindereie <(tumms Züüg)> trybe.
WS29	Üser Bärge sy nid grad höch, euer sy viͤu höcher.
WS30	Wi mengs Pfund Wurscht u wi vieu Brot wiͤ'dr ?
WS31	I verschta-n-ech nid, dir müesst e chly lütter rede.
WS32	Hiͤ-dr kes Bitzli wyssi Siͤffe für miͤ uf mim Tisch gfunge ?
WS33	Si Brueder wott sech zwü schöni neui Hüder i euem Garte boue.
WS34	Das Wort isch im vo Härze cho !
WS35	Das isch rächt gsy vo-n-ne.
WS36	Was hocke da für Vögeli uf em Mürli obe ?
WS37	D ' Bure hiͤ füf Ochse u nün Chüeh u zwöuf Schäfli vor ds'Dorf bracht, für se z ' verchoufe. <(oder: z 'verchuuffe)>
WS38	D ' Lüt sy hütt aui uf em Fäud usse u mäie.
WS39	Gang nume, dr brun Hund macht dr nüt.
WS40	I bi mit de Lüt da hinger über d ' Matte i ds'Chorn gfahre.
