---
Bogennummer: '45727'
Ort: Hinterkappelen
Gid: 16370
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: '{Der Lehrer schreibt manchmal einen links oben beginnenden Kringel über
  ''u''; diese ''u'' werden oben so transkribiert ''ů''.}'
Erstelldatum: 2023-03-23 09:32:44.079018
Änderungsdatum: 2023-03-23 18:13:15.241667
Satzversion: 1
...
WS1	Jm Winter flüge di trochene Bletter i der Luft ůme.
WS2	Es hört grad uf schneie, de wird d's Wätter wieder besser.
WS3	Tůe Chole i Ofe, dass d' Milch gly afat choche.
WS4	Dä guet aut {zunächst 'ault', dann 'l' durchgestrichen} Ma isch mit em Ross i d's Isch ibroche ů ids chaut Wasser gheit.
WS5	Er isch vor vier oder sechs Wuche gstorbe.
WS6	Z' Füür isch z' starch gsy, die Chueche si ja unger dran ganz verbrönnt.
WS7	Er isst d' Eier geng ohni Salz ů Pfeffer
WS8	D' Füess tüe mer weh, i gloube i sig dürglüffe.
WS9	I bi bider Frou gsi ů ha-res gseit, ů si het gseit si wöůs o ihrer Tochter säge.
WS10	I wiůs {zunächst 'wiůls', dann 'l' durchgestrichen} o nüme mache.
WS11	I houe dr mit em Chochlöffu zum Gring, du Aff !!!? {offenbar ist dem Lehrer das Wort 'Aff' unpassend erschienen}
WS12	Wo wosch hi, söůe {'e' scheint nachträglich angehängt zu sein} mer mit der cho ?
WS13	Das si schlächti Zyte !
WS14	Blib da unger stah, liebs Ching, d' Gäns  bi[s]se {zunächst vielleicht 'bisse', dann 1.'s' dick durchgestrichen und zuletzt '?' über die korrigierte Stelle gesetzt}  di süsch no z' tod.
WS15	Du hesch hüt am meischte glert u lieb gsi {hier fehlt 'bisch'} , du chaisch {zunächst 'chasch', dann 'i' zwischen 'a' und 's' eingefügt}  ender hi aus die angere.
WS16	Du bisch no nid gross gnůe für ne Fläsche Wy uustzreiche {war da wohl 'uusztreiche' gemeint?} , du muesch  zers[c]h <(zerst)>  {auf dem Blatt steht 'zersch(st)', } no chly wachse u grösser wärde. 
WS17	Bis so guet ů gang säg dir Schwester si söu d' Chleider für euii Mueter fertig näje [u sůb]er {Nummernstempel auf der Rückseite drückt durch} bürschte {zunächst 'bürst', dann aus angefangenem 't' ein 'c' gemacht und zu 'bürschste' fertig geschrieben, dann 2.'s' durchgestrichen} .
WS18	{Im Anschluss an den zunächst falsch platzierten Satz 19 notiert. Dazu '18.' manuell eingefügt}   We du ne kennt hätsch wäs angersch cho und es stièng besser um in.
WS19	{Bei '18.' begonnen, aber zunächst '8' durchgestrichen und '9' ergänzt}  Wär het mer my Chorb Fleisc[h  gschto]le ? {Nummernstempel auf der Rückseite drückt durch}
WS20	Er het tah wie sy ne zum Trösche bschteůt hätti, aber sy heis säůber gmacht.
WS21	Wäm het er die nöii Gschicht erzeůt.
WS22	Mi mues brüele, süsch versteit er eim nid.
WS23	Mir sy müed ů hei Turscht.
WS24	Geschter am Abe womer sy ůme cho sy di angere scho im Bett gsy u hei fescht {zunächst 'fest' angefangen, dann 't' mit 'c' überschrieben und zu 'fescht' fertig geschieben} gschlafe.
WS25	Di Nacht isch der Schnee by üs blibe, aber de Morge isch ůme ab.
WS26	Hinger üsem Hus stah drü Öpfuböimli, mit rote Öpfeli.
WS27	Chöit er nid no é chly ůf is warte {zunächst 'é chly warte', dann oben 'ůf is' zwischen 'chly' und 'warte' eingefügt} , de chöme mer mit ech.
WS28	Dir dörft nid settig Chindereie mache.
WS29	Üser Bärge sy nid höch, euer sy viů {zunächst 'viůl', dann 'l' durchgestrichen} höcher.
WS30	Wi mängs Pfung Wurscht {zunächst 'Wuscht', dann 'r' oben zwischen 'u' und 's' eingefügt} ů wi viů Brot weit er ?
WS31	I verstanech nid, dir müesst e chly lüter rede.
WS32	Heit dir nid für mi es Stückli wyssi Seife uf mym Tisch gfunge.
WS33	Sy Brueder wot zwü schöni, nöii Hüser i {zunächst 'in' begonnen, dann angefangenes 'n' durchgestrichen} euem Garte boue.
WS34	Das Wort  {zunächst wohl 'Wart', dann 'a' mit 'o' überschrieben}  isch im vo Härze cho.
WS35	Das isch rächt gsy vo euch.
WS36	Was sy da für Vögeli ůf däm Mürli ?
WS37	D' [B]ůre {ein seltsames 'B'}  hei feuf O[c]hse  {zunächst wohl 'Chüe' und daraus durch Überschreiben 'Ochse' gemacht}  ů nün Chüe ů zwöůf Schäfli vor z' Dorf {vielleicht zunächst 'zdorf', dann nach 'z' Apostroph gesetzt und aus dem senkrechten Strich von 'd' neu 'D' gemacht} brůnge, si hei se wöue verchoufe.
WS38	D' Lüt sy hüt aůi uf em Fäůd u mäje.
WS39	Gang nůme, dr {zunächst 'der', dann 'er' mit 'r' überschrieben} brůn Hung macht der nüt.
WS40	J by mit dene Lüt da hinger über Matte i ds Chorn gfahre.
