---
Bogennummer: '44724'
Ort: Buus
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:51.305563'
...
WS1	Im Winter fliege die dürre Bletter in der Luft umme.
WS2	"Es loht glih noh schneie (Es hõrt [oder ""hört""?] glih ŭf z'schneie), derno wird s'Wetter wieder besser. "
WS3	Tue Chohle in Ofe, ass d'Milch bold afeht z'choche (afeht choche).
WS4	De guet alt Ma isch mit im Ross durs Iis broche und in das (ins) cholt Wasser gfalle.
WS5	"Er isch vor vier oder sãchs [oder ""sächs""?] Wuche gschtorbe."
WS6	's Füür isch z'schtark gsi; d'Chueche si jo undever ganz verbrennt.
WS7	Er isst d'Eier allewil ohni Solz und Pfäffer.
WS8	"D'Füess tüje m'r grũsli [oder ""grüsli""?] weh; i glaube, i heig se durloffe."
WS9	I bi bi dr Frau gsi und ha-n-er es gsait, und si het gsait, si wöll's au ihrer Tochter säge.
WS10	I will's au nümm wieder tue !
WS11	"I schlo dr glii mit im Chochlõffel [oder ""Chochlöffel""?] um d'Ohre, du Aff."
WS12	Wo gohsch du ane (hi), selle m'r mit d'r goh ?
WS13	Es si schlechti Zite.
WS14	Mis liebs Chind, blib do unde schtoh; die böse Gäns bisse di z'tod.
WS15	"Du hesch hũt [oder ""hüt""?] am mehrste glehrt und bisch brav gsi; du darfsch frũjer [oder ""früjer""?] hei go ass die andere."
WS16	"Du bisch no nid gross gnueg, für e Flãsche [oder ""Fläsche""?] Wi usztrinke, de (du) muesch zerst no e chli wachse u. grõsser [oder ""grösser""?] werde."
WS17	"Gang, bisch so gut und sãg [oder ""säg""?] diner Schwester, sie sell d'Chleider für eui Mueter fertig naihe und mit dr Bũrste [oder ""Bürste""?] sufer mache."
WS18	"Hätsch du ihn kennt, derno weͤr's [über ""er"" steht ein kleines ' ͤ '?] anderscht cho und es teet besser mit ihm stoh."
WS19	Wer het m'r (mir) mi Chorb mit Fleisch gestohle ? (Chorb, wo Fleisch drin gsi isch)
