---
Bogennummer: '45323'
Ort: Rüdtligen-Alchenflüh
Gid: 20492
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2023-02-05 18:32:37.978755
Änderungsdatum: 2023-03-18 14:33:29.134755
Satzversion: 1
...
WS1	Em Wenter flüge die dööre Bletter i der Loft ume.
WS2	Es hört <(bau̱)> gly uf schneie; de wird's Wätter wéder besser.
WS3	Tue Chole i Ofe, dass d' Mö̱uch  ba̱u <(gly)>  chochet !
WS4	Dä guet Ma est mit sym Ross uf em Jsch ybroche und es cha̱ute Wasse gfa̱ue {über 'u' steht:} <(ll)>
WS5	Er ist vor vier oder sä̱chs Wu̱che  gstorbe.
WS6	S'Füür ist z'starch gseh; d' Kueche sy so unge ganz schwarz verbrönnt.
WS7	Är esst d'Eier gäng {'gäng' ist mit einer Wellenlinie unterstrichen} <(emmer)>  ohni Sau̱z {über 'u̱' steht:} <(l)>  und <(o)>  Wasser {sic!} .
WS8	D' Füess tü mer grüsli weh, e glo̱ube e heig se düre glöffe.
WS9	"E be ber Frau gseh und <(o)>  ha n'er {zunächst 'ha er', dann oben "" n' "" im Zwischenraum eingefügt}  es gseit, und <(o)> se het gseit, se wö̱us au ehrer Tochter säge.  "
WS10	E wö̱us au nümme meh mache.
WS11	E haue di grad mit em Chochlöffu hinger d'Ohre, du Aff.
WS12	Wo gei<(h)>st he, sö̱ue mer met-der cho ?
WS13	d' Z'yte {es scheint, dass 'd' und der Apostroph zwischen 'd' und 'Z' erst nachträglich eingefügt worden sei}  si schlächt !
WS14	Mys lie̱be Ching, bli̱b {zunächst 'bli̱eb', dann 'e' durchgestrichen} do unge stoh; die böse Gäns bysse di süst z'tod.
WS15	Do hest hüt am meiste glehrt u best artigs gseh; do <(=u)> darfst früeher hei weder di angere.
WS16	Do best nonig gross gnue für ne Fläsche Wy usztrinke; do muescht z'erst no wachse u grösser wärde.
WS17	Gang, bis so gut u säg dir Schweschter, si sött d' Kleider för euji Muetter fertig nähje u mit der Bürste {über 'ü' steht:} < =ö̱ >  bürste {über 'ü' steht:} <(=ö)>
WS18	Hätt ist du ne gkennt !  de wär's angersch cho, un es {zwischen 'un' und 'es' ist ein ganz dünnes 'e' sichtbar}   tät besser um ne stoh.
WS19	Wär het mer mi Chorb Fleisch g'stohle ?
WS20	Är het g'macht, we wenn sie ne zum Drösche b'stö̱ut hätt i ; sie hei's aber sä̱uber g'macht.
WS21	Wäm het er di neu G'schecht erzö̱ut ?
WS22	Me mues lut brüele, söscht versteiht er is ned.
WS23	Mer sy müed o <(u)>  hei Dorst.
WS24	Wo mer gester Z'obe z'rügg cho sy, sy di angere scho in {sic!} Bett gseh, fest im Schlof.
WS25	Der Schnee ist di Nacht be üs bliebe lége, aber am Morge est er g'schmo̱uze.
WS26	Hinger üsem Huus stöh drei schöni Öpfuböili {sic!} mit rote Öpfeli.
WS27	Cheut dehr ned no nes Augeblckli uf üs warte, mer chöme de mit-ech ?
WS28	Der dörfit ned söttigi Chindereie trybe.
WS29	Ueser Bärge si ned so höch, euer si ve̱u höcher.
WS30	Wie mängs Pfung Worst & wive̱u Brot weit-er <(ihr)> ?
WS31	I verstoh nech need {zunächst 'ned', dann ist das 2.'e' nachträglich oben zwischen 'e' und 'd' eingefügt} ; der müesst ; {dann nochmals  'der müesst' , aber durchgestrichen}  es Betzli lutter rede.     
WS32	Heit-er {zunächst 'Het', dann zwischen 'e' und 't' oben 'i' eingefügt} e kes Betzli wẏssi  {über 'y' steht ein i-Punkt}  Seife uf mym {zunächst wohl 'mim', dann 'i' mit 'y' überschrieben}  Teschli gfunge ?
WS33	Si Brueder wot sich zwöi schöni, neui Hüser e euem Garte lo baue {zunächst wohl 'boue', dann 'o' mit 'a' überschrieben} .
WS34	Das Wort ist ihm vo Härze cho.
WS35	Das ist rächt gseh von ihm.
WS36	Was hocke do für Vögeli obe uf em Müürli ?
WS37	D' Bure hei föif Stiere u nün Chüe u zwöuf Schöfli vor's Dorf brunge u hei se wö̱ue verchaufe {zunächst 'verchoufe', dann 'o' mit 'a' überschrieben} .
WS38	D' Lüt si hüt au̱ <(ll)>  dosse uf em Fäu̱d <(Fäld)>  u mäje.
WS39	Gang nume; dä brun Hund <(auch Hung)>  tuet-'er nüt.
WS40	E be met-de Lütte do hinge über d' Matte is Chorn g'fahre.
