---
Bogennummer: '44956'
Ort: Hunzenschwil
Gid: 19429
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2024-12-10 19:08:43.362486
Änderungsdatum: 2024-12-11 19:13:11.954751
Satzversion: 1
...
WS1	ìm wìnter flüüge di trochne bletter ì der lùft ùme.
WS2	es hȫrrt iez grad uf schnèie, dè wìrd s' wätter wìder besser.
WS3	tue chòle-n-ì òfe, dass d' mìlch bald afoòt choche.
WS4	de guet alt maa ìsch mìt em ross ìm iis ibbroche ùnd is chalt wasser abe ghèit.
WS5	er ìsch vor vier òder sächs wōche gstoorbe.
WS6	s' füür ìsch tschtarch gsii, 'kueche sìnd ùnde ganz verbrö̀nnt.
WS7	er ìsst d' äier ìmmer òni salz ùnd oni pfäffer.
WS8	d' füess tüem-mer esoo wee, i glaͣ̈ube, i hèb  blätz ab.
WS9	i bì bì der fraͣ̈u gsii ùnd han-er-es gsäit, ùnd si hèt gsäit, si wèlls ìrem mäitle aͣ̈u säge.
WS10	i wìlls aͣ̈u nǜmme mache.
WS11	iez haͣ̈u-dr de mìt-em {zunächst 'haͣ̈u-dr mìt-em', dann oben 'de' zwischen 'dr' und 'mìt' eingefügt} chelle ùm d' oore-n-ùme, du aff.
WS12	wo gòsch hìì, sèle-mr mìt-er choo.
WS13	s' sìnd schlächti ziite.
WS14	Mis lieb chìnd, bliib dò ùnde stoò, di  bööse gäns {zunächst wohl 'gänz', dann letzter Buchstabe mit 's' überschrieben} biisse di z' tood.
WS15	du hèsch hǜt am meeschte gleert ùnd bìsch brav gsii, du tarfsch eener häi as di andere.
WS16	du bìsch nònig grooss gnue fǜr e fläsche wii usztrìnke, du muesch zeersch nòchlì wachse ùnd grösser wärde.
WS17	bìs so guet ùnd gang säg diner schwö̀schter, si sèll 'kläider fǜr ö̀ii muetter fertig nääie ùnd bǜrschte
WS18	hättisch-e du 'kènnt, dè wärs andersch choo, ùnd ès tät bèsser schtòò mìt-em.
WS19	wēr hètt-mèr mi choorb mìt-em fläisch g'schtòle ?
WS20	er hèt èso toò, wie wènn-se-ne zùm trö̀sche agsteltt hätte, si händ 's aber sälber gmacht.
WS21	wèm hètt-er di nö̀i gschìcht verzellt ?
WS22	mer mues luut brüele, sȫsch verstoòt-er is nìd.
WS23	mer sìnd müed ùnd händ toorscht.
WS24	wo-mr gèschter z' oòbe zrùgg choo sìnd, sìnd di andere scho ìm bett gsii ùnd händ fèscht gschloòffe.
WS25	de schnee ìsch hìnecht bìnis lègge blìbe, aber hǜt am morge ìsch-er vergange.
WS26	hìnder ö̀isem huus stö̀nd drüü schööni ö̀pfelbö̀imle mìt roote-n-ö̀pfeli.
WS27	chö̀ned-er nìd no es {zunächst zusammen geschrieben, dann  mit senkrechtem Strich zwischen 'o' und 'e' getrennt} bìtzeli ofis warte, de chö̀me-mr mìt-ech.
WS28	dìr dö̀fe nìd dere gfätterlizüüg mache.
WS29	ö̀isi bärge sìnd nìd eso {zunächst 'sìnd eso', dann oben zwischen den Wörtern 'nìd' eingefügt} hööch, ö̀ii sìnd vìll hööcher.
WS30	wì mängs pfùnd wǜrscht ùnd wìvìll broot wänder ha ?
WS31	ì verschtoò n ech {zunächst 'verschtoònech', dann mit senkrechten Strichen zwischen 2.'ò'  und 'n' sowie zwischen 'n' und 'e' getrennt} nìd,  dr müend es bìtzeli lüüter rède.
WS32	händer kès stǜckli wiissi säife fǜr me ùf mim tìsch gfùnde.
WS33	si brüeder wìll zwö̀i schööni, nö̀ii hüüser ì ö̀iem garte bòue.
WS34	s' woort ìsch-em vò härze choo.
WS35	das ìsch rächt gsii vò-ne-ne.
WS36	Was hòcke dò fǜr vö̀geli ùfem müürle òbe ?
WS37	d' buure händ fö̀if schtiere ùnd nüün chüe ùnd zwö̀lf schöö̀fli vòr s {zunächst 'vòrs', dann mit senkrechtem Strich zwischen 'r' und 's' getrennt} doorf use 'bròcht, die händ-si wèlle verchaͣ̈ufe.
WS38	d' lüüt sìnd hǜtt alli ùfem fäld ùsse ùnd määie.
WS39	Gang nùme, de bruun hùnd macht er {zunächst 'machter' geschrieben, dann mit senkrechtem Strich zwischen 't' und 'e' getrennt} nüüt.
WS40	 i bì mìt-e lüüte dò hìnde ǜber d' matte is chorn <(ie)> gfaare.
