---
Bogennummer: '45303'
Ort: Willisau Land
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:57.761335'
...
WS9	Ji (e) be beder Frau gseh ond han er es gseit, ond sie het gseit, sie well's au ehrer Dochter säge.
WS10	"E. J wells (weus) nöme mache ! [Verdoppelungsstrich auf dem ""m""]"
WS11	J (e) [?] schloder de gli met em Schöpf=Tranchierlofful [?] om d'Ohre ohme [?], du Aff! (Esel, Chue, Tscholi)
WS12	Wo gohst du hee, darf i meter ho [cho ?] ?
WS13	Äs sind schlächti Zyte !
WS14	Lieb's Chend, bliib do onde stoh, die böse Gause [?] biißedi z'tod.
WS15	Du hest höt am meiste glehrt, ond best anständig (brav) gseh, du darft früeher hei go, aß di andere.
WS16	Du best no z'chly, om e ne Fläsche (butälle [?]) Wÿ usztrinke, muest zerst no echli wachse ond größer wärde.
WS17	Bes so guet ond säg i diner Schwester, si söll di Chleider för eusi Mueter fertig mache ond sie abbörste.
WS18	Hättest du ehn könnt! de wär's anderst cho, ond äs stiend jetz besser met ehm.
WS19	"Wär het mi Chorb met em Fleisch gschtole ? [""sch"" ?]"
WS20	"Är (er) het so to, (ghonerig [?]), as wenn [""n"" mit Verdoppelungsstrich] sie ehn zom Drösche bstellt hättid, sie hend's aber sälber (allei) gmacht."
WS21	Wem hed är di neue Gschechte verzellt ?
WS22	Me mueß lut brüele, söscht verstohd är üs ned.
WS23	Mer sind müed, ond hend Dorst.
WS24	Wo mer gester Zobe zrogg cho sind, do sind die andere scho im Bett gse ond hend fest gschlofe.
WS25	De Schnee het's di legst Nacht gleid, aber höt am Morgen isch er weder ewäg gseh.
WS26	Hinder üserem Hus stönd drei schöni Öpfelbäumli mit rote Öpfle.
