---;
Bogennummer: '46681';
Ort: Stubbe;
Gid: 534809;
Transliterationsprojekt: Viola Wilcken;
Erstelldatum: ;
Änderungsdatum: ;
Satzversion: 1;
...;
WS1;In’n Winter fleg’n de drögen Bläd’ in’e Luft herüm
WS2;Dat hölt gliks op to snien den ward dat Weller weller beder
WS3;Bring Kölen in’e * Aben dat de Melk bald anfankt to kaken
WS4;De gude ole Mann is mit dat Perd dör dat Is braken und in dat kole Water fulln
WS5;He is för veer oder sös Weken storm
WS6;Dat Für wer to hid de Koken sünd ja ünner gans schwart brennt
WS7;He id de Eier imme ohne Sold un Päper
WS8;De Föd de dod mi düll weh ik glöv ik hev se dörlopen
WS9;Ik bin bi de Fru west un hev er dat segt un se sä se wull dat ok er Dogder segn
WS10;Ik will dat ok ni mer weller don
WS11;Ik hau die glik mit de Kaakläpel um de Ohrn du Aap
WS12;Wo geist du hen schö wie mit di gaan
WS13;Dat sünd schlechte Tid’n
WS14;Min leve Kind bliv hir närn stahn de böse Gös bied di dad
WS15;Du hes vun dag am meisten leert un büst artig west, du dörfst fröher to Hus gahn as de annern
WS16;Du büs noh nich grot genug um een Buddel Win uttodrinken, du muß ers noch wassen und grödder warn
WS17;Ga si so gud un seg din Schwester se schüll de Kleder för ju Mudder ferdig neihn un mit de Böss rein maken
WS18;Harst du em kennd denn wer dat anners kam un dat de beder üm em stahn
WS19;Wer hed mi min Korf mit Flesch stahln
WS20;He däh so as harn se em tom döschen bestellt, se hebt dat awer sülm dahn
WS21;Wer hed he de nie Geschicht vertellt
WS22;Man mud hard schri’n sünst versteiht he uns ni
WS23;Wie sünd möd un hebt Döst
WS24;As wi gestern torüg kem da legen de annern all to Bett un wär’n fasd and slaapen
WS25;De Snee is düsse Nach lign blem awer hüt morgen is he smolten
WS26;Achder uns Hus stad dre lüdde schöne Appelböm mit lüdde rode Appeln
WS27;Könd ju ni noch een lüdd Ogenblick töm denn gahd wie mit ju
WS28;Ju dörft ni so’n Kinnerie drivn
WS29;Uns Barg’n sünd ni so hoch ju sind vel höger
WS30;Wovel Pund Wus un wovel Brod wüt ju hem
WS31;Ik versta ju ni ji möt bed harder spreken
WS32;Hebt ji ni en lütt Stück Seep op min Disch funn
WS33;Sin Broder will sick twe schöne nie Hüser in Godn bun
WS34;Dat Wort kem em vun Hard’n
WS35;Dat wär recht vun ju
WS36;Wat sidd dar för lütt Vageln bam op de lütt Muer
WS37;De Burn harn fif Ossen un negn Köh und twölf lüdd Schap vör dat Dörp brögt de wulln se verköpen
WS38;De Lüd sind von dag all buden op dat Feld to meihn
WS39;Ga man de brune Hund daid die niks
WS40;Ick bün mit de Lüd dar achter öwer de Wisch ind Korn föhrd
