---
Bogennummer: '40806'
Ort: Wangen im Allgäu
Gid: 132441
Transliterationsprojekt: REDE
Transliterent: Leonie Schulz
Erstelldatum: 2025-07-22 07:57:15.336815
Änderungsdatum: 2025-07-22 07:57:15.336815
Satzversion: 1
...
WS1	Im Winter fliăgă̰ dĭ trŭckéne Blé̆ttĕr in dĕr Lŭft 'rŭm. (fliăga̰t, ŭmănănd). 
WS3	Thŭr Kōhlă̰ in da̰ Ofă̰, daß d'Mĭl bald z'kŏchă̰(t) a̰fangt. 
WS4	Dĕr gŭĕt alt Mā̰ ist mit'm Pfèrd ([hâĕfiger] Roß) dŭr's Īs brŏchă̰ ŭnd in's kălt Wăsser g'făllă̰. 
WS5	Ĕr ist vòr vier odĕr sechs Wŏchă̰ g'stòrbă̰. 
WS7	Ĕr ißt d'Oiĕr im̄er (allĕt) ohne Sălz ŭnd Pfèă̆ffĕr. (ăllă̱t = allweil = im̄er). 
WS9	I bḭ̄ bei dĕr Fra͡ĕ (d[ŭ]mpf) gsī ŭnd hòn's ĕr g'seit ŭnd siĕ hòt g'seit, sĭ wöll's aŭ (d[ŭ]mpf) ihrer Dŏchter sagă̰. 
WS11	I schlā dĕ glī mit͜ĕm Kō(ch)löffĕl ŭm d'Ohră̰, dŭ Aff!
WS15	Dŭ hòst hĭăt am mòista g'lèrnĕt ŭnd bist artig (brav) g'sī, dŭ dä̆rst früher (nach Haŭs) hĕimgòh als dĭ Andĕre (als Diese). 
WS17	Gang, sei so gŭĕt ŭnd sag dĭner Schwĕster, siĕ sŏtt diĕ Klòider fértig nahă̰ ŭ. mit dĕr Bü̆rstă̰ sŭ̄ber măchă̰. 
WS19	Wer hòt mĕr dă̰ Kòrb mit Flòisch g'stohlă̰? 
WS20	Ĕr hòt so thŭă̰ (thòng), als hättet s'ĕn zŭm Dréschă̰ b'stellt, sĭ hòn's aber sèăl thŭă̰ (thòng). [th] = d mit
WS24	Wo mĕr gestern òbend z'rŭck kĕmă̰ sind, dò lagă̰ dĭ Ăndĕrĕ schŏ im Bett ŭnd warḛ̆ schŏ fest im Schlòfă̰. 
WS26	Hinter ŭnsrem Hŭ̄s stònd drei schȫ̱ne Epfelbǟ̆mă̰ mit rotĕ Epfḛ̆lă̰. 
WS32	Hònt ĕr kĕi Stückle wīße Sòifă̰ für mi ŭff mim Tisch g'fŭndă̰. 
WS33	Sĭ Brŭăder will sĕ zwòi schäne nĕie (neŭe) Hīser in eŭrem Gārtă̰ baŭă̰. 
WS34	Dēs Wort kam ĕm vŭ Hèărză̰! 
WS36	Was sitză̰ dò für Vēgă̰lă̰ obă̰ ŭff dèăm Müĕrle. 
WS37	D'Bŭ̄ră̰ hònt fümf Ochsă̰ ŭ. nī Kǖă ŭ. zwelf Schäflă̰ vors Dòrf bròcht, diă̰ hònt sĕ verkaŭfă̰ (dŭmpfes [aŭ]) wĕllă̰. 
WS38	D'Lĭt sind hĭăt alle dŭßă̰ ŭff ĕm Feld ŭnd măhḛ̆t. 
WS40	I bī mit dèănn Lĭt dò hintă̰ über d'Wies' ins Kŏrn g'fahră̰. 
