---
Bogennummer: '44697'
Ort: Basel
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:50.582134'
...
WS14	Mī liəb Kind, blīb do undə štō, diə bēsə gäns bissə dį dōd.
WS15	Du hęš hįttə n am maištə glę̄rt umpįš liəb (auch ǭrdlig oder brāv) gsį̄; du dārfš friəjər haim gō as diə andərə.
WS16	dū bįš nō nįg grōß gnuəg, um ə fläšə Wī ūszdrinkə; du muəš zę̄ršt nō n ə wēnịg waxə ung grēssər wǟrdə.
WS17	"gang, sig [darüber: ""auch bis so g""] so guət und sāg dīnər šwęštər, sį sǫll d'glaidər fį̄r ęi(j)ər [nach 'i' ist 'j' hochgestellt] muətər fęrįg nai(j)ə [nach 'i' ist 'j' hochgestellt] und si  ̨ nō rächt ūsbį̄rštə / sūbər machə"
WS18	hättš dū n ən doch khęnnt; dərnō wǟrs ganz andəršt khō, und es stieng (heute auch stiəngti bęsser (um-ən) [über der Klammer:] mitəm.
WS19	Wǟr hęt mər mī khǭrb mit flaiš gštōlə ?
WS20	ər hęggrād ə sō dō, as ǫb sį įn bštęllt hätte zuəm Dręššə; ābər sį händs sälbər gmacht.
WS21	Wäm het ər diə nęiį gšįcht vərzęllt ?
WS22	Mə muəs lụt šręi(j)ə [nach dem 'i' ist 'j' hochgestellt], sųnšt (auch sušt) vərstōt ər [oder anderes 'e'?] i ̨s ni̧t.
WS23	Mər sįnd mįəd (auch simmiəd) und hän [oder besonderer Akzent auf 'a'?] duršt
WS24	Wo mər gęštər z'ōbə zrųck khō sịn. sinddiə andərə šō im Bętt glägə und händ fęst gšlōfə.
WS25	dər šnē iš hįt z'nacht bīnįs lį̄gə blį̄bə, abər hįttə mǫrgə n įš ər gšmųlzə.
WS26	hindər əm hūs štēnddręi šēnį ępfelbaimlį mit rōtənępfəlį.
WS27	Khęnnənər nįt nōnən ąugeblįcklį ųf įs wārtə, dərnō gēmmər mįt įch.
WS28	Į̄r dę̄rfə khainį sōnigə Khįndəręiə drībə / hier eher: dummhaitə machə.
