---
Bogennummer: '45037'
Ort: Uerkheim
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:57.025535'
...
WS1	ìm wìnter flüüge di tròchne blètter ì der lùft ùme.
WS2	e̊s hö̀rt glii uuf schneie, dè wìrd s'wätter wìder bèsser
WS3	"tue chòle-n-ì òfe, dass d'miuwch [in diesem Bogen wird nur hier ""w"" hochgestellt; nachträgliche Korrektur?] bauwd afòòt chòche (bauwd chùnt)"
WS4	"de guet auwt maa ìsch mit im [""i̊m""?] ròss dùr s'iisch ie pròche ùnd es chauwt wasser gfauwe. "
WS5	"e̊r ìsch vòr [mit Bleistift am Zeilenanfang: ""vor""] vier o ̀der sächs woche [""wùche"" mit ""ù"" rot ergänzt] gschtoorbe."
WS6	s'füür ìsch tschtarch gsii, kueche sìnd ùnde ganz verbrö̀nnt (schwarz prö̀nnt)
WS7	E̊r ìsst d'èier ìmmer òni sauwz ùnd pfäffer.
WS8	"d'füess tüemmer soo wee, i glaub i hėigsi [mit einem Punkt auf ""e""] dùreglòufe."
WS9	i bì bìder fròuw gsii ùnd hane̊re̊s gseit, ùnd si het gseit, si wö̀uws òuw ìrer tòchter sääge.
WS10	i wöuws nǜmme mache (tue)
WS11	i schlòòder de̊ chö̀uwe (chòchlö̀ffu) ùm d'oore, du aff.
WS12	wo gòòsch äne (häre), söuwe̊me̊r mìt der choo.
WS13	s'sìnd schlächti ziite !
WS14	"liebs chìnd, blïib [1.""ï"" mit zwei Punkten; 2.""i"" mit einem] do ùnde stòò, di bööse gänse biisse̊di z'tood."
WS15	"du hèsch hǜt am (zem) mèischte [""meèischde""?] gleert ùnd bìsch lieb (oordlig) gsii, du darfsch gliiner (eender) hei as di andere"
WS16	du besch noni(g) gross gnue̊ fǜr né fläsche wii uusztrìnke, du muesch z'erscht no ne̊ chli wachse-n-ùnd gröösser wäärde.
WS17	bìs so guet ùnd gang säg diner schwöschter, si söuw klèider fǜr öji muetter näjie ùnd mìt der bùùrschte suuber mache.
WS18	hätt isch ne̊ kennt! dè wärs andersch choo ùnd e̊s stiend bèsser umne̊ (um een)
WS19	wär hètmer de choorb mìtem (mìt santem) flèisch gschtòle ?
WS20	e̊r hèt e̊so tòò, wì wenn si ne̊ zùm drö̀sche agstö̀uwt hätte, si händs aber säuwber gmacht.
WS21	wem hèt er di nöi Gschìcht verzö̀uwt ?
