---
Bogennummer: '42796'
Ort: Oberegg
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 104aed6b-6beb-4803-9b72-0a3401f01e44
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:54.923621'
...
WS5	Er ischt vor vier oder säx Wócha gschtorba.
WS6	S'Füür ischt z'gross gsi, de Kuocka ischt jo onnadra fest anbrennt.
WS7	Er esst d'Eier all ohni Salz ond Pfeffer [statt all aŭch alawila].
WS8	D'Füss ton ([Nasen]laut wie im Französischen) mer schuli weh, i globa, i han's ([Nasenl.]) duorgloffa.
WS9	Y bi bi der Frau gsi ond hann er's gseid, ond sie hä̆d gseid, sie well's ŏŭ ihrnä Töchter sä̆ga.
WS10	Y wills au nomme ton! ([Nasen]laŭt)
WS11	Y schlo (offen) derr sofort met dem Kochlöffel om d'Ohrä ommi, du Aff!
WS12	Wohee (Nasenlaut) gohscht (o offen), söla met mettergoh?
WS13	Es sönd schlechti Zitta!
WS14	Mi līäbs Kind, blīb do onna schton (Nasenl.), dĭä bösa Gäns bīssi ti z'Tod.
WS15	Du häscht hütt am meischta glernt ond bischt ordeli gsi, du törscht (ö offen) früyer (ü offen) han (Nasenl.) gon (ditto) as di anderä.
WS16	Du bischt no nöd gross gnuog, zommä ä Fläschȧ Wī usztrinka, du muoscht z'erscht no a chli waxa ond grösser werda.
WS17	Gang, biss so guet ond säg tinner Schwöschter, sie sött s'Hääss füer öüri Muotter fierti nǟja ond suber büörschta.
