---
Bogennummer: '45875'
Ort: Unterlangenegg
Gid: 19430
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2022-10-27 16:52:50.279960
Änderungsdatum: 2022-10-27 16:52:50.279960
...
WS1	Im Winter flügi die düre Bletter i der Luft ume.
WS2	Es hört jetz uf schneje, de wird s'Wätter ume besser.
WS3	Tue Chohle i Ofe, dass d 'Milch gly {zunächst 'gli', dann 'i' zu 'y' ergänzt: die i-Punkt ist geblieben} afat choche.
WS4	Dä guet, alt Ma isch mit em Ross dür ds Ysch broche u i ds chalt Wasser gheit.
WS5	Är isch vor vierne oder sächsne Wuche gschtorbe.
WS6	D' Hetz isch z 'gross gsi, d 'Chuche sy unger uf verbrönnt.
WS7	Är isst d 'Eier gäng ohni Salz u Pfäffer.
WS8	D'Füess tüe mer hert weh {zunächst 'mer weh', dann 'hert' oben zwischen 'mer' und 'weh' eingefügt} , i gloube, i heig se dürglüffe.
WS9	I bi bi der Frou gsi u ha res gsėėt u si het gsėėt, si wol̈l̈i's o grad der Tächter säge.
WS10	I wott's o nie meh mache.
WS11	I houe der de öppe gly {zunächst 'gli'. dann 'i' mit 'y' überschrieben, i-Punkt ist geblieben} mit der Chel̈l̈e uf d 'Ore, du Aff.
WS12	Wo geisch hi, sol̈l̈e mer mit der cho ?
